word	code	red	green	blue	hex	count
00000000	0	194	87	87	#c25757	90711
00000001	1	69	168	194	#45a8c2	22775
00000010	2	194	111	51	#c26f33	18281
00000011	3	33	92	194	#215cc2	43892
00000100	4	209	191	94	#d1bf5e	14681
00000101	5	82	75	209	#524bd1	7269
00000110	6	168	209	55	#a8d137	15643
00000111	7	118	36	209	#7624d1	30115
00001000	8	140	224	101	#8ce065	23520
00001001	9	210	80	224	#d250e0	11723
00001010	10	59	224	77	#3be04d	6074
00001011	11	224	38	165	#e026a5	11117
00001100	12	108	240	178	#6cf0b2	25705
00001101	13	240	85	125	#f0557d	10302
00001110	14	63	240	231	#3ff0e7	16074
00001111	15	240	73	41	#f04929	43923
00010000	16	87	154	194	#579ac2	10414
00010001	17	194	142	69	#c28e45	7824
00010010	18	51	80	194	#3350c2	10095
00010011	19	193	194	33	#c1c221	10174
00010100	20	119	94	209	#775ed1	3590
00010101	21	151	209	75	#97d14b	1861
00010110	22	154	55	209	#9a37d1	6482
00010111	23	61	209	36	#3dd124	5081
00011000	24	224	101	217	#e065d9	4533
00011001	25	80	224	120	#50e078	8592
00011010	26	224	59	144	#e03b90	876
00011011	27	38	224	168	#26e0a8	2447
00011100	28	240	108	120	#f06c78	18893
00011101	29	85	222	240	#55def0	12562
00011110	30	240	121	63	#f0793f	12508
00011111	31	41	132	240	#2984f0	53950
00100000	32	194	167	87	#c2a757	0
00100001	33	69	74	194	#454ac2	0
00100010	34	169	194	51	#a9c233	0
00100011	35	95	33	194	#5f21c2	0
00100100	36	141	209	94	#8dd15e	0
00100101	37	183	75	209	#b74bd1	0
00100110	38	55	209	57	#37d139	2099
00100111	39	209	36	170	#d124aa	0
00101000	40	101	224	155	#65e09b	0
00101001	41	224	80	131	#e05083	4
00101010	42	59	224	201	#3be0c9	49927
00101011	43	224	51	38	#e03326	6
00101100	44	108	203	240	#6ccbf0	309
00101101	45	240	161	85	#f0a155	10
00101110	46	63	116	240	#3f74f0	15
00101111	47	240	223	41	#f0df29	0
00110000	48	101	87	194	#6557c2	102
00110001	49	152	194	69	#98c245	94
00110010	50	129	51	194	#8133c2	0
00110011	51	72	194	33	#48c221	48323
00110100	52	206	94	209	#ce5ed1	20561
00110101	53	75	209	99	#4bd163	16101
00110110	54	209	55	149	#d13795	20956
00110111	55	36	209	140	#24d18c	53
00111000	56	224	101	124	#e0657c	5296
00111001	57	80	221	224	#50dde0	17662
00111010	58	224	98	59	#e0623b	8347
00111011	59	38	141	224	#268de0	9951
00111100	60	240	194	108	#f0c26c	6901
00111101	61	85	106	240	#556af0	3095
00111110	62	226	240	63	#e2f03f	1726
00111111	63	98	41	240	#6229f0	2122
