a	c	b	status	events	word	code	period	gamma	max_time	first_time	last_time	min_y	max_y
0.3	2	0.3	ok	8	10101010	170	2	0.33203125	450	121.592849642	162.349484552	-2.52032264935	-2.5195673365
0.3	2.03937007874	0.3	ok	8	10101010	170	2	0.33203125	450	121.761782007	162.575232817	-2.56149259908	-2.56088621208
0.3	2.07874015748	0.3	ok	8	10101010	170	2	0.33203125	450	121.924310112	162.792543037	-2.60326660156	-2.60251324046
0.3	2.11811023622	0.3	ok	8	10101010	170	2	0.33203125	450	122.08087342	163.001871708	-2.64512578193	-2.64441917248
0.3	2.15748031496	0.3	ok	8	10101010	170	2	0.33203125	450	122.231821934	163.203689829	-2.68737379767	-2.68663306534
0.3	2.1968503937	0.3	ok	8	10101010	170	2	0.33203125	450	122.377492938	163.3985048	-2.72971149962	-2.72896332686
0.3	2.23622047244	0.3	ok	8	10101010	170	2	0.33203125	450	122.518211753	163.586667684	-2.77227888186	-2.77158769366
0.3	2.27559055118	0.3	ok	8	10101010	170	2	0.33203125	450	122.654287925	163.768652389	-2.81513405713	-2.81433805896
0.3	2.31496062992	0.3	ok	8	10101010	170	2	0.33203125	450	122.785874737	163.944812882	-2.85791599938	-2.85730294013
0.3	2.35433070866	0.3	ok	8	10101010	170	2	0.33203125	450	122.913328838	164.115371032	-2.90128265074	-2.90044676694
0.3	2.3937007874	0.3	ok	8	10101010	170	2	0.33203125	450	123.0368198	164.280700897	-2.94440419975	-2.94369727593
0.3	2.43307086614	0.3	ok	8	10101010	170	2	0.33203125	450	123.156589646	164.441085857	-2.98801837396	-2.98750570412
0.3	2.47244094488	0.3	ok	8	10101010	170	2	0.33203125	450	123.272738008	164.596738882	-3.03136045184	-3.03047488468
0.3	2.51181102362	0.3	ok	8	10101010	170	2	0.33203125	450	123.385548911	164.747860082	-3.07535530949	-3.07423960525
0.3	2.55118110236	0.3	ok	8	10101010	170	2	0.33203125	450	123.495172024	164.89463549	-3.1199287738	-3.1175727692
0.3	2.5905511811	0.3	ok	8	10101010	170	2	0.33203125	450	123.601740946	165.037228158	-3.16520390449	-3.16009722747
0.3	2.62992125984	0.3	ok	8	10101010	170	2	0.33203125	450	123.705416961	165.175759027	-3.21113356452	-3.20215510529
0.3	2.66929133858	0.3	ok	8	10101010	170	2	0.33203125	450	123.806436157	165.310272294	-3.25909404665	-3.2427776929
0.3	2.70866141732	0.3	ok	8	10101010	170	2	0.33203125	450	123.905005173	165.440582179	-3.31017786028	-3.28064019574
0.3	2.74803149606	0.3	ok	8	10101010	170	2	0.33203125	450	124.001336851	165.566358408	-3.36600962604	-3.31391256713
0.3	2.7874015748	0.3	ok	8	10101010	170	2	0.33203125	450	124.095559127	165.68693805	-3.42791366554	-3.34021686655
0.3	2.82677165354	0.3	ok	8	10101010	170	2	0.33203125	450	124.187732963	165.80120243	-3.49816166989	-3.35692034232
0.3	2.86614173228	0.3	ok	8	10101010	170	2	0.33203125	450	124.277678121	165.907552056	-3.57824007414	-3.36047801635
0.3	2.90551181102	0.3	ok	8	10101010	170	2	0.33203125	450	124.364916319	166.004994347	-3.66746389034	-3.35018240566
0.3	2.94488188976	0.3	ok	8	10101010	170	2	0.33203125	450	124.448851289	166.094004636	-3.76262522148	-3.32892826163
0.3	2.9842519685	0.3	ok	8	10101010	170	2	0.33203125	450	124.529007183	166.177174971	-3.85626610145	-3.30270745937
