metric	value
output	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/flow_folding/examples/../results/rossler_y_minima_tangent_scan/coarse_scan.tsv
docs_data	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/flow_folding/examples/../docs/rossler_y_minima_tangent_scan_data.js
contour_dir	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/flow_folding/examples/../results/rossler_y_minima_tangent_scan/contours
total_points	16384
ok_points	12359
max_time_limited_points	4025
c_min	2.0
c_max	7.0
a_min	0.3
a_max	0.55
n_c	128
n_a	128
b	0.3
word_length	8
transient_events	20
dt	0.05
max_time	450.0
max_state	1.0e6
scan_seconds	54.574760167
write_tsv_seconds	0.4442475
contour_step_seconds	1.587385458
write_docs_data_seconds	0.222332958
total_seconds	56.88423013687134
