results_path	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/flow_folding/examples/../results/rossler_y_minima_tangent_scan/coarse_scan.tsv
output_dir	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/flow_folding/examples/../results/rossler_y_minima_tangent_scan/contours
total_points	651
ok_points	488
max_time_limited_points	163
word_length	8
max_time	450.0
symbol01_segments	435
symbol02_segments	423
symbol03_segments	415
symbol04_segments	404
symbol05_segments	411
symbol06_segments	417
symbol07_segments	423
symbol08_segments	415
prefix01_boundary_segments	330
prefix02_boundary_segments	167
prefix03_boundary_segments	82
prefix04_boundary_segments	50
prefix05_boundary_segments	39
prefix06_boundary_segments	36
prefix07_boundary_segments	33
prefix08_boundary_segments	31
