metric	value
output	flow_folding/results/rossler_y_minima_tangent_scan_1024/coarse_scan.tsv.gz
docs_data	/Users/carterhinsley/Documents/Dev/MultimodalMaps.jl/flow_folding/examples/../docs/rossler_y_minima_tangent_scan_data.js
docs_data_written	false
contour_dir	flow_folding/results/rossler_y_minima_tangent_scan_1024/contours
contour_format	png
total_points	1048576
ok_points	792166
max_time_limited_points	256410
c_min	2.0
c_max	7.0
a_min	0.3
a_max	0.55
n_c	1024
n_a	1024
b	0.3
word_length	8
transient_events	20
dt	0.05
max_time	450.0
max_state	1.0e6
progress_seconds	30.0
scan_seconds	4400.54733225
write_tsv_seconds	8.9216565
contour_step_seconds	90.830601
write_docs_data_seconds	0.0
total_seconds	4500.323732852936
