monotone_signs	monotone_bits	monotone_code	red	green	blue	hex	count
- - - - - - -	0000000	0	194	87	87	#c25757	51091
- - - - - - +	0000001	1	69	176	194	#45b0c2	1270
- - - - - + -	0000010	2	194	91	51	#c25b33	2200
- - - - - + +	0000011	3	33	126	194	#217ec2	920
- - - - + - -	0000100	4	209	159	94	#d19f5e	2450
- - - - + - +	0000101	5	75	115	209	#4b73d1	1925
- - - - + + -	0000110	6	209	185	55	#d1b937	1384
- - - - + + +	0000111	7	36	38	209	#2426d1	1301
- - - + - - -	0001000	8	209	224	101	#d1e065	6740
- - - + - - +	0001001	9	118	80	224	#7650e0	2271
- - - + - + -	0001010	10	157	224	59	#9de03b	4333
- - - + - + +	0001011	11	140	38	224	#8c26e0	1823
- - - + + - -	0001100	12	149	240	108	#95f06c	1580
- - - + + - +	0001101	13	213	85	240	#d555f0	2199
- - - + + + -	0001110	14	69	240	63	#45f03f	1665
- - - + + + +	0001111	15	240	41	218	#f029da	2531
- - + - - - -	0010000	16	87	194	114	#57c272	2099
- - + - - - +	0010001	17	194	69	145	#c24591	6774
- - + - - + -	0010010	18	51	194	127	#33c27f	3650
- - + - - + +	0010011	19	194	33	86	#c22156	2522
- - + - + - -	0010100	20	94	209	188	#5ed1bc	3398
- - + - + - +	0010101	21	209	75	81	#d14b51	4066
- - + - + + -	0010110	22	55	195	209	#37c3d1	2806
- - + - + + +	0010111	23	209	76	36	#d14c24	3191
- - + + - - -	0011000	24	101	178	224	#65b2e0	1885
- - + + - - +	0011001	25	224	154	80	#e09a50	2951
- - + + - + -	0011010	26	59	116	224	#3b74e0	3186
- - + + - + +	0011011	27	224	187	38	#e0bb26	4401
- - + + + - -	0011100	28	108	116	240	#6c74f0	1982
- - + + + - +	0011101	29	228	240	85	#e4f055	3556
- - + + + + -	0011110	30	102	63	240	#663ff0	3135
- - + + + + +	0011111	31	168	240	41	#a8f029	5668
- + - - - - -	0100000	32	141	87	194	#8d57c2	2269
- + - - - - +	0100001	33	114	194	69	#72c245	2176
- + - - - + -	0100010	34	163	51	194	#a333c2	6633
- + - - - + +	0100011	35	46	194	33	#2ec221	1879
- + - - + - -	0100100	36	209	94	202	#d15eca	3579
- + - - + - +	0100101	37	75	209	102	#4bd166	3797
- + - - + + -	0100110	38	209	55	156	#d1379c	3637
- + - - + + +	0100111	39	36	209	120	#24d178	3150
- + - + - - -	0101000	40	224	101	147	#e06593	4257
- + - + - - +	0101001	41	80	224	191	#50e0bf	3447
- + - + - + -	0101010	42	224	59	75	#e03b4b	43877
- + - + - + +	0101011	43	38	216	224	#26d8e0	5372
- + - + + - -	0101100	44	240	133	108	#f0856c	2543
- + - + + - +	0101101	45	85	189	240	#55bdf0	5162
- + - + + + -	0101110	46	240	146	63	#f0923f	5154
- + - + + + +	0101111	47	41	118	240	#2976f0	6695
- + + - - - -	0110000	48	194	167	87	#c2a757	1357
- + + - - - +	0110001	49	69	83	194	#4553c2	2586
- + + - - + -	0110010	50	189	194	51	#bdc233	2831
- + + - - + +	0110011	51	61	33	194	#3d21c2	4807
- + + - + - -	0110100	52	173	209	94	#add15e	3644
- + + - + - +	0110101	53	136	75	209	#884bd1	4839
- + + - + + -	0110110	54	118	209	55	#76d137	10546
- + + - + + +	0110111	55	163	36	209	#a324d1	7759
- + + + - - -	0111000	56	116	224	101	#74e065	1645
- + + + - - +	0111001	57	224	80	222	#e050de	3737
- + + + - + -	0111010	58	59	224	85	#3be055	5494
- + + + - + +	0111011	59	224	38	169	#e026a9	12018
- + + + + - -	0111100	60	108	240	166	#6cf0a6	3173
- + + + + - +	0111101	61	240	85	151	#f05597	7202
- + + + + + -	0111110	62	63	240	190	#3ff0be	7365
- + + + + + +	0111111	63	240	41	69	#f02945	13378
+ - - - - - -	1000000	64	87	194	194	#57c2c2	1242
+ - - - - - +	1000001	65	194	87	69	#c25745	1861
+ - - - - + -	1000010	66	51	154	194	#339ac2	2082
+ - - - - + +	1000011	67	194	101	33	#c26521	1854
+ - - - + - -	1000100	68	94	144	209	#5e90d1	5293
+ - - - + - +	1000101	69	209	169	75	#d1a94b	3693
+ - - - + + -	1000110	70	55	79	209	#374fd1	2547
+ - - - + + +	1000111	71	209	206	36	#d1ce24	2928
+ - - + - - -	1001000	72	116	101	224	#7465e0	1734
+ - - + - - +	1001001	73	186	224	80	#bae050	3536
+ - - + - + -	1001010	74	126	59	224	#7e3be0	3669
+ - - + - + +	1001011	75	123	224	38	#7be026	4481
+ - - + + - -	1001100	76	199	108	240	#c76cf0	2754
+ - - + + - +	1001101	77	112	240	85	#70f055	4893
+ - - + + + -	1001110	78	234	63	240	#ea3ff0	3786
+ - - + + + +	1001111	79	41	240	63	#29f03f	6478
+ - + - - - -	1010000	80	194	87	167	#c257a7	2198
+ - + - - - +	1010001	81	69	194	118	#45c276	4006
+ - + - - + -	1010010	82	194	51	118	#c23376	3665
+ - + - - + +	1010011	83	33	194	141	#21c28d	4556
+ - + - + - -	1010100	84	209	94	116	#d15e74	4039
+ - + - + - +	1010101	85	75	209	203	#4bd1cb	53431
+ - + - + + -	1010110	86	209	70	55	#d14637	4862
+ - + - + + +	1010111	87	36	168	209	#24a8d1	8979
+ - + + - - -	1011000	88	224	147	101	#e09365	2070
+ - + + - - +	1011001	89	80	150	224	#5096e0	4658
+ - + + - + -	1011010	90	224	168	59	#e0a83b	5167
+ - + + - + +	1011011	91	38	76	224	#264ce0	15307
+ - + + + - -	1011100	92	240	231	108	#f0e76c	3339
+ - + + + - +	1011101	93	98	85	240	#6255f0	12485
+ - + + + + -	1011110	94	201	240	63	#c9f03f	7290
+ - + + + + +	1011111	95	112	41	240	#7029f0	15737
+ + - - - - -	1100000	96	141	194	87	#8dc257	892
+ + - - - - +	1100001	97	149	69	194	#9545c2	1650
+ + - - - + -	1100010	98	82	194	51	#52c233	1887
+ + - - - + +	1100011	99	181	33	194	#b521c2	3499
+ + - - + - -	1100100	100	94	209	101	#5ed165	1872
+ + - - + - +	1100101	101	209	75	182	#d14bb6	3936
+ + - - + + -	1100110	102	55	209	108	#37d16c	4381
+ + - - + + +	1100111	103	209	36	125	#d1247d	6931
+ + - + - - -	1101000	104	101	224	178	#65e0b2	1773
+ + - + - - +	1101001	105	224	80	114	#e05072	4325
+ + - + - + -	1101010	106	59	224	209	#3be0d1	5414
+ + - + - + +	1101011	107	224	47	38	#e02f26	8465
+ + - + + - -	1101100	108	108	215	240	#6cd7f0	4065
+ + - + + - +	1101101	109	240	136	85	#f08855	13399
+ + - + + + -	1101110	110	63	157	240	#3f9df0	10213
+ + - + + + +	1101111	111	240	162	41	#f0a229	15555
+ + + - - - -	1110000	112	87	114	194	#5772c2	1328
+ + + - - - +	1110001	113	194	180	69	#c2b445	2992
+ + + - - + -	1110010	114	55	51	194	#3733c2	3212
+ + + - - + +	1110011	115	166	194	33	#a6c221	7132
+ + + - + - -	1110100	116	130	94	209	#825ed1	3067
+ + + - + - +	1110101	117	148	209	75	#94d14b	8913
+ + + - + + -	1110110	118	147	55	209	#9337d1	7768
+ + + - + + +	1110111	119	82	209	36	#52d124	19871
+ + + + - - -	1111000	120	209	101	224	#d165e0	2456
+ + + + - - +	1111001	121	80	224	82	#50e052	6211
+ + + + - + -	1111010	122	224	59	199	#e03bc7	6600
+ + + + - + +	1111011	123	38	224	93	#26e05d	15829
+ + + + + - -	1111100	124	240	108	182	#f06cb6	5694
+ + + + + - +	1111101	125	85	240	175	#55f0af	15007
+ + + + + + -	1111110	126	240	63	113	#f03f71	13024
+ + + + + + +	1111111	127	41	240	212	#29f0d4	43224
