delta_ca	lz_complexity	htop	T_scs	gamma_scs	T_kneading	gamma_kneading
-36.000000	1.5000000000	1.9431965220	1,3,-10,-12,3	-12,2,-12,-12	7,20,24,7	24,5,24,24
-35.454545	1.2618595071	0.6931471806	-1,-6,-11,-3,-12	-12,-4,11,-12	12,22,6,24	24,8,23,24
-34.909091	1.5000000000	0.6931471806	-1,10,11,11	-12,11,11,11	21,23,23	24,23,23,23
-34.363636	0.0000000000	0.0000000000	-1,-11,11,11	11,11,11	22,23,23	23,23,23
-33.818182	1.0566416671	0.3465735903	-1,-11,-11,-11	11,11,-11	22,22,22	23,23,22
-33.272727	1.5000000000	0.3465735903	-1,-11,-11,-11	11,-11,-11,-11	22,22,22	23,22,22,22
-32.727273	0.0000000000	0.3465735903	-1,-11,-11,-11	-11,-11,-11,-11	22,22,22	22,22,22,22
-32.181818	1.5000000000	0.6931471806	-1,10,-11,-11	-11,10,-11,-11	21,22,22	22,21,22,22
-31.636364	1.5000000000	0.6931471806	-1,10,10,-11	-11,10,10,-11	21,21,22	22,21,21,22
-31.090909	0.0000000000	0.0000000000	-1,10,10,10	10,10,10,10	21,21,21	21,21,21,21
-30.545455	0.0000000000	0.0000000000	-1,10,10,10	10,10,10,10	21,21,21	21,21,21,21
-30.000000	0.0000000000	0.0000000000	-1,-10,10,10,10	10,10,10,10	20,21,21,21	21,21,21,21
