category_id	count	encoding	sequence
1	6	2600339	-1,0,0,0,0,0
2	3	2602619	1,0,0,0,0,0
3	2	27258035	-1,0,0,-1,0,0
4	1	1930161644	1,0,0,-2,0,0
5	1	2066824046952	-1,-1,1,3,1
6	1	45649093717535	-1,0,-1,0,-2,0
7	1	139370419424810	-1,0,-1,0,1,-1
8	1	2669313200201559	-1,7,-9,8
9	1	4841220714181502	-1,-6,6,-9
10	1	5847190196345960	-1,-8,8,-9
11	1	6413773528256940	-1,8,9,-9
12	1	7360394120092139	-1,0,0,-8,0,0
13	1	8408122140219452	-1,0,-4,0,2,0
14	1	11940838707417752	-1,-8,7,9
15	2	14128009309853010	-1,8,9,9
16	1	14134174203751952	-1,9,9,9
17	3	14134174371883889	1,9,9,9
18	1	14678324024169470	-1,0,9,-9,0
19	1	14732314495311119	-1,9,-10,9
20	1	31282544843925584	-1,9,-10,-10
21	3	31288139504878815	-1,-10,-10,-10
22	1	32479801288134452	-1,9,10,-10
23	1	46915472359206005	-1,-4,5,10
24	1	57974774109959030	-1,-3,8,10
25	1	62124979153573349	-1,-2,9,10
26	2	62256106217378639	-1,-9,9,10
27	7	66720918967500902	-1,10,10,10
28	1	69041300686785800	-1,10,-11,10
29	1	117320886796340702	-1,-8,8,-11
30	3	133256391358893179	-1,10,10,-11
31	2	137503074817916327	-1,10,-11,-11
32	1	137520058369471127	-1,-11,-11,-11
33	1	146389116403595295	-1,1,-2,-1,-1,1
34	1	165621782060777264	-1,0,2,-11,0
35	1	266381771633273714	-1,0,10,-11,0
36	1	335390023809111004	1,-2,1,-10,1
37	1	505214229168848864	-1,0,7,8,-2
38	1	562387968808692152	-1,0,1,0,-3,0
39	1	959310100509079778	1,0,9,10,1
40	1	41434624418369378975	-1,0,5,10,2
41	1	289942395436875691228	1,-9,7,-10,-3
42	1	479478118891571523424	1,0,-1,0,0,-2
43	1	883168739957600833483	1,0,-10,0,4
44	1	960316261508696958684	-1,-1,5,11,-3
45	1	1945360844266810444108	1,0,10,-1,-4,0
46	1	11066924130681440989890	-1,2,-8,-4,4
47	1	171739881537388322117402	-1,0,1,-9,0,-2
48	1	4650720403524893558563145	-1,6,-10,-5,5
49	1	738633265950839440739985077	-1,0,0,0,-1,2
50	1	908895961648203292595084408	1,1,-10,-1,-1,2
51	1	2327469605713349121824653319	1,0,0,-10,0,2
52	1	7201913348682346651032929409	-1,-1,-1,-1,1,2
53	1	113633757529263022729464490739	-1,0,0,9,7
54	1	150808122738439342551509507505	-1,1,-9,-3,-8
55	3	498768035658188838763056363530	-1,-8,-8,-8,-8
56	2	498768035658189837530332217308	1,-8,-8,-8,-8
57	1	883198714222315560413764826420	-1,0,0,0,6,1
58	1	1910298034429561912386216528884	-1,5,-9,-6,8
59	1	3219628340084172171416620710020	-1,1,8,8,8
60	1	3219628701637038234640289570090	-1,2,8,8,8
61	1	3219629786295819129296526711710	-1,5,8,8,8
62	1	3219630509401825313238807875885	-1,7,8,8,8
63	2	3219630690178345890997769317625	-1,-8,8,8,8
64	74	3219630870954874081466514659729	-1,8,8,8,8
65	2	3219630870954876619036561359868	1,8,8,8,8
66	3	3567337129908398802593659638902	-1,8,8,-9,8
67	1	3569698041182158290271216421252	-1,8,-9,-9,8
68	1	3610043449319006788630658100077	-1,0,-9,0,-9
69	1	17104126856357488909866837685830	-1,8,8,8,-9
70	7	17113432059335363421900214640502	-1,8,-9,8,-9
71	1	17113432059335369272273204345579	1,8,-9,8,-9
72	1	18660675320231038471697872312220	-1,-5,3,-9,-9
73	1	18771403196037456963779279659110	-1,8,-9,-9,-9
74	53	18771403874319079111379122357950	-1,-9,-9,-9,-9
75	2	18771403874319085238597720436376	1,-9,-9,-9,-9
76	1	20590122184820404829928347650695	-1,2,9,9,-9
77	1	20776889689209512165669842832627	-1,0,-9,0,9
78	1	24953233592974079509631014459126	1,2,-10,1,9
79	1	29846443305285148737882508693794	-1,2,-9,2,9
80	1	99887442587409699406935378591885	-1,1,9,9,9
81	1	99887478233506301306294826391710	-1,-9,9,9,9
82	45	99887480609913080653142721402689	-1,9,9,9,9
83	3	99887480609913094787319783397708	1,9,9,9,9
84	3	108520588184674852847904761334452	-1,9,9,-10,9
85	1	108520588184674867580222174740589	1,9,9,-10,9
86	1	108567450145445918247420788024204	-1,9,-10,-10,9
87	1	117648675879445270997094855644474	-1,-2,7,10,9
88	1	129068594267201081895811275004880	-1,0,10,1,-10
89	1	387461371986934063958684684975554	1,0,1,8,-10
90	2	453895729641538607484895107171494	-1,9,-10,9,-10
91	3	489473969894105793290234580880619	-1,9,-10,-10,-10
92	40	489473977720914081937327972658195	-1,-10,-10,-10,-10
93	1	569217414279987103762948947717134	-1,-1,-1,0,-10,0
94	1	710859593065315480681823904899075	-1,0,0,1,9,-1
95	1	957190676890666034534817601032839	-1,0,10,4,10
96	1	2224523351101539202167921067876835	-1,1,9,10,10
97	1	2225840489560965117306264882654065	-1,0,10,10,10
98	20	2225840977019920444092511290911250	-1,10,10,10,10
99	2	2225840977019920510813437199053748	1,10,10,10,10
100	1	2383351087713833083769793185671179	-1,10,10,-11,10
101	1	2398780970005435642570851271366940	-1,0,-11,0,-11
102	1	2733393773676285436143885399460134	-1,-1,-2,1,-11
103	1	4678434570682302705257372778526325	-1,1,11,5,-11
104	1	8847734023369006336141485258166955	-1,1,3,10,-11
105	3	9455884597277796819839275832919345	-1,10,-11,-11,-11
106	7	9455884669399191660884342385366419	-1,-11,-11,-11,-11
107	1	96210373218046352217226133601583001445719630369	1,0,0,0,0,5
108	1	85066239504112458206644676006607750676902466050257589780	-1,-1,-2,-1,1,7
109	10	124384776697171140630079328682461662975044243401923320030869	-1,-8,-8,-8,-8,-8
110	2	5183011472602943070691271219105199396402130067517491731786080	-1,8,8,8,8,8
