category_id	count	encoding	sequence
1	1	3895	-11,0,0,0,0
2	1	3983	11,0,0,0,0
3	1	5028	11,-1,0,0,0
4	1	7853	11,-2,0,0,0
5	1	9708	11,2,0,0,0
6	1	27239	11,0,1,0,0
7	1	141224	11,10,2
8	1	609938	11,0,0,1,0
9	1	2639234	-10,-1,-1,-1,-1
10	1	2646129	-11,0,0,0,0,0
11	1	10055350	10,1,0,-2,0
12	1	10064319	11,1,0,-2,0
13	1	13274108	10,10,-6,0
14	1	18779234	11,0,-6,0,0
15	1	44703220	10,-10,-2,2
16	1	116243107	-11,0,-9,0
17	1	127209203	11,2,-9,0
18	1	144865713	9,9,3,2
19	1	154642470	-11,7,9
20	1	194429321	-10,1,-8,1
21	1	270083641	10,0,-9,0,0
22	1	500275878	9,7,-9,1
23	1	508215001	10,9,10,0
24	1	532733743	9,9,-9,1
25	1	670091114	11,0,-4,0,1
26	1	890989769	11,-3,8,-2
27	1	966394644	11,8,-11,-1
28	1	1033965053	11,0,0,-3,0
29	1	1046737115	10,10,-10,1
30	1	1147899635	10,1,-10,-1,0
31	1	1566068574	-11,1,10,-1,0
32	1	3122356757	-10,0,5,2,0
33	1	5819424764	11,10,11,-2
34	1	8035506586	10,3,0,3,0
35	1	8292337351	10,9,4,3
36	1	37998490629	-11,0,0,4
37	1	134520436067	-10,0,9,1,1
38	1	934391662075	10,9,-10,4
39	1	11285551534943	11,-11,-11,5
40	1	13851729255508	10,2,-1,0,2
41	1	451054472005738	9,8,-9,7
42	1	512128152017990	10,-9,-10,7
43	1	584557253818068	9,9,3,-8
44	1	999189900303645	8,8,-8,-8
45	1	1058369389236419	8,8,8,-8
46	1	1187940146357483	10,10,9,-8
47	1	1331678923680297	9,-5,2,8
48	1	2410763934257235	9,-9,-8,8
49	1	2532472251737659	-9,5,8,8
50	52	2537570046700137	8,8,8,8
51	4	2537570117940154	-9,8,8,8
52	8	2671081176279736	-9,8,-9,8
53	1	2671081249369833	9,8,-9,8
54	2	5848782350016823	-9,8,8,-9
55	1	5850373206045048	9,-9,8,-9
56	14	6127218598078424	-9,-9,-9,-9
57	11	6127218708778185	9,-9,-9,-9
58	2	6417185109182742	9,9,9,-9
59	1	6430839823369163	11,4,0,9
60	1	6435964791669581	10,-6,0,9
61	1	6446224145040885	9,-9,0,9
62	1	11919123008507008	10,-4,7,9
63	1	12995613620492257	9,8,8,9
64	1	13557425935754242	9,9,-9,9
65	1	14091065309746134	-10,2,9,9
66	1	14128012335567951	-10,8,9,9
67	1	14131094530695371	-10,-9,9,9
68	50	14134177061995017	9,9,9,9
69	3	14134177230126971	-10,9,9,9
70	4	14732317585058792	-10,9,-10,9
71	1	14735498308830058	10,-10,-10,9
72	1	14786460484725925	10,8,0,-10
73	1	16675897190847195	-11,1,1,9,0
74	1	30124139508098357	-10,9,9,-10
75	1	30135017593845683	10,10,9,-10
76	4	31282549346268347	-10,9,-10,-10
77	31	31288144007624166	-10,-10,-10,-10
78	8	31288144257776695	10,-10,-10,-10
79	2	31293739669567733	10,10,-10,-10
80	1	32491315884349396	10,10,10,-10
81	1	32600816286316336	10,-10,0,10
82	1	35123307398983789	-11,-10,1,10
83	1	62274862644854475	-11,-10,9,10
84	1	66523676767191007	-11,0,10,10
85	30	66720925908142496	10,10,10,10
86	3	66720926273439432	-11,10,10,10
87	2	69041308118679450	-11,10,-11,10
88	1	73916409430941595	-11,-1,1,-11
89	1	124821807300581306	11,1,9,-11
90	2	133256401683868569	-11,10,10,-11
91	2	137503085306122257	-11,10,-11,-11
92	11	137520068858324757	-11,-11,-11,-11
93	2	137520069382767449	11,-11,-11,-11
94	1	146460340065091163	11,-2,0,-11,0
95	1	3088361210030360881	10,-1,0,2,3
96	1	55075635283609866437107	-11,-2,-2,-2,-5
97	10	498768035658202821504918316513	-8,-8,-8,-8,-8
98	2	498768035658203820272194170305	8,-8,-8,-8,-8
99	28	3219630870954912145017215161919	8,8,8,8,8
100	30	18771403874319177146876691612886	-9,-9,-9,-9,-9
101	2	18771403874319183274095289691328	9,-9,-9,-9,-9
102	1	20590132362758620077702497221132	-11,0,0,0,9
103	1	99887480609913320934152775318148	9,9,9,9,9
104	1	108661229721975776109656230848226	10,0,1,0,-10
105	3	489473977720914645123920109893372	-10,-10,-10,-10,-10
