delta_x	delta_ca	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-33.000000	1	2600339	4	7853	-1,0,0,0,0,0	11,-2,0,0,0	ok
-1.500000	-32.315789	1	2600339	28	1033965053	-1,0,0,0,0,0	11,0,0,-3,0	ok
-1.500000	-31.631579	2	2602619	2	3983	1,0,0,0,0,0	11,0,0,0,0	ok
-1.500000	-30.947368	2	2602619	10	2646129	1,0,0,0,0,0	-11,0,0,0,0,0	ok
-1.500000	-30.263158	2	2602619	102	20590132362758620077702497221132	1,0,0,0,0,0	-11,0,0,0,9	ok
-1.500000	-29.578947	107	96210373218046352217226133601583001445719630369	34	8035506586	1,0,0,0,0,5	10,3,0,3,0	ok
-1.500000	-28.894737	57	883198714222315560413764826420	11	10055350	-1,0,0,0,6,1	10,1,0,-2,0	ok
-1.500000	-28.210526	94	710859593065315480681823904899075	21	270083641	-1,0,0,1,9,-1	10,0,-9,0,0	ok
-1.500000	-27.526316	53	113633757529263022729464490739	104	108661229721975776109656230848226	-1,0,0,9,7	10,0,1,0,-10	ok
-1.500000	-26.842105	47	171739881537388322117402	32	3122356757	-1,0,1,-9,0,-2	-10,0,5,2,0	ok
-1.500000	-26.157895	37	505214229168848864	18	144865713	-1,0,7,8,-2	9,9,3,2	ok
-1.500000	-25.473684	77	20776889689209512165669842832627	61	6446224145040885	-1,0,-9,0,9	9,-9,0,9	ok
-1.500000	-24.789474	108	85066239504112458206644676006607750676902466050257589780	63	12995613620492257	-1,-1,-2,-1,1,7	9,8,8,9	ok
-1.500000	-24.105263	59	3219628340084172171416620710020	22	500275878	-1,1,8,8,8	9,7,-9,1	ok
-1.500000	-23.421053	60	3219628701637038234640289570090	47	1331678923680297	-1,2,8,8,8	9,-5,2,8	ok
-1.500000	-22.736842	61	3219629786295819129296526711710	49	2532472251737659	-1,5,8,8,8	-9,5,8,8	ok
-1.500000	-22.052632	62	3219630509401825313238807875885	50	2537570046700137	-1,7,8,8,8	8,8,8,8	ok
-1.500000	-21.368421	63	3219630690178345890997769317625	50	2537570046700137	-1,-8,8,8,8	8,8,8,8	ok
-1.500000	-20.684211	56	498768035658189837530332217308	50	2537570046700137	1,-8,-8,-8,-8	8,8,8,8	ok
-1.500000	-20.000000	56	498768035658189837530332217308	44	999189900303645	1,-8,-8,-8,-8	8,8,-8,-8	ok
-1.447368	-33.000000	1	2600339	5	9708	-1,0,0,0,0,0	11,2,0,0,0	ok
-1.447368	-32.315789	1	2600339	14	18779234	-1,0,0,0,0,0	11,0,-6,0,0	ok
-1.447368	-31.631579	1	2600339	8	609938	-1,0,0,0,0,0	11,0,0,1,0	ok
-1.447368	-30.947368	4	1930161644	1	3895	1,0,0,-2,0,0	-11,0,0,0,0	ok
-1.447368	-30.263158	51	2327469605713349121824653319	73	16675897190847195	1,0,0,-10,0,2	-11,1,1,9,0	ok
-1.447368	-29.578947	42	479478118891571523424	72	14786460484725925	1,0,-1,0,0,-2	10,8,0,-10	ok
-1.447368	-28.894737	89	387461371986934063958684684975554	40	13851729255508	1,0,1,8,-10	10,2,-1,0,2	ok
-1.447368	-28.210526	13	8408122140219452	95	3088361210030360881	-1,0,-4,0,2,0	10,-1,0,2,3	ok
-1.447368	-27.526316	68	3610043449319006788630658100077	37	134520436067	-1,0,-9,0,-9	-10,0,9,1,1	ok
-1.447368	-26.842105	18	14678324024169470	20	194429321	-1,0,9,-9,0	-10,1,-8,1	ok
-1.447368	-26.157895	5	2066824046952	24	532733743	-1,-1,1,3,1	9,9,-9,1	ok
-1.447368	-25.473684	54	150808122738439342551509507505	43	584557253818068	-1,1,-9,-3,-8	9,9,3,-8	ok
-1.447368	-24.789474	79	29846443305285148737882508693794	55	5850373206045048	-1,2,-9,2,9	9,-9,8,-9	ok
-1.447368	-24.105263	58	1910298034429561912386216528884	41	451054472005738	-1,5,-9,-6,8	9,8,-9,7	ok
-1.447368	-23.421053	8	2669313200201559	51	2537570117940154	-1,7,-9,8	-9,8,8,8	ok
-1.447368	-22.736842	63	3219630690178345890997769317625	51	2537570117940154	-1,-8,8,8,8	-9,8,8,8	ok
-1.447368	-22.052632	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.447368	-21.368421	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.447368	-20.684211	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.447368	-20.000000	55	498768035658188838763056363530	45	1058369389236419	-1,-8,-8,-8,-8	8,8,8,-8	ok
-1.394737	-33.000000	1	2600339	17	127209203	-1,0,0,0,0,0	11,2,-9,0	ok
-1.394737	-32.315789	49	738633265950839440739985077	3	5028	-1,0,0,0,-1,2	11,-1,0,0,0	ok
-1.394737	-31.631579	3	27258035	6	27239	-1,0,0,-1,0,0	11,0,1,0,0	ok
-1.394737	-30.947368	6	45649093717535	36	37998490629	-1,0,-1,0,-2,0	-11,0,0,4	ok
-1.394737	-30.263158	39	959310100509079778	13	13274108	1,0,9,10,1	10,10,-6,0	ok
-1.394737	-29.578947	43	883168739957600833483	23	508215001	1,0,-10,0,4	10,9,10,0	ok
-1.394737	-28.894737	45	1945360844266810444108	60	6435964791669581	1,0,10,-1,-4,0	10,-6,0,9	ok
-1.394737	-28.210526	93	569217414279987103762948947717134	30	1147899635	-1,-1,-1,0,-10,0	10,1,-10,-1,0	ok
-1.394737	-27.526316	33	146389116403595295	9	2639234	-1,1,-2,-1,-1,1	-10,-1,-1,-1,-1	ok
-1.394737	-26.842105	80	99887442587409699406935378591885	66	14128012335567951	-1,1,9,9,9	-10,8,9,9	ok
-1.394737	-26.157895	76	20590122184820404829928347650695	58	6417185109182742	-1,2,9,9,-9	9,9,9,-9	ok
-1.394737	-25.473684	9	4841220714181502	64	13557425935754242	-1,-6,6,-9	9,9,-9,9	ok
-1.394737	-24.789474	10	5847190196345960	48	2410763934257235	-1,-8,8,-9	9,-9,-8,8	ok
-1.394737	-24.105263	70	17113432059335363421900214640502	53	2671081249369833	-1,8,-9,8,-9	9,8,-9,8	ok
-1.394737	-23.421053	70	17113432059335363421900214640502	52	2671081176279736	-1,8,-9,8,-9	-9,8,-9,8	ok
-1.394737	-22.736842	69	17104126856357488909866837685830	51	2537570117940154	-1,8,8,8,-9	-9,8,8,8	ok
-1.394737	-22.052632	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.394737	-21.368421	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.394737	-20.684211	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.394737	-20.000000	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.342105	-33.000000	3	27258035	59	6430839823369163	-1,0,0,-1,0,0	11,4,0,9	ok
-1.342105	-32.315789	12	7360394120092139	12	10064319	-1,0,0,-8,0,0	11,1,0,-2,0	ok
-1.342105	-31.631579	38	562387968808692152	25	670091114	-1,0,1,0,-3,0	11,0,-4,0,1	ok
-1.342105	-30.947368	40	41434624418369378975	16	116243107	-1,0,5,10,2	-11,0,-9,0	ok
-1.342105	-30.263158	95	957190676890666034534817601032839	46	1187940146357483	-1,0,10,4,10	10,10,9,-8	ok
-1.342105	-29.578947	50	908895961648203292595084408	81	32600816286316336	1,1,-10,-1,-1,2	10,-10,0,10	ok
-1.342105	-28.894737	36	335390023809111004	35	8292337351	1,-2,1,-10,1	10,9,4,3	ok
-1.342105	-28.210526	78	24953233592974079509631014459126	62	11919123008507008	1,2,-10,1,9	10,-4,7,9	ok
-1.342105	-27.526316	72	18660675320231038471697872312220	65	14091065309746134	-1,-5,3,-9,-9	-10,2,9,9	ok
-1.342105	-26.842105	14	11940838707417752	69	14134177230126971	-1,-8,7,9	-10,9,9,9	ok
-1.342105	-26.157895	15	14128009309853010	68	14134177061995017	-1,8,9,9	9,9,9,9	ok
-1.342105	-25.473684	15	14128009309853010	58	6417185109182742	-1,8,9,9	9,9,9,-9	ok
-1.342105	-24.789474	11	6413773528256940	57	6127218708778185	-1,8,9,-9	9,-9,-9,-9	ok
-1.342105	-24.105263	70	17113432059335363421900214640502	57	6127218708778185	-1,8,-9,8,-9	9,-9,-9,-9	ok
-1.342105	-23.421053	70	17113432059335363421900214640502	52	2671081176279736	-1,8,-9,8,-9	-9,8,-9,8	ok
-1.342105	-22.736842	66	3567337129908398802593659638902	54	5848782350016823	-1,8,8,-9,8	-9,8,8,-9	ok
-1.342105	-22.052632	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.342105	-21.368421	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.342105	-20.684211	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
