delta_x	delta_ca	category_id	encoding	T_scs	gamma_scs	status
-1.500000	-33.000000	1994	37382954118278832773895244218236686338908646550437400502358118064530753024550062640906067170928617876419718895893920344187748485899117758828796801551543527566052849489960209264260571065203066311598313830144764932874730423791089727802518968564911099043477397497871913270075737561280986895111278177488584460269414679240001738008277920728629640960071607471547556017673758067263303884445106497379	-1,0,0,0,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.489899	-33.000000	86	5695192299352783539644268	-1,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.479798	-33.000000	86	5695192299352783539644268	-1,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.469697	-33.000000	1046	16217557574941607328116700015633754145792539683129	-1,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.459596	-33.000000	1046	16217557574941607328116700015633754145792539683129	-1,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.449495	-33.000000	87	5695192305613342475180838	-1,0,0,0,0,0,0	11,2,0,0,0	ok
-1.439394	-33.000000	1929	131504586847961235687181966940029500971544336012597587654647332247485857613093680244399020269109586	-1,0,0,0,0,0,0,0,0	11,2,0,0,0	ok
-1.429293	-33.000000	1929	131504586847961235687181966940029500971544336012597587654647332247485857613093680244399020269109586	-1,0,0,0,0,0,0,0,0	11,2,0,0,0	ok
-1.419192	-33.000000	93	5695192504415621406376008	-1,0,0,0,0,0,0	11,2,0,-1,0	ok
-1.409091	-33.000000	90	5695192346838532532854173	-1,0,0,0,0,0,0	11,2,-1,0,0	ok
-1.398990	-33.000000	113	5695566791145223276825317	-1,0,0,0,0,0,0	11,2,2,1,-1	ok
-1.388889	-33.000000	793	47498051242741860397376796680533446	-1,0,0,0,0,0	11,-3,-1,-11,-1	ok
-1.378788	-33.000000	194	498768080308792027406974821708	-1,0,0,0,0,1	11,-3,0,0,0	ok
-1.368687	-33.000000	939	47401472135782730772083906928623085092925	-1,0,0,0,-1,0,-1	11,3,0,-2,0	ok
-1.358586	-33.000000	860	1734494395594320446168154394853036358	-1,0,0,0,-2,0,0	11,3,3,1	ok
-1.348485	-33.000000	1871	57432325722862338101533514443269776712187527707295160032063382648617	-1,0,0,0,-11,0	11,-4,0,0,-1	ok
-1.338384	-33.000000	147	209151603785895931147891764	-1,0,0,-1,0,0	11,4,-2,-6,0	ok
-1.328283	-33.000000	963	1238406625123270200578159168808409216258446	-1,0,0,-2,0,-2	11,-5,0,0	ok
-1.318182	-33.000000	1608	40431925615124963425865595280263946524270111568307210639375872974	-1,0,0,6,-10	11,-6,0,-1,0	ok
-1.308081	-33.000000	821	175724320806431694112008647094838749	-1,0,0,-11,0,0	11,-7,0,-2,0	ok
-1.297980	-33.000000	1896	13906556597283515242967387038305936794353541672553872689144799136556284	-1,0,-1,0,11,-1	11,-8,0,2	ok
-1.287879	-33.000000	262	20579200994686083096576301742622	-1,0,-1,0,2,0	11,8,11,-1	ok
-1.277778	-33.000000	1838	18199760991355868614876897299631926896104364314127033497284649025220	-1,0,1,7,-11	11,9,1,3	ok
-1.267677	-33.000000	1904	290252321636654317786761433377710133870424709044141665368347205116066883670	-1,0,2,0,-11,-2	11,9,11,-1	ok
-1.257576	-33.000000	1026	252849878831116448261949723368635922726227791546	-1,0,-4,-11,4	11,-10,0,5	ok
-1.247475	-33.000000	1868	51133139994267324495074735523195811022503369065253588207482436684554	-1,0,9,0,11	11,10,-1,9	ok
-1.237374	-33.000000	774	35479624944016269172510775916634155	-1,0,10,-11,0	11,10,2,3	ok
-1.227273	-33.000000	585	2064526773119351831252751645434349	-1,0,-11,-1,-2,-1	11,10,-10,0	ok
-1.217172	-33.000000	1869	51208340385239747393704559537951493021225158288650109104796458703244	-1,0,-11,0,11	11,10,-11,1	ok
-1.207071	-33.000000	63	34806404670778001000808	-1,0,11,1,1	11,10,-11,0	ok
-1.196970	-33.000000	1833	6457358881496357686155595717066380952073089545941311598278632437235	-1,0,11,3,-11	11,10,11,-1	ok
-1.186869	-33.000000	1513	4286717668427699398714907452963627082242293630519922217365200375	-1,-1,-10,-1,1,-3	11,10,11,-2	ok
-1.176768	-33.000000	902	230500845004216632785515267398578342625	-1,-1,1,-11,-1,-1	11,10,11,-3	ok
-1.166667	-33.000000	1040	16217557574922390403285657772448257795740430531175	-1,-1,-1,-1,-1,-1,-1	11,10,11	ok
-1.156566	-33.000000	797	62876908635687122742743084576639121	-1,1,2,-10,1	11,-11,-11,1	ok
-1.146465	-33.000000	770	33494489395182693022228346761027754	-1,1,10,11	11,-11,-11,1	ok
-1.136364	-33.000000	927	5070166185780396704298057419259612173444	-1,1,-11,-2,-4	11,-11,-11,2	ok
-1.126263	-33.000000	1886	634693919459547213346987252757526366201723721955070986774061586483146	-1,-2,-11,-11,11	11,-11,-11,-10	ok
-1.116162	-33.000000	923	2817543391384840774380302712673742790314	-1,2,9,-11,2	11,-11,-11,10	ok
-1.106061	-33.000000	1837	16156804909184928461269333226245764620224814879230530969544337351550	-1,-3,-11,-7,-11	11,-11,-11,-11	ok
-1.095960	-33.000000	768	21800133988626718177904423838704079	-1,3,11,10	11,-11,-11,-11	ok
