category_id	count	encoding	T_scs	gamma_scs
1	1	3393969910056	-1,0,0,0,0,0	11,-1,0,0,0
2	2	3397188300486	1,0,0,0,0,0	11,0,0,0,0
3	1	4848213586755	-1,0,0,0,0,0	11,0,1,0,-1
4	1	5502308366841	-1,0,0,0,0,0	11,1,0,1,0
5	2	13774683054255	1,0,0,0,0,0	-11,0,0,0,0,0
6	1	371541628511199	-1,0,0,-1,0,0	11,2,0,0
7	1	4697821421159214	-1,0,0,-1,0,0	11,0,-1,0,1
8	1	31300309857374956	1,0,0,1,0,0	-11,0,0,0,0
9	1	31325633833622217	1,0,0,1,0,0	11,0,0,0,-1
10	1	31326677352824239	1,0,0,1,0,0	10,-10,0,0,0
11	1	31359064620294364	-1,0,0,1,0,0	10,1,1,-1,0
12	1	32061466896137025	1,0,0,0,0,0	-11,0,0,1,0,0
13	1	44219858975528844	-1,0,0,-1,0,0	11,0,-9,0,0
14	1	320277490200422760	-1,0,-1,0,-1,0	-10,0,-1,0,1
15	1	407489739036963588	-1,0,4,-2,0	10,1,9,1
16	1	410734924415149824	-1,0,-1,0,-1,0	10,0,9,0
17	1	937350819643477006	1,0,-2,0,-1,0	10,3,1,0
18	1	937583489479017011	1,0,-2,0,-1,0	10,9,0,1
19	1	1146299720360398066	1,0,1,0,-1,0	10,9,10,0
20	1	1804218752675650311	-1,0,10,-1,0	10,10,-10,0
21	1	1864134576916494246	-1,0,0,-2,0,0	10,-2,0,1,0
22	1	2104819534662414736	-1,0,0,-2,0,0	10,0,-8,0,0
23	1	2132112847952615649	-1,0,-11,-1,0	11,4,-1,1
24	1	3023840343145521961	1,0,-3,0,-1,0	10,-10,0,1
25	1	4246332200344712776	1,0,10,-1,0	10,9,10,1
26	1	6420061471600773603	-1,0,-6,1,0	10,1,2,-3,0
27	1	9059857257553760861	1,0,-4,0,-1,0	10,10,4,0
28	1	9887454333515999476	1,0,-7,0,1	10,2,-9,1
29	1	11051401099536449424	-1,1,-4,-1,1	10,10,10,1
30	1	13255921508491839438	-1,0,8,1,-1	9,9,-2,0
31	1	13999909293643191100	-1,0,10,-1,0	-11,0,10,1,0
32	1	26424430850103174400	-1,0,2,2,0	-11,0,-8,0,1
33	1	27502009956397519062	-1,0,9,-2,0	-10,0,9,-1,0
34	1	61696374569374692386	1,0,1,-1,-1,0	10,-3,9,2
35	1	78308260024944880900	1,0,0,2,0,0	-11,0,0,0,0
36	1	107550048498283149147	1,0,3,1,1	-11,-2,0,1,1
37	1	118535339763237956925	-1,0,-4,1,1	11,4,-10,0
38	1	189234614385344141280	-1,0,2,3,0	10,1,-1,0,1
39	1	197608873770324276616	1,0,0,1,-1,0	-11,0,0,0,0
40	1	198634550246127945504	-1,0,0,1,-1,0	11,-3,0,0,1
41	1	407957063528047930663	-1,0,-10,-1,0	-11,0,10,-3
42	1	474382640074166138482	1,0,-1,0,0,0	-11,0,0,0,-2
43	1	599674111900233213907	-1,0,-9,-1,1	9,9,-3,0
44	1	709085071425429830853	-1,0,1,-1,0,-1	10,1,-1,0,1
45	1	724964068854261650110	1,0,1,-1,0,-1	10,8,10,0
46	1	907088463121132116207	-1,0,9,-1,1	-10,0,-9,0
47	1	1060661738783483118390	-1,0,2,1,-1,0	11,0,10,0
48	1	1370918346097280436585	1,1,-10,-1,1	10,3,-2,1
