category_id	count	encoding	T_scs	gamma_scs
1	3	3393969910056	-1,0,0,0,0,0	11,-1,0,0,0
2	8	3397188300486	1,0,0,0,0,0	11,0,0,0,0
3	1	3397300387641	-1,0,0,0,0,0	11,1,0,0,0
4	1	3401334066381	-1,0,0,0,0,0	11,-2,0,0,0
5	1	3449050226760	-1,0,0,0,0,0	11,-3,-1,0,0
6	1	3452084414070	-1,0,0,0,0,0	11,0,1,0,0
7	1	3677139896761	1,0,0,0,0,0	10,-10,0,0,0
8	1	5152941423441	-1,0,0,0,0,0	11,0,0,1,0
9	1	5502308366841	-1,0,0,0,0,0	11,1,0,1,0
10	1	12237289902270	-1,0,0,0,0,0	11,1,2,0,-1
11	10	13774683054255	1,0,0,0,0,0	-11,0,0,0,0,0
12	1	15503700945615	1,0,0,0,0,0	-11,1,0,0,0,0
13	1	27522844129941	-1,0,0,0,0,0	11,0,-1,0,0,0
14	1	86507538993729	-1,0,4,-1,0	11,9,-4,0
15	1	179842601478880	1,0,-6,0,0	-11,-9,0,-1,0
16	1	228543100300185	-1,0,0,0,0,0	11,0,-6,0,0
17	1	371631944903242	-1,0,0,-1,0,0	10,-1,0,0,0
18	2	371807729384536	1,0,0,-1,0,0	-11,0,0,0,0
19	1	372098067902784	-1,0,0,-1,0,0	11,2,-1,0,0
20	1	372341745102459	-1,0,0,-1,0,0	11,3,-1,0,0
21	1	373708669871161	1,0,0,-1,0,0	10,8,0,0,0
22	1	374745725376867	-1,0,0,-1,0,0	11,-1,0,0,-1
23	1	384206255234604	-1,0,0,-1,0,0	11,4,1,-1,0
24	1	389694562361617	-1,0,0,-1,0,0	10,-1,0,1,0
25	1	450255198569145	1,0,0,0,0,0	-11,0,0,-1,0,0
26	1	517227816327466	1,0,-1,0,0,0	-11,0,0,-1,0,0
27	1	2301490364808461	1,0,1,-1,0,0	10,10,-1,0,0
28	1	2329354050167920	1,0,1,-1,0,0	-11,0,0,1,0
29	1	2422664752427182	1,0,0,-1,0,0	-11,0,1,1,-1
30	1	5583544958034936	1,0,-2,-1,0,0	10,10,0,1,0
