delta_x	delta_ca	category_id	encoding	T_scs	gamma_scs	status
-1.500000	-33.000000	6970	8646728181026489602610406537158318670928372786739157324338952261947980720748902833549232963382282068922026329548304575022226466318472455009879125879198562614937468669821468728227408639598773003643	-1,0,0,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.494975	-33.000000	6970	8646728181026489602610406537158318670928372786739157324338952261947980720748902833549232963382282068922026329548304575022226466318472455009879125879198562614937468669821468728227408639598773003643	-1,0,0,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.489950	-33.000000	294	5695192299352783539644268	-1,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.484925	-33.000000	6751	131504586847961235687181966940029500971544335982514018353166305658350750964995496310422969588712631	-1,0,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.479899	-33.000000	294	5695192299352783539644268	-1,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.474874	-33.000000	3665	16217557574941607328116700015633754145792539683129	-1,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.469849	-33.000000	3665	16217557574941607328116700015633754145792539683129	-1,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.464824	-33.000000	3665	16217557574941607328116700015633754145792539683129	-1,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.459799	-33.000000	3665	16217557574941607328116700015633754145792539683129	-1,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.454774	-33.000000	6970	8646728181026489602610406537158318670928372786739157324338952261947980720748902833549232963382282068922026329548304575022226466318472455009879125879198562614937468669821468728227408639598773003643	-1,0,0,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.449749	-33.000000	3666	16217557574941607328127264581034594205370939199089	-1,0,0,0,0,0,0,0	11,2,0,0,0	ok
-1.444724	-33.000000	3666	16217557574941607328127264581034594205370939199089	-1,0,0,0,0,0,0,0	11,2,0,0,0	ok
-1.439698	-33.000000	6752	131504586847961235687181966940029500971544336012597587654647332247485857613093680244399020269109586	-1,0,0,0,0,0,0,0,0	11,2,0,0,0	ok
-1.434673	-33.000000	6752	131504586847961235687181966940029500971544336012597587654647332247485857613093680244399020269109586	-1,0,0,0,0,0,0,0,0	11,2,0,0,0	ok
-1.429648	-33.000000	295	5695192305613342475180838	-1,0,0,0,0,0,0	11,2,0,0,0	ok
-1.424623	-33.000000	6764	131504586847961235687181966940029500971545151686575723193634316125223415286685661117330402958615346	-1,0,0,0,0,0,0,0,0	11,2,0,0,1	ok
-1.419598	-33.000000	306	5695192504415621406376008	-1,0,0,0,0,0,0	11,2,0,-1,0	ok
-1.414573	-33.000000	3692	16217557574941613534234451847956275203180973624319	-1,0,0,0,0,0,0,0	11,2,0,-3,0	ok
-1.409548	-33.000000	299	5695192346838532532854173	-1,0,0,0,0,0,0	11,2,-1,0,0	ok
-1.404523	-33.000000	350	5695584441577798178215728	-1,0,0,0,0,0,0	11,2,1,0,1	ok
-1.399497	-33.000000	384	5931071342010061072667442	-1,0,0,0,0,0,0	11,2,2,0,-2	ok
-1.394472	-33.000000	3031	53008825344413664755976340897763114301	-1,0,0,0,0,0,-1	11,2,9,-1	ok
-1.389447	-33.000000	5	3449050226760	-1,0,0,0,0,0	11,-3,-1,0,0	ok
-1.384422	-33.000000	2314	9455884741522227803957489716331949	-1,0,0,0,0,-1,0	11,-3,0,0,0	ok
-1.379397	-33.000000	625	498768080308792027406974821708	-1,0,0,0,0,1	11,-3,0,0,0	ok
-1.374372	-33.000000	6705	33914971101921225157883002154041033684502887258289292013662393296367126769936817457	-1,0,0,0,0,4	11,3,0,0,-1	ok
-1.369347	-33.000000	95	5400186383847850692	-1,0,0,0,-1,0	11,3,0,1,1	ok
-1.364322	-33.000000	1514	489473985548688360750235187971950	-1,0,0,0,1,0,0	11,3,-1,0,0	ok
-1.359296	-33.000000	6967	2111500706809916600701481207948249307147930224787154694154903760073574790615493127780547602397102287470580849112361518222792983668448282	-1,0,0,0,1,11	11,3,2,10	ok
-1.354271	-33.000000	3319	590784954776500084103828774523371987269116	-1,0,0,0,-4,0	11,3,11,0	ok
-1.349246	-33.000000	6589	57432325722862338101533514443269776712187527707295160032063382648617	-1,0,0,0,-11,0	11,-4,0,0,-1	ok
-1.344221	-33.000000	6733	23590239279706312951838010641649203045975492707129180763238249386754926463772648637253624	-1,0,0,-1,0,-5	11,4,0,-1,0	ok
-1.339196	-33.000000	23	384206255234604	-1,0,0,-1,0,0	11,4,1,-1,0	ok
-1.334171	-33.000000	144	209965609702705553454	-1,0,0,1,-1,0	11,4,-11,0	ok
-1.329146	-33.000000	6675	39791953511158578687123799328819513944077644778371376629629338069538493106	-1,0,0,-2,10,-2	11,-5,0,0,2	ok
-1.324121	-33.000000	5958	252315905767496526634636595890794665600521614816883715447837624295	-1,0,0,2,10	11,5,1,3	ok
-1.319095	-33.000000	530	17446849779616588460836979316	-1,0,0,5,1	11,-6,-1,0,1	ok
-1.314070	-33.000000	4874	249470022875649920345619108777184959987936059236954394398017315	-1,0,0,10,0,-3	11,6,-1,0,1	ok
-1.309045	-33.000000	2955	7568499580939184379353354300446635876	-1,0,0,-11,0,-1	11,-7,-2,0,2	ok
-1.304020	-33.000000	2950	7261134415680405387891310747310397177	-1,0,0,11,-1,0	11,7,-1,0,1	ok
-1.298995	-33.000000	2580	37740455122664817711262117712566989	-1,0,-1,-1,0,-1,0	11,-8,1,-6	ok
-1.293970	-33.000000	3538	17533266464802182090994885831998688571200765729	-1,0,-1,0,1,-2	11,8,-1,0,-2	ok
-1.288945	-33.000000	6655	106476560766376640181361713518639162028613166383091339973659426212796754	-1,0,-1,0,1,3	11,8,-11,0	ok
-1.283920	-33.000000	6895	33592370148773275084731036753696091564449912071836331488879490835489567320725872790903578890230702071890026653637266890992830216	-1,0,1,-1,1,-10	11,-9,0,1,-1	ok
-1.278894	-33.000000	3443	24953948833696802737683238836530951399012796	-1,0,1,3,4	11,9,-1,0	ok
-1.273869	-33.000000	2621	47440542985840533928071793828400325	-1,0,1,11,0	11,9,8	ok
-1.268844	-33.000000	2826	589023696014130112083634941066369204	-1,0,-2,0,2,-1	11,9,-11,0	ok
-1.263819	-33.000000	5825	159969338829089064320745946998210977271479673373811239899055040841	-1,0,2,-11,-10	11,-10,-2,0	ok
-1.258794	-33.000000	6474	23572296448211815623904131317038460581848392173185805758428214689394	-1,0,3,8,-11	11,-10,0,9	ok
-1.253769	-33.000000	647	569133310357579425982848217329	-1,0,5,-2,1	11,-10,0,8	ok
-1.248744	-33.000000	2667	71975471173126374322526872541552859	-1,0,8,-11,0	11,10,0,11	ok
-1.243719	-33.000000	5428	5990877221318945992287372078441055770695268427893073981510143294	-1,0,-10,0,-10	11,10,1,-1	ok
-1.238693	-33.000000	1895	2212699300024533403147079077301013	-1,0,10,10	11,10,-2,0	ok
-1.233668	-33.000000	3070	143127035439049367140649123727327707724	-1,0,10,11,-2	11,10,4,-1	ok
-1.228643	-33.000000	107	13001655280807703943	-1,0,-11,1,0	11,10,9	ok
-1.223618	-33.000000	6329	2877075071030109365958695555957365587982313433780369915091187965629	-1,0,-11,0,-11	11,10,10	ok
-1.218593	-33.000000	6336	2877075071030109365958983298285004592904114782077443738252933123744	-1,0,-11,0,-11	11,10,-11,3	ok
-1.213568	-33.000000	5864	164178359502446424131802628835780584751983994199730212834461489169	-1,0,-11,-1,10	11,10,-11,0	ok
-1.208543	-33.000000	97	6095459272191106158	-1,0,11,-1,0	11,10,-11,0	ok
-1.203518	-33.000000	6396	3776880762209065559997302419333192800520882814474159640743486417175	-1,0,11,1,-11	11,10,-11,-1	ok
-1.198492	-33.000000	6428	4943990100648421840834609213681624985636955085346079947884500602235	-1,0,11,2,-11	11,10,11,-1	ok
-1.193467	-33.000000	1867	2065143787488429246764911926278285	-1,-1,-11,-1,-2,-1	11,10,11,1	ok
-1.188442	-33.000000	2698	134494697833636620174676459022534585	-1,-1,10,-11,-1	11,10,11,1	ok
-1.183417	-33.000000	4025	356748326289041770874549388804275387064075152182545729665	-1,-1,4,-4,7	11,10,11,-2	ok
-1.178392	-33.000000	4113	17589404990691428951335302519792681516382866203449007495600	-1,-1,1,11,7	11,10,11,-3	ok
-1.173367	-33.000000	6604	73601327087777780462332691015742727721638808559718162642652807574800	-1,-1,1,-2,11	11,10,11,-4	ok
-1.168342	-33.000000	3655	16217557574922390403285657772448257795740430531175	-1,-1,-1,-1,-1,-1,-1	11,10,11	ok
-1.163317	-33.000000	2709	134924423674261378178447484471287852	-1,-1,1,-2,-1,1	11,-11,11,2	ok
-1.158291	-33.000000	4242	474353319032249801644859547410427981884625896350857597810896	-1,1,-2,-11,-8	11,-11,-11,1	ok
-1.153266	-33.000000	3615	305773342160545141897823419389377812815893130021	-1,1,-5,1,5	11,-11,-11,1	ok
-1.148241	-33.000000	2879	1653560929707163060263264610085014871	-1,1,10,-11,1	11,-11,-11,1	ok
-1.143216	-33.000000	6430	5648615331477588379324599346809144300066367162183827343344290325369	-1,1,-11,-3,-11	11,-11,-11,1	ok
-1.138191	-33.000000	6394	3774704042490627390179416021394200086545896886069864260298517353844	-1,1,-11,1,-11	11,-11,-11,2	ok
-1.133166	-33.000000	6009	343219477942431678253290112861901950877959453120046304149544208119	-1,1,11,3,10	11,-11,-11,-4	ok
-1.128141	-33.000000	1191	128441215102961018524461136261635	-1,-2,-11,-2,-2	11,-11,-11,9	ok
-1.123116	-33.000000	3280	196337469725564721713863668296433735310596	-1,-2,4,-11,-3	11,-11,-11,10	ok
-1.118090	-33.000000	2913	3269584910334614589727679722206185346	-1,-2,-3,-10,-2	11,-11,-11,10	ok
-1.113065	-33.000000	2494	21300363382830629276313931538202944	-1,2,-11,10	11,-11,-11,-11	ok
-1.108040	-33.000000	3257	57368101461576239898547563930525801202514	-1,2,-11,-7,3	11,-11,-11,-11	ok
-1.103015	-33.000000	6614	352587636748927454948946049741641216999235826339380118392044580893750	-1,-3,-4,8,11	11,-11,-11,-11	ok
-1.097990	-33.000000	6441	6453760464890409018531331810481142575778479673993928006911585607575	-1,3,-11,3,-11	11,-11,-11,-11	ok
-1.092965	-33.000000	2668	72910057718238440637876876773312414	-1,-4,9,11	11,-11,-11,-11	ok
-1.087940	-33.000000	2563	36615064568717069777345184955971435	-1,5,10,-11	11,-11,-11,-11	ok
-1.082915	-33.000000	2331	9487522507297310961241380209199995	-1,-7,-11,-7	11,-11,-11,-11	ok
-1.077889	-33.000000	2434	14659043588234149782723243786487355	-1,8,-11,-10	11,-11,-11,-11	ok
-1.072864	-33.000000	2588	37809525058184779451799916929638385	-1,9,-11,-11	11,-11,-11,-11	ok
-1.067839	-33.000000	2498	21331707531876757244156825057290529	-1,-10,-11,10	11,-11,-11,-11	ok
-1.062814	-33.000000	2429	14248105693927607779617030823169429	-1,-10,-10,-10	11,-11,-11,-11	ok
-1.057789	-33.000000	2592	37818864923015051320480374457918425	-1,10,-11,-11	11,-11,-11,-11	ok
-1.052764	-33.000000	2500	21333799802505464644610711640772074	-1,10,-11,10	11,-11,-11,-11	ok
-1.047739	-33.000000	2500	21333799802505464644610711640772074	-1,10,-11,10	11,-11,-11,-11	ok
-1.042714	-33.000000	2500	21333799802505464644610711640772074	-1,10,-11,10	11,-11,-11,-11	ok
-1.037688	-33.000000	2500	21333799802505464644610711640772074	-1,10,-11,10	11,-11,-11,-11	ok
-1.032663	-33.000000	2500	21333799802505464644610711640772074	-1,10,-11,10	11,-11,-11,-11	ok
-1.027638	-33.000000	2592	37818864923015051320480374457918425	-1,10,-11,-11	11,-11,-11,-11	ok
-1.022613	-33.000000	2592	37818864923015051320480374457918425	-1,10,-11,-11	11,-11,-11,-11	ok
-1.017588	-33.000000	2592	37818864923015051320480374457918425	-1,10,-11,-11	11,-11,-11,-11	ok
-1.012563	-33.000000	2594	37823535936983858535310722870140625	-1,-11,-11,-11	11,-11,-11,-11	ok
-1.007538	-33.000000	2594	37823535936983858535310722870140625	-1,-11,-11,-11	11,-11,-11,-11	ok
-1.002513	-33.000000	2594	37823535936983858535310722870140625	-1,-11,-11,-11	11,-11,-11,-11	ok
-0.997487	-33.000000	2594	37823535936983858535310722870140625	-1,-11,-11,-11	11,-11,-11,-11	ok
-0.992462	-33.000000	2594	37823535936983858535310722870140625	-1,-11,-11,-11	11,-11,-11,-11	ok
-0.987437	-33.000000	2593	37823535792741073666422882855893427	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.982412	-33.000000	2593	37823535792741073666422882855893427	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.977387	-33.000000	2593	37823535792741073666422882855893427	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.972362	-33.000000	2593	37823535792741073666422882855893427	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.967337	-33.000000	2593	37823535792741073666422882855893427	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.962312	-33.000000	2593	37823535792741073666422882855893427	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.957286	-33.000000	2593	37823535792741073666422882855893427	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.952261	-33.000000	2593	37823535792741073666422882855893427	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.947236	-33.000000	2593	37823535792741073666422882855893427	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.942211	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.937186	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.932161	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.927136	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.922111	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.917085	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.912060	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.907035	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.902010	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.896985	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.891960	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.886935	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.881910	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.876884	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.871859	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.866834	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.861809	-33.000000	6581	44706877440489332687476398839301607601862919922592027274734406294837	1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.856784	-33.000000	6581	44706877440489332687476398839301607601862919922592027274734406294837	1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.851759	-33.000000	6581	44706877440489332687476398839301607601862919922592027274734406294837	1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.846734	-33.000000	6581	44706877440489332687476398839301607601862919922592027274734406294837	1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.841709	-33.000000	6581	44706877440489332687476398839301607601862919922592027274734406294837	1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.836683	-33.000000	6581	44706877440489332687476398839301607601862919922592027274734406294837	1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.831658	-33.000000	6581	44706877440489332687476398839301607601862919922592027274734406294837	1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.826633	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.821608	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.816583	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.811558	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.806533	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.801508	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.796482	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.791457	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.786432	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.781407	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.776382	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.771357	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.766332	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.761307	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.756281	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.751256	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.746231	-33.000000	6580	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
