category_id	count	encoding	sequence
1	2	373678	1,0,-3,0,0
2	1	1104839	1,1,2,-1,0
3	5	1680859	1,0,-4,0,0
4	2269	2600339	-1,0,0,0,0,0
5	653	2602619	1,0,0,0,0,0
6	1	3654455	-1,0,3,-1,0
7	1	4065524	1,1,3,-1,0
8	44	4757068	1,0,-1,0,0,0
9	2	6088303	1,0,-5,0,0
10	1	7677320	-1,0,2,1,0
11	3	7681238	1,0,2,1,0
12	2	11778230	-1,0,4,-1,0
13	1	11783083	1,0,4,-1,0
14	3	18656884	1,0,-6,0,0
15	6	22261127	-1,0,3,1,0
16	1	22267799	1,0,3,1,0
17	215	27258035	-1,0,0,-1,0,0
18	184	27265418	1,0,0,-1,0,0
19	6	33052514	-1,0,5,-1,0
20	1	34101409	1,-1,5,-1,0
21	5	43417220	-1,0,-1,-1,0,0
22	12	43426538	1,0,-1,-1,0,0
23	1	50145103	1,0,-7,0,0
24	1	53029550	-1,0,-6,-1,0
25	3	57604010	-1,0,4,1,0
26	3	57614743	1,0,4,1,0
27	1	67622633	1,1,2,-2,0
28	29	67645894	1,0,1,-1,0,0
29	5	82979402	-1,0,6,-1,0
30	1	87179408	1,1,6,-1,0
31	1	89358395	-1,0,-5,1,0
32	1	103198159	1,1,-3,-2,0
33	3	103226894	1,0,-2,-1,0,0
34	1	121360408	1,0,-8,0,0
35	1	126938210	-1,0,-7,-1,0
36	2	135688100	-1,0,5,1,0
37	1	135704573	1,0,5,1,0
38	1	151266919	1,-1,3,-2,0
39	3	154554569	1,0,2,-1,0,0
40	6	190232264	-1,0,7,-1,0
41	1	194094252	-1,-1,7,-1,0
42	1	202055252	-1,0,-6,1,0
43	1	227324501	1,1,-4,-2,0
44	1	227367148	1,0,-3,-1,0,0
45	1	231802744	1,0,2,0,1
46	1	240846377	-1,0,1,2,0
47	5	240868324	1,0,1,2,0
48	44	250174895	-1,0,0,1,0,0
49	82	250197263	1,0,0,1,0,0
50	2	269665474	1,0,-9,0,0
51	1	279791339	-1,0,-8,-1,0
52	1	279814994	1,0,-8,-1,0
53	2	290200184	1,1,-8,-1,0
54	3	295548827	-1,0,6,1,0
55	1	295573139	1,0,6,1,0
56	1	311937751	1,1,-6,-1,-1
57	2	317583002	-1,0,4,-2,0
58	4	329076683	1,0,3,-1,0,0
59	2	334900139	-1,0,-3,0,1
60	2	334926019	1,0,-3,0,1
61	3	359106598	1,0,-1,1,0,0
62	15	404516345	-1,0,8,-1,0
63	1	404544788	1,0,8,-1,0
64	1	411371584	1,0,-8,0,-1
65	1	425254865	-1,0,-7,1,0
66	1	461578534	1,-1,-5,-2,0
67	1	476771758	1,0,3,0,1
68	1	492273752	-1,0,2,2,0
69	2	508215019	1,0,1,1,0,0
70	143	524475077	-1,0,0,0,-1,0
71	131	524507464	1,0,0,0,-1,0
72	1	558097343	1,-3,-1,-1,1
73	11	575707277	-1,0,-9,-1,0
74	1	575741209	1,0,-9,-1,0
75	1	584563527	-1,-1,-9,-1,0
76	1	593556283	1,1,-9,-1,0
77	3	640122089	-1,0,5,-2,0
78	1	649639033	1,2,-7,-1,-1
79	1	659444084	1,1,5,-2,0
80	3	659516719	1,0,4,-1,0,0
