category_id	count	encoding	sequence
1	1	681	11,-1,0,0
2	7	881	11,1,0,0
3	6	1154	11,-2,0,0
4	5	1518	11,2,0,0
5	2	1631	11,1,-1,0
6	7	1994	11,-3,0,0
7	8	2324	11,0,1,0
8	1	2465	10,3,0,0
9	4	2606	11,3,0,0
10	1	2608	10,2,-1,0
11	5	2753	11,2,-1,0
12	2	3220	10,-4,0,0
13	4	3381	11,-4,0,0
14	2	3633	11,2,0,-1
15	1	3635	10,1,1,0
16	10	3806	11,1,1,0
17	183	3895	-11,0,0,0,0
18	597	3983	11,0,0,0,0
19	1	4166	10,4,0,0
20	1	4349	11,4,0,0
21	1	4444	-11,3,-1,0
22	4	4538	11,3,-1,0
23	1	4829	11,-2,1,0
24	8	4831	10,-1,0,0,0
25	6	4929	-11,-1,0,0,0
26	255	5028	11,-1,0,0,0
27	2	5336	10,-5,0,0
28	2	5543	11,-5,0,0
29	2	5756	11,-4,-1,0
30	3	5866	10,2,1,0
31	4	6083	11,2,1,0
32	259	6306	11,1,0,0,0
33	3	6766	10,5,0,0
34	4	7001	10,4,-1,0
35	1	7119	-11,4,-1,0
36	2	7238	11,4,-1,0
37	23	7606	10,-2,0,0,0
38	5	7729	-11,-2,0,0,0
39	117	7853	11,-2,0,0,0
40	3	8495	10,-6,0,0
41	1	8625	-11,-6,0,0
42	2	8756	11,-6,0,0
43	3	9023	11,-5,-1,0
44	4	9160	10,3,1,0
45	1	9431	11,3,1,0
46	3	9433	10,2,0,0,0
47	1	9570	-11,2,0,0,0
48	35	9708	11,2,0,0,0
49	7	9989	11,1,-2,0
50	28	10132	-11,0,-1,0,0
51	185	10274	11,0,-1,0,0
52	2	10565	10,6,0,0
53	2	10858	10,5,-1,0
54	1	11153	11,5,-1,0
55	1	11303	11,-5,0,-1
56	1	11305	10,-4,1,0
57	15	11608	10,-3,0,0,0
58	2	11760	-11,-3,0,0,0
59	12	11913	11,-3,0,0,0
60	1	12224	11,-2,-2,0
61	3	12226	10,-1,-1,0,0
62	1	12382	-11,-1,-1,0,0
63	9	12539	11,-1,-1,0,0
64	4	12698	11,0,0,1
65	1	13021	10,-7,0,0
66	1	13346	10,-6,-1,0
67	3	13841	10,4,1,0
68	1	14174	11,4,1,0
69	2	14176	10,3,0,0,0
70	1	14344	-11,3,0,0,0
71	1	14513	11,3,0,0,0
72	1	14515	10,2,-2,0
73	3	14856	11,2,-2,0
74	23	14858	10,1,-1,0,0
75	2	15030	-11,1,-1,0,0
76	67	15203	11,1,-1,0,0
77	3	15378	11,-1,0,1
78	2	15911	10,7,0,0
79	3	16270	10,6,-1,0
80	1	16450	-11,6,-1,0
81	1	16631	11,6,-1,0
82	1	17183	11,-5,1,0
83	8	17185	10,-4,0,0,0
84	3	17370	-11,-4,0,0,0
85	1	17556	11,-4,0,0,0
86	2	17935	10,-2,-1,0,0
87	1	18123	11,2,1,-1
88	1	18125	10,1,0,1
89	7	18314	11,-2,-1,0,0
90	4	18506	11,1,0,1
91	1	18700	-11,0,2,0
92	8	18893	11,0,2,0
93	4	19286	10,-8,0,0
94	2	19681	10,-7,-1,0
95	1	20078	11,-7,-1,0
96	1	20281	10,5,1,0
97	1	20482	-11,5,1,0
98	1	20684	11,5,1,0
99	4	20686	10,4,0,0,0
100	3	21095	10,3,-2,0
101	2	21506	11,3,-2,0
102	11	21508	10,2,-1,0,0
103	2	21715	-11,2,-1,0,0
104	14	21923	11,2,-1,0,0
105	6	22133	11,-2,0,1
106	1	23200	10,8,0,0
107	1	23417	-10,7,-1,0
108	2	23633	10,7,-1,0
109	1	23851	10,-7,0,-1
110	1	24290	10,-6,1,0
111	1	24511	10,5,-1,-1
112	7	24733	10,-5,0,0,0
113	1	25856	11,3,1,-1
114	3	25858	10,2,0,1
115	4	26084	11,-3,-1,0,0
116	4	26313	11,2,0,1
117	3	26315	10,1,2,0
118	5	26774	11,1,2,0
119	6	27007	-11,0,1,0,0
120	144	27239	11,0,1,0,0
121	8	27710	10,-9,0,0
122	1	27947	-10,-8,-1,0
123	4	28183	10,-8,-1,0
124	1	28658	11,-8,-1,0
125	1	28900	10,6,1,0
126	1	29381	11,6,1,0
127	1	29383	10,5,0,0,0
128	1	29624	11,-6,-1,-1
129	2	29870	10,4,-2,0
130	2	30359	11,4,-2,0
131	7	30361	10,3,-1,0,0
132	1	30607	-11,3,-1,0,0
133	2	30608	10,-3,0,1
134	4	30854	11,3,-1,0,0
135	4	31103	11,-3,0,1
136	1	31606	10,-1,1,0,0
137	10	32109	11,-1,1,0,0
138	8	32876	10,9,0,0
139	1	33134	-10,8,-1,0
140	7	33391	10,8,-1,0
141	2	33649	-11,8,-1,0
142	2	33908	11,8,-1,0
143	4	34696	10,-6,0,0,0
144	1	35756	11,-5,-2,0
145	1	35758	10,-4,-1,0,0
146	1	36293	11,-4,-1,0,0
147	2	36563	11,3,0,1
148	2	36565	10,2,2,0
149	1	37106	11,2,2,0
150	1	37108	10,1,1,0,0
151	1	37380	-11,1,1,0,0
152	32	37653	11,1,1,0,0
153	1	37654	-11,-1,-1,1
154	35	37929	-11,0,0,-1,0
155	84	38204	11,0,0,-1,0
156	30	38761	10,-10,0,0
157	10	38763	9,-9,-1,0
158	1	39039	-11,-10,0,0
159	2	39041	-10,-9,-1,0
160	4	39320	10,-9,-1,0
161	1	39601	10,8,0,-1
162	1	39881	11,-9,-1,0
163	5	40166	10,7,1,0
164	2	40735	10,6,0,0,0
165	1	41883	11,5,-2,0
166	4	41885	10,4,-1,0,0
167	1	42464	11,4,-1,0,0
168	3	42756	11,-4,0,1
169	1	43639	-11,-2,1,0,0
170	3	43934	11,-2,1,0,0
171	20	43936	10,-1,0,-1,0
172	1	44231	11,1,-1,1
173	3	44232	-11,-1,0,-1,0
174	31	44529	11,-1,0,-1,0
175	17	45431	10,10,0,0
176	16	45433	9,9,-1,0
177	1	45734	-10,9,-1,0
178	12	46036	10,9,-1,0
179	1	46339	-11,9,-1,0
180	4	46643	11,9,-1,0
181	6	47566	10,-7,0,0,0
182	1	47873	11,7,-1,-1
183	2	48185	10,-6,-2,0
184	1	49121	10,4,0,1
185	1	49748	11,4,0,1
186	1	50381	11,3,2,0
187	2	50383	10,2,1,0,0
188	1	50700	-11,2,1,0,0
189	5	51018	11,2,1,0,0
190	14	51020	10,1,0,-1,0
191	4	51338	11,-2,-1,1
192	46	51659	11,1,0,-1,0
193	17	53608	10,-10,-1,0
194	2	53935	-11,-10,-1,0
195	4	54263	11,-10,-1,0
196	5	54595	10,8,1,0
197	1	54925	-11,8,1,0
198	1	55256	11,8,1,0
199	1	55258	10,7,0,0,0
200	5	56596	10,5,-1,0,0
201	1	56933	10,-5,0,1
202	1	58631	11,3,-2,-1
203	2	58974	11,-3,1,0,0
204	13	58976	10,-2,0,-1,0
