delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.401804	-33.000000	2600339	73948400180617193	-1,0,0,0,0,0	11,2,1,-11	ok
-1.401804	-32.973948	2600339	69091979518295943	-1,0,0,0,0,0	11,2,0,-11	ok
-1.401804	-32.947896	2600339	1518	-1,0,0,0,0,0	11,2,0,0	ok
-1.401804	-32.921844	2600339	9708	-1,0,0,0,0,0	11,2,0,0,0	ok
-1.401804	-32.895792	2600339	7853	-1,0,0,0,0,0	11,-2,0,0,0	ok
-1.401804	-32.869739	2600339	7853	-1,0,0,0,0,0	11,-2,0,0,0	ok
-1.401804	-32.843687	2600339	2677180529	-1,0,0,0,0,0	11,-2,0,1,1	ok
-1.401804	-32.817635	2600339	66543382376047556	-1,0,0,0,0,0	11,1,10,10	ok
-1.401804	-32.791583	2600339	3705981	-1,0,0,0,0,0	11,1,4,0,0	ok
-1.401804	-32.765531	2600339	91356	-1,0,0,0,0,0	11,1,-2,0,0	ok
-1.401804	-32.739479	2600339	3806	-1,0,0,0,0,0	11,1,1,0	ok
-1.401804	-32.713427	2600339	15203	-1,0,0,0,0,0	11,1,-1,0,0	ok
-1.401804	-32.687375	2600339	73344194	-1,0,0,0,0,0	11,1,-1,0,1	ok
-1.401804	-32.661323	2600339	187039297027694	-1,0,0,0,0,0	11,1,0,5,1	ok
-1.401804	-32.635271	2600339	111376879689431	-1,0,0,0,0,0	11,1,0,1,2	ok
-1.401804	-32.609218	2600339	51659	-1,0,0,0,0,0	11,1,0,-1,0	ok
-1.401804	-32.583166	2600339	881	-1,0,0,0,0,0	11,1,0,0	ok
-1.401804	-32.557114	2600339	47545854	-1,0,0,0,0,0	11,1,0,0,1	ok
-1.401804	-32.531062	2600339	133881	-1,0,0,0,0,0	11,1,0,0,-1	ok
-1.401804	-32.505010	4538043545	6306	-1,0,0,0,0,-1	11,1,0,0,0	ok
-1.401804	-32.478958	4538043545	5028	-1,0,0,0,0,-1	11,-1,0,0,0	ok
-1.401804	-32.452906	4538043545	5028	-1,0,0,0,0,-1	11,-1,0,0,0	ok
-1.401804	-32.426854	4538043545	5028	-1,0,0,0,0,-1	11,-1,0,0,0	ok
-1.401804	-32.400802	998767320547577	5028	-1,0,0,0,0,1	11,-1,0,0,0	ok
-1.401804	-32.374749	998767320547577	5028	-1,0,0,0,0,1	11,-1,0,0,0	ok
-1.401804	-32.348697	998767320547577	5028	-1,0,0,0,0,1	11,-1,0,0,0	ok
-1.401804	-32.322645	998767320547577	5028	-1,0,0,0,0,1	11,-1,0,0,0	ok
-1.401804	-32.296593	77971519449922417203419339	12503627763153	-1,0,0,0,0,2	11,-1,0,0,2	ok
-1.401804	-32.270541	77971519449922417203419339	661803	-1,0,0,0,0,2	11,-1,0,1,0	ok
-1.401804	-32.244489	153539576523197596871901701163918500702	32497077516868806	-1,0,0,0,0,-4	11,-1,0,10	ok
-1.401804	-32.218437	47292757827343789120364484836490260159900503882131349589	2494239	-1,0,0,0,0,7	11,-1,1,1,0	ok
-1.401804	-32.192385	139309012839995604191019650650922986816864076246959962020198931839	1104194499	-1,0,0,0,0,10	11,-1,-11,0,0	ok
-1.401804	-32.166333	2841848588176385772795683582354190225456596063751253416409713523445	86674009651343	-1,0,0,0,0,-11	11,0,-11,6	ok
-1.401804	-32.140281	66720926273439452	1104241493	-1,0,0,0,-1,1	11,0,10,1	ok
-1.401804	-32.114228	524475077	558932873	-1,0,0,0,-1,0	11,0,-10,0,0	ok
-1.401804	-32.088176	524475077	175678118	-1,0,0,0,-1,0	11,0,9,0	ok
-1.401804	-32.062124	524475077	11900143827838049	-1,0,0,0,-1,0	11,0,7,9	ok
-1.401804	-32.036072	524475077	14794494083	-1,0,0,0,-1,0	11,0,5,-3,0	ok
-1.401804	-32.010020	171642627464	20894858	-1,0,0,0,1,0	11,0,4,0,-1	ok
-1.401804	-31.983968	171642627464	3711428	-1,0,0,0,1,0	11,0,3,-1,0	ok
-1.401804	-31.957916	129422015682764	335443829	-1,0,0,0,1,-1	11,0,-3,0,1	ok
-1.401804	-31.931864	6184230871619059994889922964	101097068	-1,0,0,0,1,2	11,0,2,1,-1	ok
-1.401804	-31.905812	217719150704558754540518924698004961569431512178726696258045546952	2079758	-1,0,0,0,-2,10	11,0,2,0,-1	ok
-1.401804	-31.879760	41925896814452	70103	-1,0,0,0,-2,0	11,0,-2,0,0	ok
-1.401804	-31.853707	3499970946211947819920	347385239	-1,0,0,0,2,1	11,0,-2,2,0	ok
-1.401804	-31.827655	533508222173189639	16753519520579	-1,0,0,0,-3,0	11,0,1,6	ok
-1.401804	-31.801603	28872261483672049143827	2984560591409	-1,0,0,0,4,0	11,0,1,-2,-2	ok
-1.401804	-31.775551	883198714222315560413764826420	213509	-1,0,0,0,6,1	11,0,1,-1,0	ok
-1.401804	-31.749499	22573076094694558089061561863014	561007651127917101774718588634	-1,0,0,0,-9,0	11,0,1,0,8	ok
-1.401804	-31.723447	569017662591425920660454914501952	105974939	-1,0,0,0,-10,0	11,0,1,0,1	ok
-1.401804	-31.697395	7887892896413400538410222613695289070	27239	-1,0,0,0,10,-2	11,0,1,0,0	ok
-1.401804	-31.671343	10717492777964661460631486700740702	10274	-1,0,0,0,-11,0	11,0,-1,0,0	ok
-1.401804	-31.645291	347548531674470	10274	-1,0,0,-1,1,-1	11,0,-1,0,0	ok
-1.401804	-31.619238	94991925637684886064507860	10274	-1,0,0,-1,0,2	11,0,-1,0,0	ok
-1.401804	-31.593186	27258035	10274	-1,0,0,-1,0,0	11,0,-1,0,0	ok
-1.401804	-31.567134	27258035	69673088	-1,0,0,-1,0,0	11,0,-1,0,1	ok
-1.401804	-31.541082	27258035	1222244	-1,0,0,-1,0,0	11,0,-1,1,0	ok
