category_id	count	encoding	T_scs	gamma_scs
1	1	372243102297414	-1,0,0,-1,0,0	11,0,1,0,0
2	1	1862769504936666925	1,0,0,-2,0,0	-11,0,0,0,0
3	1	2136982029343831373465603	-1,-1,1,3,1	9,9,-9,1
4	1	5695192305613342475180838	-1,0,0,0,0,0,0	11,2,0,0,0
5	1	5695201054661755803056486	1,0,0,0,0,0,0	11,0,0,0,0
6	1	5695209971820749963769925	1,0,0,0,0,0,0	-11,0,0,0,0,0
7	1	5695255652271294545390625	-1,0,0,0,0,0,0	11,0,-6,0,0
8	1	5698682402611943506846068	-1,0,0,0,0,0,0	11,0,0,-3,0
9	1	1043655197218662722298720159	-1,0,-1,0,-2,0	-11,0,0,4
10	1	9712191592617621446201733429	-1,0,-1,0,1,-1	11,8,-11,-1
11	1	13555816944371232758665552298195	-1,7,-9,8	-9,8,8,8
12	1	20677850592207430788696737348364	-1,0,0,-1,0,0	11,4,0,9
13	1	27087700875620824675000854695430	-1,0,0,-8,0,0	11,1,0,-2,0
14	1	34096903211573191631368271662845	-1,-8,8,-9	9,-9,-8,8
15	1	78638243144687646834540069178560	-1,8,9,-9	9,-9,-9,-9
16	1	107257088810827283273326823834250	1,9,9,9	10,-9,-10,7
17	1	107726600933151911538162017059557	-1,0,9,-9,0	-10,1,-8,1
18	1	169255099274595910567608925138882	-1,-6,6,-9	9,9,-9,9
19	1	211052506857988922261151045803370	-1,8,9,9	9,9,9,-9
20	1	334206658906371564112824421606405	1,-9,7,-10	10,9,-10,4
21	1	339953228071605682062584011472697	-1,-8,7,9	-10,9,9,9
22	1	399375589258536200207769839815395	-1,8,9,9	9,9,9,9
23	1	399462713067557110730069273058801	1,9,9,9	-10,-9,9,9
24	1	399549841641829160457197461211982	-1,9,9,9	9,9,9,9
25	1	399549851147455005768750810102201	1,9,9,9	-10,9,9,9
26	1	434082271815781884182046922317708	-1,9,-10,9	-10,9,-10,9
27	1	1058830147804440251460268966623961	-1,9,-10,-10	10,-10,-10,9
28	1	1680537225515750226555364188068220	-1,-3,8,10	-11,7,9
29	1	1958245800502513336704170311349159	-1,-10,-10,-10	10,10,-10,-10
30	1	2033532263141859124962147725305938	-1,9,10,-10	10,10,-10,-10
31	2	4802888451566945217202975284732512	-1,-10,-10,-10	10,10,10,10
32	1	6456615547098750995475176068222635	-1,-4,5,10	-11,10,10,10
33	1	7753981102883236824337670515039530	-1,-9,9,10	-11,-10,9,10
34	1	8317537407953855584658539636747176	-1,-9,9,10	10,10,10,10
35	6	8903362981907638232363440576457397	-1,10,10,10	10,10,10,10
36	1	8903363030653535366344201167925377	-1,10,10,10	-11,10,10,10
37	1	9533403427261574835841747000193325	-1,10,-11,10	-11,10,-11,10
38	1	10714886701099041744694168481682419	-1,1,-2,-1,-1,1	-10,-1,-1,-1,-1
39	1	32471956473141060709212768349640925	-1,-8,8,-11	11,-11,-11,-11
40	1	35479624129278413796093325657620615	-1,0,10,-11,0	11,10,2
41	2	35514534427726977660469245751257195	-1,10,10,-11	-11,10,10,-11
42	1	36655347101956519477277124697765023	-1,10,10,-11	-11,10,-11,-11
43	1	37814194053084174960376390528504077	-1,10,-11,-11	-11,10,-11,-11
44	1	37818864923015051320480374457918425	-1,10,-11,-11	11,-11,-11,-11
45	1	37823535792741073666422882855893427	-1,-11,-11,-11	-11,-11,-11,-11
46	1	42178739300554740822041340037483041	-1,0,2,-11,0	11,1,9,-11
47	1	56243236816505279202638268709164541	1,-2,1,-10,1	10,9,4,3
48	1	127620708750525288946931665712867466	-1,0,7,8,-2	9,9,3,2
49	1	158140114107234429452737447310296125	-1,0,1,0,-3,0	11,0,-4,0,1
50	1	460137934482104359230130441384101549	1,0,9,10,1	10,10,-6,0
51	1	4794990148336111060528042257118846492	-1,0,-4,0,2,0	10,-1,0,2,3
52	1	53008825342785082024659447012960991356	-1,0,0,0,0,0,-1	11,2,-9,0
53	1	858414050350482487959592424888622061510	-1,0,5,10,2	-11,0,-9,0
54	1	114956723141477986285967931436979144312500	1,0,-1,0,0,-2	10,8,0,-10
55	1	389993511619597021133532200439437494088371	1,0,-10,0,4	10,9,10,0
56	1	461103661064608510208869360476967761800840	-1,-1,5,11,-3	11,10,11,-2
57	1	1892226927497850373977213155528686833320786	1,0,10,-1,-4,0	10,-6,0,9
58	1	1516666222521229647095387737868394697551106303	-1,-2,9,10	-11,-2,-2,-2,-5
59	1	14747293455238623368805042402031326506853972477	-1,0,1,-9,0,-2	-10,0,5,2,0
60	1	10814600276030916025190057239079544673506596216889	-1,6,-10,-5,5	10,10,9,-10
61	1	96626234905546711011857111414054840933744322023905157	-1,2,-8,4,6	10,10,10,-10
62	1	272789550784601753556600728726528035292953598118955593	-1,0,0,0,-1,2	11,-1,0,0,0
63	1	413045934579836865526256482033342044570892858488893476	1,1,-10,-1,-1,2	10,-10,0,10
64	1	2708557382798539055414592735554902716409168305665729550	1,0,0,-10,0,2	-11,1,1,9,0
65	1	25933777940964486013808460778987483764272224352609691665	-1,-1,-1,-1,1,2	10,10,-10,1
66	1	11371544941946180889736249846411954669687304213960833370019	-1,1,-9,-3,-8	9,9,3,-8
67	1	124384776697164694366208996974817874530135529732860886437694	-1,-8,-8,-8,-8	8,8,8,-8
68	1	124384776697165163002563807990313414712639125244706808578226	1,-8,-8,-8,-8	8,8,-8,-8
69	1	124384776697165930297407521729858205170920544133835298822872	1,-8,-8,-8,-8	8,8,8,8
70	1	124384776697171638783271890197244681234750286669986551273349	-1,0,0,0,0,0,1	11,0,0,1,0
71	1	390019984401975715084347387666253037777347325372095636662685	-1,0,0,0,6,1	10,1,0,-2,0
72	1	497539106788670614230934110802136621016995254603713016897459	-1,-8,-8,-8,-8	-8,-8,-8,-8,-8
73	1	497539106788671610537318625369114148988162817482616059340835	-1,-8,-8,-8,-8	8,-8,-8,-8,-8
74	1	1824619290172724716453402695338077775041551605692417662614491	-1,5,-9,-6,8	9,8,-9,7
75	1	5183003324136580908537443164628087563029732089081968818202029	-1,1,8,8,8	9,7,-9,1
76	1	5183004488202504572096841613215180020176750882768155308130375	-1,2,8,8,8	9,-5,2,8
77	1	5183007980401639131618531768210755898556000047379458689211424	-1,5,8,8,8	-9,5,8,8
78	1	5183010308535536748410821331149132416025405591738839162660390	-1,7,8,8,8	8,8,8,8
79	1	5183010890569154124146117278048034817447369469901401904453340	-1,-8,8,8,8	8,8,8,8
80	1	5183010890569154124146346644593136844722452566937730259575464	-1,-8,8,8,8	-9,8,8,8
81	47	5183011472602828690147237291666709647051034180418713905149048	-1,8,8,8,8	8,8,8,8
82	1	5183011472602828690147466658224690197267607250111182420046940	-1,8,8,8,8	-9,8,8,8
83	2	5183011472602836860186096857845393730329835867127388191030152	1,8,8,8,8	8,8,8,8
84	1	6362947099211555625991154864229250986118723315723915272126577	-1,8,8,-9,8	-9,8,-9,8
85	2	6362947099211566961922539690052868402742144615748686867482498	-1,8,8,-9,8	-9,8,8,-9
86	1	6371372052609878467402904243301761167152041120474566360718302	-1,8,-9,-9,8	-9,8,-9,8
87	1	6516206852985536168519142239362997561735247944954254466898507	-1,0,-9,0,-9	-10,0,9,1,1
88	26	20732045890411527181599297888474911497867694095882062024790695	-1,8,8,8,8	8,8,8,8,8
89	1	146275577759184801434960645156777062693335454816648823243737274	-1,8,8,8,-9	-9,8,8,8
90	5	146434778424743754587685545472981859296197733524776366110728177	-1,8,-9,8,-9	-9,8,-9,8
91	1	146434778424743754587686796295391079027861000048329002474781113	-1,8,-9,8,-9	9,8,-9,8
92	1	146434778424743813734060395604170657196360336442820879920889513	-1,8,-9,8,-9	9,-9,-9,-9
93	1	146434778424743854707646226561557391633050907039487083576017006	1,8,-9,8,-9	-9,8,-9,8
94	1	174110401703540148055604355084382335053086464170417171031369969	-1,-5,3,-9,-9	-10,2,9,9
95	13	176182801706400781822000371421674741904689656055788079949430549	-1,-9,-9,-9,-9	-9,-9,-9,-9
96	8	176182801706400781822002449411597263501463307457542750075715365	-1,-9,-9,-9,-9	9,-9,-9,-9
97	1	176182801706400896838495302191013293839132652212612765666855824	1,-9,-9,-9,-9	-9,-9,-9,-9
98	1	176182801706400896838497380180935815436584585248769472610596826	1,-9,-9,-9,-9	9,-9,-9,-9
99	1	176182801706400932123851502497632102578756295485914615375023045	-1,-9,-9,-9,-9	9,9,9,9
100	1	211976565792916832747530430818282990494207566904506517418215945	-1,2,9,9,-9	9,9,9,-9
101	1	211976775357959937334652948440492319963539360980128646778988008	1,0,0,0,0,0	-11,0,0,0,9
102	1	215839572578790403447635738434637889221021289856577424994584713	-1,0,-9,0,9	9,-9,0,9
103	1	311331933372765342194138587639472910690235026073714257675443053	1,2,-10,1,9	10,-4,7,9
104	1	445405088987800511764075465364717200677495355704071017195164951	-1,2,-9,2,9	9,-9,8,-9
105	1	704731181361010038061001754552487552400118508032604229784160892	-1,8,-9,-9,-9	-9,-9,-9,-9,-9
106	29	704731206825606347749859547235987325794879265190801445527867752	-1,-9,-9,-9,-9	-9,-9,-9,-9,-9
107	2	704731206825606577782849408775771942492350085518746908245876609	-1,-9,-9,-9,-9	9,-9,-9,-9,-9
108	1	4988750593326535863483790548777915010953123034355696313870421317	-1,1,9,9,9	-10,8,9,9
109	1	4988754153924598973683795736140278763528775663661498318361074645	-1,-9,9,9,9	9,9,9,9
110	43	4988754391297882243303500714265803434061224583630874033836725088	-1,9,9,9,9	9,9,9,9
111	1	4988754391297882243303517508543098515861621362934613724135749601	-1,9,9,9,9	-10,9,9,9
112	3	4988754391297883655130837931371797936990908330240455955226154192	1,9,9,9,9	9,9,9,9
113	3	5888359029973899031721154878369397383485652833010677703576386947	-1,9,9,-10,9	-10,9,-10,-10
114	1	5888359029973900504769588907410209457633802601896954339436713288	1,9,9,-10,9	-10,9,9,-10
115	1	5893445615541944067058356542942841633088779140911152695723768298	-1,9,-10,-10,9	-10,9,-10,9
116	1	5915985462492479554397434150331188000771978438121305512202153321	-1,0,0,9,7	10,0,1,0,-10
117	1	6920605468093383754536136214740141578787903579704412768540435885	-1,-2,7,10,9	10,-10,-2,2
118	1	8329351013055694577386870664382510742173689651585869523228147335	-1,0,10,1,-10	-11,0,10,10
