delta_x	delta_ca	category_id	encoding	T_scs	gamma_scs	status
-1.500000	-33.000000	144	131504586847961235687181966940029500971544335982514018353166305658350750964995496310422969588712631	-1,0,0,0,0,0,0,0,0	11,-2,0,0,0	ok
-1.447368	-33.000000	4	5695192305613342475180838	-1,0,0,0,0,0,0	11,2,0,0,0	ok
-1.394737	-33.000000	52	53008825342785082024659447012960991356	-1,0,0,0,0,0,-1	11,2,-9,0	ok
-1.342105	-33.000000	12	20677850592207430788696737348364	-1,0,0,-1,0,0	11,4,0,9	ok
-1.289474	-33.000000	10	9712191592617621446201733429	-1,0,-1,0,1,-1	11,8,-11,-1	ok
-1.236842	-33.000000	40	35479624129278413796093325657620615	-1,0,10,-11,0	11,10,2	ok
-1.184211	-33.000000	56	461103661064608510208869360476967761800840	-1,-1,5,11,-3	11,10,11,-2	ok
-1.131579	-33.000000	139	10943875016077651013766180759685573586309719962436947254179033449489	-1,1,11,5,-11	11,-11,-11,5	ok
-1.078947	-33.000000	39	32471956473141060709212768349640925	-1,-8,8,-11	11,-11,-11,-11	ok
-1.026316	-33.000000	44	37818864923015051320480374457918425	-1,10,-11,-11	11,-11,-11,-11	ok
-0.973684	-33.000000	45	37823535792741073666422882855893427	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.921053	-33.000000	142	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.868421	-33.000000	142	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.815789	-33.000000	142	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.763158	-33.000000	142	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.710526	-33.000000	142	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.657895	-33.000000	142	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.605263	-33.000000	141	44706876758517742174726278834707884383145473022258889698033478840010	-1,10,-11,-11,-11	-11,-11,-11,-11	ok
-0.552632	-33.000000	134	2477184027490497153751519346338357647882666249796527087525192547335	-1,10,10,10,10	-11,10,10,10	ok
-0.500000	-33.000000	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
-1.500000	-32.315789	8	5698682402611943506846068	-1,0,0,0,0,0,0	11,0,0,-3,0	ok
-1.447368	-32.315789	7	5695255652271294545390625	-1,0,0,0,0,0,0	11,0,-6,0,0	ok
-1.394737	-32.315789	62	272789550784601753556600728726528035292953598118955593	-1,0,0,0,-1,2	11,-1,0,0,0	ok
-1.342105	-32.315789	13	27087700875620824675000854695430	-1,0,0,-8,0,0	11,1,0,-2,0	ok
-1.289474	-32.315789	46	42178739300554740822041340037483041	-1,0,2,-11,0	11,1,9,-11	ok
-1.236842	-32.315789	137	2877075071030109717284971288225761688114495707701329268636270499519	-1,0,-11,0,-11	11,-2,0,-11,0	ok
-1.184211	-32.315789	140	39141198674140752179549684381733485851392745062708031446472122774219	-1,1,3,10,-11	11,-3,8,-2	ok
-1.131579	-32.315789	28	1680537225515750226555364188068220	-1,-3,8,10	-11,7,9	ok
-1.078947	-32.315789	41	35514534427726977660469245751257195	-1,10,10,-11	-11,10,10,-11	ok
-1.026316	-32.315789	37	9533403427261574835841747000193325	-1,10,-11,10	-11,10,-11,10	ok
-0.973684	-32.315789	43	37814194053084174960376390528504077	-1,10,-11,-11	-11,10,-11,-11	ok
-0.921053	-32.315789	142	44706877440489331387102487987147292890505349630782406592305110301833	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.868421	-32.315789	141	44706876758517742174726278834707884383145473022258889698033478840010	-1,10,-11,-11,-11	-11,-11,-11,-11	ok
-0.815789	-32.315789	141	44706876758517742174726278834707884383145473022258889698033478840010	-1,10,-11,-11,-11	-11,-11,-11,-11	ok
-0.763158	-32.315789	136	2840181203653355805443754284417309200964130332128899294040457202585	-1,10,10,-11,10	-11,10,-11,10	ok
-0.710526	-32.315789	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
-0.657895	-32.315789	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
-0.605263	-32.315789	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
-0.552632	-32.315789	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
-0.500000	-32.315789	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
-1.500000	-31.631579	5	5695201054661755803056486	1,0,0,0,0,0,0	11,0,0,0,0	ok
-1.447368	-31.631579	70	124384776697171638783271890197244681234750286669986551273349	-1,0,0,0,0,0,1	11,0,0,1,0	ok
-1.394737	-31.631579	1	372243102297414	-1,0,0,-1,0,0	11,0,1,0,0	ok
-1.342105	-31.631579	49	158140114107234429452737447310296125	-1,0,1,0,-3,0	11,0,-4,0,1	ok
-1.289474	-31.631579	118	8329351013055694577386870664382510742173689651585869523228147335	-1,0,10,1,-10	-11,0,10,10	ok
-1.236842	-31.631579	138	3735720760986142366697619789522935073860818373076205578398609237180	-1,-1,-2,1,-11	-11,-1,1,-11	ok
-1.184211	-31.631579	58	1516666222521229647095387737868394697551106303	-1,-2,9,10	-11,-2,-2,-2,-5	ok
-1.131579	-31.631579	33	7753981102883236824337670515039530	-1,-9,9,10	-11,-10,9,10	ok
-1.078947	-31.631579	41	35514534427726977660469245751257195	-1,10,10,-11	-11,10,10,-11	ok
-1.026316	-31.631579	42	36655347101956519477277124697765023	-1,10,10,-11	-11,10,-11,-11	ok
-0.973684	-31.631579	36	8903363030653535366344201167925377	-1,10,10,10	-11,10,10,10	ok
-0.921053	-31.631579	35	8903362981907638232363440576457397	-1,10,10,10	10,10,10,10	ok
-0.868421	-31.631579	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
-0.815789	-31.631579	135	2477184027490497302261689444299095874676510507839355766196825594386	1,10,10,10,10	10,10,10,10	ok
-0.763158	-31.631579	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
-0.710526	-31.631579	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
-0.657895	-31.631579	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
-0.605263	-31.631579	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
-0.552632	-31.631579	133	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10	ok
