category_id	count	encoding	T_scs	gamma_scs
1	1	498768124970241830703687234526	1,0,0,0,0,1	10,-6,0,0,0
2	1	2033899264162734487064221078335311	-1,-10,10,-10	10,10,-10,-10
3	1	16217557574922390403285657772448257795740430531175	-1,-1,-1,-1,-1,-1,-1	11,10,11
4	1	124384776697165163002563807990313414712639125244706808578226	1,-8,-8,-8,-8	8,8,-8,-8
5	1	497539106788671610537318625369114148988162817482616059340835	-1,-8,-8,-8,-8	8,-8,-8,-8,-8
6	1	958491552037778606869871739110418723081076878454662943569834	-1,2,-9,4,8	-9,4,8,8
7	1	5183011472602828690147237291666709647051034180418713905149048	-1,8,8,8,8	8,8,8,8
8	1	20732045890411527181599297888474911497867694095882062024790695	-1,8,8,8,8	8,8,8,8,8
9	1	176182801706400896838495302191013293839132652212612765666855824	1,-9,-9,-9,-9	-9,-9,-9,-9
10	1	213332653809943354673520700563965905595835456161523097924034802	-1,0,3,0,9	-10,8,5,0
11	1	704731181361010038061001754552487552400118508032604229784160892	-1,8,-9,-9,-9	-9,-9,-9,-9,-9
12	1	704731206825606347749859547235987325794879265190801445527867752	-1,-9,-9,-9,-9	-9,-9,-9,-9,-9
13	2	4988754391297882243303500714265803434061224583630874033836725088	-1,9,9,9,9	9,9,9,9
14	1	119792387432966962835758647214707383553716437264105594664641632507	-1,-10,-10,-10,-10	-10,-10,-10,-10
15	1	479169549731868341414468282189810102490265865102339437540758246900	-1,-10,-10,-10,-10	-10,-10,-10,-10,-10
16	1	2477184027490497153751518533245468719259292686092983923843405985627	-1,10,10,10,10	10,10,10,10
17	1	44706877440489332687476398839301607601862919922592027274734406294837	1,-11,-11,-11,-11	-11,-11,-11,-11
18	1	7735786337002564403960715824183332294963879855560985668321175373232403600756739295841767101373614951305203452290617166	-1,-8,-8,-8,-8,-8	-8,-8,-8,-8,-8
19	1	37382954118278832773895244218236686338908646550437400502358118064530753024550062640906067170928617876419718895893920344187748485899117758828796801551543527566052849489960209264260571065203066311598313830144764932874730423791089727802518968564911099043477397497871913270075737561280986895111278177488584460269414679240001738008277920728629640960071607471547556017673758067263303884445106497379	-1,0,0,0,0,0,0,0,0,0,0	11,-2,0,0,0
