category_id	count	encoding	sequence
1	4	77	-1,0,0,0
2	6	89	1,0,0,0
3	1	1174	1,0,1,0
4	1	7379	1,1,-2,0
5	1	9314	1,-2,-2,0
6	2	9590	-1,0,0,1
7	1	9728	1,0,0,1
8	1	27493	1,0,-1,1
9	1	72389	-1,0,1,1
10	1	115938377	-1,0,-9,0
11	1	2732194079	1,1,-13,-1
12	1	3549663152	-1,0,13,-1
13	1	26963412530	-1,1,-13,2
14	1	514702014309	-1,-4,-8,4
15	1	5364510721919	1,-3,-2,-6
16	4	998766650140877	-1,-8,-8,-8
17	1	998766694834649	1,-8,-8,-8
18	1	2055098588480789	-1,-5,6,8
19	10	2537568978100002	-1,8,8,8
20	2	2671080006838320	-1,8,-9,8
21	2	5848780619532479	-1,8,8,-9
22	4	6127216826882384	-1,-9,-9,-9
23	1	6406958294820305	-1,6,9,-9
24	1	14131091504650400	-1,-9,9,9
25	5	14134174203751952	-1,9,9,9
26	1	14732314495311119	-1,9,-10,9
27	1	14738679547614901	1,-1,0,-10
28	1	15355805187064685	-1,0,-1,-10
29	1	30124135089904064	-1,9,9,-10
30	1	31282545094055729	1,9,-10,-10
31	5	31288139504878815	-1,-10,-10,-10
32	1	66523669472059877	-1,0,10,10
33	1	66641966605480280	-1,6,10,10
34	4	66720918967500902	-1,10,10,10
35	1	69051438904821989	-1,0,0,-11
36	5	137520058369471127	-1,-11,-11,-11
37	1	141520454936285777	-1,0,11,-11
38	1	274761540684197919	-1,11,11,11
39	1	454426601051659700	-1,-11,-9,-12
40	3	533508198414997652	-1,-12,-12,-12
41	1	547877212015333276	1,-1,0,12
42	1	1009021255905833795	-1,12,12,12
43	2	1862402202891664994	-1,12,-13,-13
44	1	3361378628987190902	-1,13,13,13
45	1	5818052338901405759	-1,-1,13,-14
46	1	5939583698530895609	-1,-12,-14,-14
47	1	6299157049446450077	-1,0,1,14
48	1	11482848972625936126	1,-1,-3,-15
49	1	17505000363921614390	-1,0,-15,-15
