category_id	count	encoding	sequence
1	1	2602619	1,0,0,0,0,0
2	1	6336734174	1,1,-13,-1,0
3	1	19879880900	-1,0,0,1,-1,0
4	1	120805540028	1,0,0,1,0,-1
5	1	514702014309	-1,-4,-8,4
6	3	3374964376952	-1,0,0,0,0,0,0
7	4	3374966975014	1,0,0,0,0,0,0
8	1	5364510721919	1,-3,-2,-6
9	1	16773096244276	1,1,-2,0,2
10	1	40916265649910	-1,0,13,-1,-1,-1
11	1	2959559468645953	1,-2,-2,0,-3
12	1	6406958294820305	-1,6,9,-9
13	1	14131091504650400	-1,-9,9,9
14	1	31282545094055729	1,9,-10,-10
15	1	64449909553968943	1,0,-1,1,-2,-1
16	1	66641966605480280	-1,6,10,10
17	2	66720918967500902	-1,10,10,10
18	1	137520058369471127	-1,-11,-11,-11
19	1	160660191070203827	-1,0,-1,-10,0,0
20	1	274761540684197919	-1,11,11,11
21	1	454426601051659700	-1,-11,-9,-12
22	1	533414326698335252	-1,0,1,1,0,-1,0
23	1	533508198414997652	-1,-12,-12,-12
24	1	546776432642569589	-1,0,11,-11,-1
25	1	592831039668499940	-1,0,0,-11,0,0
26	1	1009021255905833795	-1,12,12,12
27	2	1862402202891664994	-1,12,-13,-13
28	1	3361378628987190902	-1,13,13,13
29	1	5818052338901405759	-1,-1,13,-14
30	1	5939583698530895609	-1,-12,-14,-14
31	1	19082437102322085527	-1,0,1,14,-1
32	1	28389566347886097095	-1,0,0,1,0,0,-1
33	1	125142217739315803535	-1,0,-15,-15,1
34	1	229719767049135620179	1,-1,0,12,2
35	1	359248837960810589488	1,-1,-3,-15,-2
36	1	331374310391957453775077	-1,0,0,0,0,-1,-1
37	1	498768035658188838763056363530	-1,-8,-8,-8,-8
38	1	498768035658189837530332217308	1,-8,-8,-8,-8
39	1	3211009090000673471152537431089	-1,-5,6,8,8
40	10	3219630870954874081466514659729	-1,8,8,8,8
41	2	3567337129908398802593659638902	-1,8,8,-9,8
42	1	3610043449319006788630658100077	-1,0,-9,0,-9
43	2	17113432059335363421900214640502	-1,8,-9,8,-9
44	4	18771403874319079111379122357950	-1,-9,-9,-9,-9
45	5	99887480609913080653142721402689	-1,9,9,9,9
46	1	108520588184674852847904761334452	-1,9,9,-10,9
47	1	453895729641538607484895107171494	-1,9,-10,9,-10
48	5	489473977720914081937327972658195	-1,-10,-10,-10,-10
49	1	528216936647526235856965062654814	1,0,1,0,10
50	1	2225840489560965117306264882654065	-1,0,10,10,10
51	2	2225840977019920444092511290911250	-1,10,10,10,10
52	1	3147190906793045267617379912596370	-1,1,-13,2,-11
53	4	9455884669399191660884342385366419	-1,-11,-11,-11,-11
54	2	142315511012103471820664918283921429	-1,-12,-12,-12,-12
55	1	850068549701250877044440496012892069875526	1,-1,0,-10,-1,4
56	3	124384776697171140630079328682461662975044243401923320030869	-1,-8,-8,-8,-8,-8
57	1	210480181279024439703889316792889309130428357121207377190803560502304589	1,0,0,0,2,-13
