category_id	count	encoding	sequence
1	1	2380	-18,-2,1
2	1	3983	11,0,0,0,0
3	1	4162	12,0,0,0,0
4	1	4253	-13,0,0,0,0
5	1	4345	13,0,0,0,0
6	1	4532	14,0,0,0,0
7	1	4918	16,0,0,0,0
8	1	108787	12,12,-1,0
9	1	140159	13,13,-1,0
10	1	374513	16,-15,2
11	1	854747	-16,0,3,0,0
12	1	1106297	-16,15,-3,0
13	1	1322721	15,-1,-1,1,0
14	1	1570850	14,-14,-3,-1
15	1	2650730	-12,0,0,0,0,0
16	1	2924545	13,12,-1,-2
17	1	4834468	-14,0,-1,0,0,0
18	1	27465137	-15,0,0,-1,0,0
19	1	69708503	-13,0,-1,0,1
20	1	741298238	11,11,11
21	1	752041131	11,11,-11,0
22	1	1033010307	12,-12,-12
23	1	1930037360	-13,-13,-13
24	1	1975846926	-14,-1,13
25	1	2089326380	-12,1,11,1
26	1	2592900051	-14,13,13
27	1	3446948908	-14,-14,-14
28	1	6286288099	-15,2,14,-1
29	1	37998490629	-11,0,0,4
30	1	39665473622	-16,0,-16,-2
31	1	451520166673117	9,9,-9,7
32	1	999189900303645	8,8,-8,-8
33	1	2283266909404894	-9,5,7,8
34	7	2537570046700137	8,8,8,8
35	3	2671081176279736	-9,8,-9,8
36	1	2687023258164198	9,-9,0,-9
37	1	5848782350016823	-9,8,8,-9
38	1	6127218708778185	9,-9,-9,-9
39	1	6386547328603766	10,0,9,-9
40	1	7037003902501906	10,2,1,9
41	6	14134177061995017	9,9,9,9
42	2	14732317585058792	-10,9,-10,9
43	1	30124139753553605	10,9,9,-10
44	4	31288144007624166	-10,-10,-10,-10
45	1	31288144257776695	10,-10,-10,-10
46	1	32497077261929295	-11,-1,0,10
47	4	66720925908142496	10,10,10,10
48	1	66720926273439432	-11,10,10,10
49	3	137520068858324757	-11,-11,-11,-11
50	1	137520069382767449	11,-11,-11,-11
51	1	137537054508265638	11,11,-11,-11
52	1	274761556251461169	11,11,11,11
53	3	533508221140224737	-12,-12,-12,-12
54	1	548931685865374866	12,-12,0,12
55	1	1009021288579133361	12,12,12,12
56	1	1777327259257775915	-13,-2,-12,-13
57	1	1862522156643875166	-13,-13,-13,-13
58	1	11277341565956793520	15,-1,2,-15
59	1	116573686892467903676879703	-17,-1,-2,-1,6
60	3	498768035658202821504918316513	-8,-8,-8,-8,-8
61	1	498768035658203820272194170305	8,-8,-8,-8,-8
62	3	3219630870954912145017215161919	8,8,8,8,8
63	3	18771403874319177146876691612886	-9,-9,-9,-9,-9
