delta_x	delta_ca	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-45.000000							error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1]
-1.500000	-42.222222							error: T SSCS does not start with ±1: [4, 0, 0, 0, 0, 0, 0]
-1.500000	-39.444444							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.500000	-36.666667	7	3374966975014	5	4345	1,0,0,0,0,0,0	13,0,0,0,0	ok
-1.500000	-33.888889	6	3374964376952	3	4162	-1,0,0,0,0,0,0	12,0,0,0,0	ok
-1.500000	-31.111111	7	3374966975014	2	3983	1,0,0,0,0,0,0	11,0,0,0,0	ok
-1.500000	-28.333333	3	19879880900	39	6386547328603766	-1,0,0,1,-1,0	10,0,9,-9	ok
-1.500000	-25.555556	42	3610043449319006788630658100077	36	2687023258164198	-1,0,-9,0,-9	9,-9,0,-9	ok
-1.500000	-22.777778	39	3211009090000673471152537431089	33	2283266909404894	-1,-5,6,8,8	-9,5,7,8	ok
-1.500000	-20.000000	38	498768035658189837530332217308	32	999189900303645	1,-8,-8,-8,-8	8,8,-8,-8	ok
-1.388889	-45.000000							error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1]
-1.388889	-42.222222	7	3374966975014	7	4918	1,0,0,0,0,0,0	16,0,0,0,0	ok
-1.388889	-39.444444							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.388889	-36.666667	7	3374966975014	4	4253	1,0,0,0,0,0,0	-13,0,0,0,0	ok
-1.388889	-33.888889	6	3374964376952	15	2650730	-1,0,0,0,0,0,0	-12,0,0,0,0,0	ok
-1.388889	-31.111111	19	160660191070203827	29	37998490629	-1,0,-1,-10,0,0	-11,0,0,4	ok
-1.388889	-28.333333	55	850068549701250877044440496012892069875526	40	7037003902501906	1,-1,0,-10,-1,4	10,2,1,9	ok
-1.388889	-25.555556	12	6406958294820305	31	451520166673117	-1,6,9,-9	9,9,-9,7	ok
-1.388889	-22.777778	41	3567337129908398802593659638902	37	5848782350016823	-1,8,8,-9,8	-9,8,8,-9	ok
