delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.722222	-45.000000	359248837960810589488	1106297	1,-1,-3,-15,-2	-16,15,-3,0	ok
-0.722222	-42.222222	5818052338901405759	1975846926	-1,-1,13,-14	-14,-1,13	ok
-0.722222	-39.444444	1862402202891664994	1930037360	-1,12,-13,-13	-13,-13,-13	ok
-0.722222	-36.666667	142315511012103471820664918283921429	533508221140224737	-1,-12,-12,-12,-12	-12,-12,-12,-12	ok
-0.722222	-33.888889	9455884669399191660884342385366419	137520068858324757	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.722222	-31.111111	2225840977019920444092511290911250	66720925908142496	-1,10,10,10,10	10,10,10,10	ok
-0.722222	-28.333333	108520588184674852847904761334452	14732317585058792	-1,9,9,-10,9	-10,9,-10,9	ok
-0.722222	-25.555556	18771403874319079111379122357950	18771403874319177146876691612886	-1,-9,-9,-9,-9	-9,-9,-9,-9,-9	ok
-0.722222	-22.777778	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-0.722222	-20.000000	124384776697171140630079328682461662975044243401923320030869	498768035658202821504918316513	-1,-8,-8,-8,-8,-8	-8,-8,-8,-8,-8	ok
