delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-20.000000	-48.814343	0.778012	continued:5	998766694834649	999189900303645	1,-8,-8,-8	8,8,-8,-8	ok
-1.447368	-20.000000	-49.497543	0.775219	continued:5	998766694834649	1058369389236419	1,-8,-8,-8	8,8,8,-8	ok
-1.394737	-20.000000	-50.055377	0.772426	continued:5	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.342105	-20.000000	-50.499199	0.769632	full	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.289474	-20.000000	-48.655014	0.753831	continued:5	2537569049340004	2537570046700137	1,8,8,8	8,8,8,8	ok
-1.236842	-20.000000	-49.355880	0.751038	continued:5	2537569049340004	2537570046700137	1,8,8,8	8,8,8,8	ok
-1.184211	-20.000000	-49.921748	0.748244	continued:5	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.131579	-20.000000	-50.367446	0.745451	continued:5	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.078947	-20.000000	-50.708616	0.742657	full	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.026316	-20.000000	-48.843034	0.719522	continued:5	2537569049340004	2537570046700137	1,8,8,8	8,8,8,8	ok
-0.973684	-20.000000	-49.555137	0.716729	continued:5	2537569049340004	2537570046700137	1,8,8,8	8,8,8,8	ok
-0.921053	-20.000000	-50.116531	0.713935	continued:5	2537569049340004	2537570046700137	1,8,8,8	8,8,8,8	ok
-0.868421	-20.000000	-50.548724	0.711142	continued:5	998766650140877	998767320547562	-1,-8,-8,-8	8,-8,-8,-8	ok
-0.815789	-20.000000	-50.872079	0.708349	continued:5	998766650140877	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
-0.763158	-20.000000	-51.105022	0.705555	full	998766650140877	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
-0.710526	-20.000000	-50.530529	0.677531	continued:5	998766694834649	998767275853776	1,-8,-8,-8	-8,-8,-8,-8	ok
-0.657895	-20.000000	-50.985855	0.674738	continued:5	998766694834649	998767275853776	1,-8,-8,-8	-8,-8,-8,-8	ok
-0.605263	-20.000000	-51.320583	0.671945	continued:5	998766694834649	998767275853776	1,-8,-8,-8	-8,-8,-8,-8	ok
-0.552632	-20.000000	-51.557930	0.669151	continued:5	998766694834649	998767275853776	1,-8,-8,-8	-8,-8,-8,-8	ok
-0.500000	-20.000000	-51.717227	0.666358	full	998766650140877	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
