category_id	count	encoding	sequence
1	1	507	-11,0,0,0
2	1	539	11,0,0,0
3	1	572	-12,0,0,0
4	4	606	12,0,0,0
5	3	641	-13,0,0,0
6	4	677	13,0,0,0
7	2	714	-14,0,0,0
8	6	752	14,0,0,0
9	2	791	-15,0,0,0
10	5	831	15,0,0,0
11	1	872	-16,0,0,0
12	4	914	16,0,0,0
13	2	918	14,-1,0,0
14	1	1198	-14,0,-1,0
15	1	1204	-11,-1,-1,0
16	1	1240	-18,-1,0,0
17	1	1352	13,-2,0,0
18	1	1355	-12,0,0,-1
19	1	1798	16,-1,-1,0
20	1	1927	13,-1,0,-1
21	2	1989	-14,-1,0,-1
22	1	2116	-15,-1,0,-1
23	1	2247	-16,-1,0,-1
24	1	2322	12,1,0,-1
25	1	2382	-17,-1,0,-1
26	1	3539	-16,-2,0,-1
27	1	3797	-16,0,-1,-1
28	1	3971	17,-1,1,0
29	1	3972	-17,0,-1,-1
30	1	3981	12,1,1,0
31	1	4061	17,0,-1,-1
32	1	4530	15,1,1,0
33	1	4536	12,4,0,0
34	1	4917	-17,-1,-1,-1
35	1	5116	-18,-1,-1,-1
36	1	5963	16,1,-1,-1
37	1	6533	11,0,-2,0
38	1	6875	14,-2,-1,-1
39	1	8756	11,-6,0,0
40	1	9285	-16,-1,-2,0
41	1	12540	-11,0,0,1
42	1	13832	-15,0,0,1
43	1	31355	10,1,-2,-1
44	1	37925	-13,2,2,0
45	1	47244	17,2,-2,-1
46	1	52301	-13,-2,-1,1
47	1	62813	11,10,-1,0
48	1	63516	15,0,2,-1
49	1	95675	14,-14,0
50	1	110185	15,-14,-1
51	1	140685	15,-15,-1
52	1	170796	12,1,3,0
53	1	322782	12,1,0,-2
54	1	537140	13,13,-2,-1
55	1	541294	13,11,3
56	1	713387	14,-6,0,-2
57	1	882438	9,-9,-2,1
58	1	925447	-17,0,-3,1
59	1	6688631	11,-11,-2,-2
60	1	15039847	-12,0,1,2
61	1	15078256	15,0,1,2
62	1	168150273	9,-9,-9,0
63	1	178935881	11,-11,9
64	1	219189422	-16,-3,6,-2
65	1	270037160	10,1,-10,0
66	1	274658179	12,12,-10
67	1	541846718	11,0,-11,0
68	1	709872340	10,-9,10,-1
69	1	741298238	11,11,11
70	1	741336742	-12,11,11
71	1	752079912	12,-12,11
72	1	1019374105	-12,11,-12
73	1	1033874107	-11,-1,-1,3
74	1	1034146954	-14,-1,-1,3
75	1	1061798378	-13,0,-12,0
76	1	1104241493	11,0,10,1
77	1	1386195511	10,9,10,1
78	3	1420578229	12,12,12
79	3	1420631531	-13,12,12
80	1	1642017446	-13,-6,-13
81	1	1908291506	-13,12,-13
82	1	1930037360	-13,-13,-13
83	2	1930099489	13,-13,-13
84	1	1974275675	14,-14,-13
85	1	1975846927	13,0,-13,0
86	1	1975972652	14,0,-13,0
87	1	1996582812	12,12,-11,1
88	2	2592828040	13,13,13
89	1	2592900051	-14,13,13
90	1	3379940844	-14,-13,-14
91	4	3446948908	-14,-14,-14
92	1	3480908175	14,14,-14
93	1	3551938441	-15,-1,-14,0
94	1	4537948250	14,14,14
95	1	4537948254	12,12,12,1
96	1	4795093456	-15,2,14,0
97	1	4970493636	12,1,11,-2
98	1	5819424764	11,10,11,-2
99	1	5869590349	-15,14,-15
100	1	5971113809	-16,15,-15
101	1	6180996490	15,-2,-15,0
102	1	6445609008	11,5,0,-4
103	1	7661177406	15,-1,-1,-4
104	1	7847727089	16,1,-16
105	1	7910367061	-15,-1,-15,-1
106	1	10283142313	16,2,-16,0
107	1	10437162935	-13,0,-13,-2
108	1	13246141197	-17,-3,-16,-1
109	1	41821067416	-15,-1,11,-3
110	1	1160392822549	-15,-2,-15,-4
111	1	58718610195417	9,7,8,6
112	1	396458684893839	-14,0,0,-8
113	7	998767275853776	-8,-8,-8,-8
114	1	998767320547562	8,-8,-8,-8
115	1	999189900303645	8,8,-8,-8
116	1	1058369389236419	8,8,8,-8
117	1	1263807042760632	-11,9,-2,8
118	1	2534170686164453	-9,6,8,8
119	42	2537570046700137	8,8,8,8
120	4	2537570117940154	-9,8,8,8
121	1	2671081249369833	9,8,-9,8
122	1	2671964981744748	9,-9,-9,8
123	1	2672848933402042	9,9,-9,8
124	1	2675503421141157	-10,2,0,-9
125	4	5848782350016823	-9,8,8,-9
126	1	6125571828389152	9,8,-9,-9
127	24	6127218598078424	-9,-9,-9,-9
128	3	6127218708778185	9,-9,-9,-9
129	1	6417185109182742	9,9,9,-9
130	1	7692854932224211	10,0,2,9
131	1	7728079113435782	-10,9,2,9
132	1	13001404085584435	9,9,8,9
133	1	14091065309746134	-10,2,9,9
134	28	14134177061995017	9,9,9,9
135	1	14134177230126971	-10,9,9,9
136	3	14732317585058792	-10,9,-10,9
137	1	14735501913925214	11,0,0,-10
138	1	17381376053375320	10,-4,2,-10
139	1	20453811613662595	10,-10,4,-10
140	1	27924675416116108	10,-10,8,-10
141	1	30026371664987558	10,0,9,-10
142	1	30113264613136311	-10,8,9,-10
143	1	30124139508098357	-10,9,9,-10
144	3	31282549346268347	-10,9,-10,-10
145	14	31288144007624166	-10,-10,-10,-10
146	5	31288144257776695	10,-10,-10,-10
147	1	32491315884349396	10,10,10,-10
148	1	32502835325837630	13,1,0,10
149	1	33622438400708685	-11,1,-11,-10
150	1	35105005537449881	11,8,1,10
151	1	62274862291938445	10,-10,9,10
152	17	66720925908142496	10,10,10,10
153	1	66720926273439432	-11,10,10,10
154	2	69041308118679450	-11,10,-11,10
155	1	73703398212642605	-12,1,-12,10
156	1	76662014927974727	-12,10,-2,-11
157	1	133190062681534432	-11,8,10,-11
158	2	137503085306122257	-11,10,-11,-11
