delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-35.581162	-47.215136	0.831423	continued:5	3374964376952	6531	-1,0,0,0,0,0,0	12,1,0,0,0	ok
-1.497996	-35.581162	-47.611512	0.831255	full	3374964376952	6531	-1,0,0,0,0,0,0	12,1,0,0,0	ok
-1.495992	-35.581162	-44.483941	0.840436	continued:5	3374964376952	6531	-1,0,0,0,0,0,0	12,1,0,0,0	ok
-1.493988	-35.581162	-44.964721	0.837643	continued:5	3374964376952	6531	-1,0,0,0,0,0,0	12,1,0,0,0	ok
-1.491984	-35.581162	-45.440580	0.834850	continued:5	3374964376952	6531	-1,0,0,0,0,0,0	12,1,0,0,0	ok
-1.489980	-35.581162	-45.913478	0.832597	continued:5	3374964376952	6531	-1,0,0,0,0,0,0	12,1,0,0,0	ok
-1.487976	-35.581162	-46.377445	0.831014	continued:5	3374964376952	6531	-1,0,0,0,0,0,0	12,1,0,0,0	ok
-1.485972	-35.581162	-46.824681	0.830099	continued:5	3374964376952	6531	-1,0,0,0,0,0,0	12,1,0,0,0	ok
-1.483968	-35.581162	-47.247597	0.829597	continued:5	3374964376952	5229	-1,0,0,0,0,0,0	12,-1,0,0,0	ok
-1.481964	-35.581162	-47.641570	0.829430	full	3374964376952	5229	-1,0,0,0,0,0,0	12,-1,0,0,0	ok
-1.479960	-35.581162	-44.514594	0.838611	continued:5	3374964376952	5229	-1,0,0,0,0,0,0	12,-1,0,0,0	ok
-1.477956	-35.581162	-44.997931	0.835817	continued:5	3374964376952	5229	-1,0,0,0,0,0,0	12,-1,0,0,0	ok
-1.475952	-35.581162	-45.475452	0.833024	continued:5	3374964376952	5229	-1,0,0,0,0,0,0	12,-1,0,0,0	ok
-1.473948	-35.581162	-45.949099	0.830772	continued:5	3374964376952	5229	-1,0,0,0,0,0,0	12,-1,0,0,0	ok
-1.471944	-35.581162	-46.412905	0.829188	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.469940	-35.581162	-46.859110	0.828273	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.467936	-35.581162	-47.280207	0.827772	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.465932	-35.581162	-47.671696	0.827604	full	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.463928	-35.581162	-44.542624	0.836654	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.461924	-35.581162	-45.030150	0.833860	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.459920	-35.581162	-45.510746	0.831195	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.457916	-35.581162	-45.985060	0.828942	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.455912	-35.581162	-46.448624	0.827359	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.453908	-35.581162	-46.893723	0.826444	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.451904	-35.581162	-47.312938	0.825942	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.449900	-35.581162	-47.701894	0.825775	full	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.447896	-35.581162	-44.574920	0.834825	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.445892	-35.581162	-45.064744	0.832032	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.443888	-35.581162	-45.546755	0.829366	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.441884	-35.581162	-46.021581	0.827114	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.439880	-35.581162	-46.484759	0.825530	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.437876	-35.581162	-46.928620	0.824615	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.435872	-35.581162	-47.345839	0.824114	continued:5	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
-1.433868	-35.581162	-47.732165	0.823947	full	3374964376952	2809611	-1,0,0,0,0,0,0	12,-1,0,0,0,0	ok
