category_id	count	encoding	sequence
1	23384	14	-1,0,0
2	18213	19	1,0,0
3	20	27	-1,-1,0
4	1101	34	1,-1,0
5	2641	35	-1,0,-1
6	2420	43	1,0,-1
7	1	64	1,1,0
8	1642	65	-1,-1,-1
9	2322	76	1,-1,-1
10	5	119	-1,1,-1
11	15	134	1,1,-1
12	1999	152	-1,0,1
13	1147	169	1,0,1
14	26	209	-1,-2,-1
15	141	229	1,-2,-1
16	1715	252	-1,-1,1
17	825	274	1,-1,1
18	1	350	-1,2,-1
19	65	405	-1,1,1
20	832	433	1,1,1
21	2	560	-1,-3,-1
22	9	593	1,-3,-1
23	24	629	-1,-2,1
24	74	664	1,-2,1
25	903	740	-1,0,-2
26	560	778	1,0,-2
27	6	988	1,2,1
28	574	1080	-1,-1,-2
29	494	1126	1,-1,-2
30	2	1274	-1,-4,-1
31	1	1377	-1,-3,1
32	5	1429	1,-3,1
33	185	1539	-1,1,-2
34	311	1594	1,1,-2
35	1	2014	1,3,1
36	347	2144	-1,-2,-2
37	144	2209	1,-2,-2
38	1	2626	1,-5,-1
39	2	2773	1,-4,1
40	1	2925	-1,2,-2
41	3	3001	1,2,-2
42	797	3239	-1,0,2
43	310	3319	1,0,2
44	10	3915	-1,-3,-2
45	11	4003	1,-3,-2
46	307	4277	-1,-1,2
47	214	4369	1,-1,2
48	1	4655	-1,-6,-1
49	232	5564	-1,1,2
50	57	5669	1,1,2
51	2	6669	-1,-4,-2
52	2	6784	1,-4,-2
53	384	7139	-1,-2,2
54	28	7258	1,-2,2
55	3	9044	-1,2,2
56	6	9178	1,2,2
57	1	10730	-1,-5,-2
58	16	11324	-1,-3,2
59	2	11474	1,-3,2
60	417	12089	-1,0,-3
61	210	12244	1,0,-3
62	2	13039	1,-7,1
63	1	14194	1,3,2
64	195	14877	-1,-1,-3
65	182	15049	1,-1,-3
66	1	16651	1,-6,-2
67	3	17204	-1,-4,2
68	2	17389	1,-4,2
69	120	18144	-1,1,-3
70	69	18334	1,1,-3
71	159	21944	-1,-2,-3
72	34	22153	1,-2,-3
73	3	25423	1,-5,2
74	1	26334	-1,2,-3
75	6	26563	1,2,-3
76	94	31374	-1,-3,-3
77	3	31624	1,-3,-3
78	2	34715	-1,-8,-2
79	1	35777	-1,-6,2
80	1	36044	1,-6,2
81	1	37127	-1,3,-3
82	2	37399	1,3,-3
83	384	38780	-1,0,3
84	127	39058	1,0,3
85	5	43659	-1,-4,-3
86	143	45450	-1,-1,3
87	67	45751	1,-1,3
88	1	49454	-1,-7,2
89	1	49768	1,-7,2
90	1	51039	-1,4,-3
91	114	52974	-1,1,3
92	23	53299	1,1,3
93	116	61424	-1,-2,3
94	10	61774	1,-2,3
95	2	65340	-1,-10,-2
96	2	67159	1,-8,2
97	5	70875	-1,2,3
98	1	71251	1,2,3
99	126	81405	-1,-3,3
100	2	93526	1,3,3
101	1	103284	-1,-7,-3
102	2	103738	1,-7,-3
103	10	106029	-1,-4,3
104	1	106489	1,-4,3
105	240	109277	-1,0,-4
106	98	109744	1,0,-4
107	93	123752	-1,-1,-4
108	91	124249	1,-1,-4
109	1	133384	1,-8,-3
110	1	135980	-1,-5,3
111	65	139655	-1,1,-4
112	21	140183	1,1,-4
113	1	147152	-1,-11,2
114	1	147694	1,-11,2
115	50	157079	-1,-2,-4
116	12	157639	1,-2,-4
117	1	168489	-1,-9,-3
118	1	169069	1,-9,-3
119	2	171990	-1,-6,3
120	3	176120	-1,2,-4
121	59	196877	-1,-3,-4
122	5	197504	1,-3,-4
123	1	211573	1,-10,-3
124	2	220114	1,3,-4
125	44	243950	-1,-4,-4
126	1	261002	-1,-11,-3
127	1	261724	1,-11,-3
128	217	276395	-1,0,4
129	56	277138	1,0,4
130	3	299150	-1,-5,-4
131	84	305370	-1,-1,4
132	42	306151	1,-1,4
133	1	325219	1,-9,3
134	74	336609	-1,1,4
135	8	337429	1,1,4
136	1	363377	-1,-6,-4
137	45	370229	-1,-2,4
138	4	371089	1,-2,4
139	1	392940	-1,-10,3
140	13	406350	-1,2,4
141	3	437579	-1,-7,-4
142	1	438514	1,-7,-4
143	51	445095	-1,-3,4
144	1	472876	1,-11,3
145	1	486590	-1,3,4
146	50	530964	-1,-4,4
147	2	621053	1,-9,-4
148	3	628880	-1,-5,4
149	137	639014	-1,0,-5
150	64	640144	1,0,-5
151	72	693252	-1,-1,-5
152	37	694429	1,-1,-5
153	1	730235	-1,-10,-4
154	46	750924	-1,1,-5
155	12	752149	1,1,-5
156	31	812174	-1,-2,-5
157	5	813448	1,-2,-5
158	1	854777	-1,-11,-4
159	1	856084	1,-11,-4
160	2	865269	-1,-7,4
161	1	866584	1,-7,4
162	17	877149	-1,2,-5
163	25	945999	-1,-3,-5
164	33	1095939	-1,-4,-5
165	1	1097419	1,-4,-5
166	1	1178878	1,4,-5
167	23	1263254	-1,-5,-5
168	1	1264843	1,-5,-5
169	155	1370339	-1,0,5
170	23	1371994	1,0,5
171	55	1466327	-1,-1,5
172	19	1468039	1,-1,5
173	1	1533875	-1,-11,4
174	45	1567334	-1,1,5
175	5	1569104	1,1,5
176	27	1673534	-1,-2,5
177	1	1675363	1,-2,5
178	24	1785104	-1,2,5
179	1	1882769	-1,-8,-5
180	23	1902224	-1,-3,5
181	1	1904174	1,-3,5
182	1	2025077	-1,3,5
183	1	2133144	-1,-9,-5
184	21	2153849	-1,-4,5
185	28	2429909	-1,-5,5
186	4	2731952	-1,-6,5
187	106	2757725	-1,0,-6
188	27	2760073	1,0,-6
189	47	2919735	-1,-1,-6
190	20	2922151	1,-1,-6
191	1	3061574	-1,-7,5
192	35	3088854	-1,1,-6
193	6	3091339	1,1,-6
194	20	3265289	-1,-2,-6
195	4	3267844	1,-2,-6
196	1	3420419	-1,-8,5
197	7	3449250	-1,2,-6
198	1	3614014	1,8,5
199	13	3640950	-1,-3,-6
200	2	3812939	1,-9,5
201	1	3840605	-1,3,-6
202	14	4048434	-1,-4,-6
203	13	4489505	-1,-5,-6
204	27	4965975	-1,-6,-6
205	131	5256902	-1,0,6
206	20	5260144	1,0,6
207	44	5519502	-1,-1,6
208	10	5522824	1,-1,6
209	48	5791905	-1,1,6
210	5	5795308	1,1,6
211	2	6032600	-1,-8,-6
212	26	6074354	-1,-2,6
213	1	6077839	1,-2,6
214	22	6367095	-1,2,6
215	19	6670377	-1,-3,6
216	3	6984452	-1,3,6
217	1	6988189	1,3,6
218	1	7263765	-1,-10,-6
219	19	7309575	-1,-4,6
220	1	7646004	-1,4,6
221	17	7994000	-1,-5,6
222	1	8357914	1,5,6
223	31	8725752	-1,-6,6
224	9	9506979	-1,-7,6
225	75	9563750	-1,0,-7
226	20	9568123	1,0,-7
227	28	9974810	-1,-1,-7
228	18	9979276	1,-1,-7
229	3	10339877	-1,-8,6
230	26	10399079	-1,1,-7
231	3	10403639	1,1,-7
232	11	10836839	-1,-2,-7
233	1	10841494	1,-2,-7
234	1	11231428	1,-9,6
235	15	11288375	-1,2,-7
236	1	11695864	1,9,6
237	12	11753975	-1,-3,-7
238	7	12233930	-1,3,-7
239	8	12728534	-1,-4,-7
240	2	13238084	-1,4,-7
241	8	13762880	-1,-5,-7
242	1	14303225	-1,5,-7
243	11	14859425	-1,-6,-7
244	29	16020629	-1,-7,-7
245	169	16707089	-1,0,7
246	16	16712869	1,0,7
247	36	17331327	-1,-1,7
248	6	17337214	1,-1,7
249	67	17973009	-1,1,7
250	3	17979004	1,1,7
251	2	18553184	1,-9,-7
252	22	18632459	-1,-2,7
253	1	18638563	1,-2,7
254	31	19310004	-1,2,7
255	1	19316218	1,2,7
256	16	20005974	-1,-3,7
257	14	20720702	-1,3,7
258	19	21454524	-1,-4,7
259	6	22207779	-1,4,7
260	15	22980809	-1,-5,7
261	5	23773959	-1,5,7
262	29	24587577	-1,-6,7
263	1	25422014	-1,6,7
264	65	26277624	-1,-7,7
265	5	28053794	-1,-8,7
266	92	28166264	-1,0,-8
267	15	28173769	1,0,-8
268	1	28982689	1,8,7
269	26	29089377	-1,-1,-8
270	6	29097004	1,-1,-8
271	1	29918979	-1,-9,7
272	1	29926714	1,-9,7
273	58	30035124	-1,1,-8
274	1	30042874	1,1,-8
275	1	30893728	1,9,7
276	28	31003874	-1,-2,-8
277	1	31011748	1,-2,-8
278	28	31995999	-1,2,-8
279	21	33011874	-1,-3,-8
280	10	34051877	-1,3,-8
281	8	35116389	-1,-4,-8
282	10	36205794	-1,4,-8
283	13	37320479	-1,-5,-8
284	9	38460834	-1,5,-8
285	10	39627252	-1,-6,-8
286	4	40820129	-1,6,-8
287	18	42039864	-1,-7,-8
288	14	43286859	-1,7,-8
289	3376	44561519	-1,-8,-8
290	30	44570959	1,-8,-8
291	1	45873829	1,8,-8
292	288	46017620	-1,0,8
293	22	46027213	1,0,8
294	1	47205184	1,-9,-8
295	63	47351045	-1,-1,8
296	5	47360776	1,-1,8
297	1	48565438	1,9,-8
298	175	48713384	-1,1,8
299	4	48723254	1,1,8
300	43	50105054	-1,-2,8
301	103	51526475	-1,2,8
302	1	51536626	1,2,8
303	34	52978070	-1,-3,8
304	76	54460265	-1,3,8
305	1	54470701	1,3,8
306	19	55973489	-1,-4,8
307	57	57518174	-1,4,8
308	14	59094755	-1,-5,8
309	63	60703670	-1,5,8
310	20	62345360	-1,-6,8
311	97	64020269	-1,6,8
312	48	65728844	-1,-7,8
313	354	67471535	-1,7,8
314	2	67483151	1,7,8
315	640	69248795	-1,-8,8
316	27321	71061080	-1,8,8
317	87	71073001	1,8,8
318	4	72908849	-1,-9,8
319	3	72920924	1,-9,8
320	289	73114277	-1,0,-9
321	27	73126369	1,0,-9
322	2	74804794	1,9,8
323	74	75000627	-1,-1,-9
324	7	75012874	1,-1,-9
325	236	76923405	-1,1,-9
326	4	76935808	1,1,-9
327	32	78883079	-1,-2,-9
328	4	78895639	1,-2,-9
329	1	80664050	-1,-11,8
330	1	80676751	1,-11,8
331	128	80880120	-1,2,-9
332	1	80892838	1,2,-9
333	24	82915002	-1,-3,-9
334	1	82927879	1,-3,-9
335	67	84988202	-1,3,-9
336	2	85001239	1,3,-9
337	16	87100200	-1,-4,-9
338	51	89251479	-1,4,-9
339	12	91442525	-1,-5,-9
340	55	93673827	-1,5,-9
341	9	95945877	-1,-6,-9
342	75	98259170	-1,6,-9
343	1	98273188	1,6,-9
344	22	100614204	-1,-7,-9
345	154	103011480	-1,7,-9
346	45	105451502	-1,-8,-9
347	3698	107934777	-1,8,-9
348	18	107949469	1,8,-9
349	19468	110461815	-1,-9,-9
350	121	110476678	1,-9,-9
351	9	113048164	1,9,-9
352	1169	113303930	-1,0,9
353	50	113318983	1,0,9
354	118	115923150	-1,-1,9
355	7	115938376	1,-1,9
356	553	118587699	-1,1,9
357	15	118603099	1,1,9
358	1	121033459	1,-11,-9
359	68	121298099	-1,-2,9
360	2	121313674	1,-2,9
361	279	124054875	-1,2,9
362	4	124070626	1,2,9
363	39	126858555	-1,-3,9
364	1	126874483	1,-3,9
365	146	129709670	-1,3,9
366	3	129725776	1,3,9
367	21	132608754	-1,-4,9
368	2	132625039	1,-4,9
369	112	135556344	-1,4,9
370	2	135572809	1,4,9
371	17	138552980	-1,-5,9
372	87	141599205	-1,5,9
373	1	141616033	1,5,9
374	15	144695565	-1,-6,9
375	93	147842609	-1,6,9
376	2	147859804	1,6,9
377	37	151040889	-1,-7,9
378	2	151058269	1,-7,9
379	184	154290960	-1,7,9
380	5	154308526	1,7,9
381	46	157593380	-1,-8,9
382	819	160948710	-1,8,9
383	6	160966651	1,8,9
384	851	164357514	-1,-9,9
385	4	164375644	1,-9,9
386	17596	167820359	-1,9,9
387	277	167838679	1,9,9
388	1	171337815	-1,-10,9
389	1	171356326	1,-10,9
390	522	171689714	-1,0,-10
391	29	171708244	1,0,-10
392	93	175266002	-1,-1,-10
393	12	175284724	1,-1,-10
394	1	178538855	-1,-11,9
395	261	178898069	-1,1,-10
396	26	178916984	1,1,-10
397	54	182586494	-1,-2,-10
398	1	182605603	1,-2,-10
399	126	186331859	-1,2,-10
400	7	186351163	1,2,-10
401	31	190134749	-1,-3,-10
402	80	193995752	-1,3,-10
403	10	194015449	1,3,-10
404	23	197915459	-1,-4,-10
405	1	197935354	1,-4,-10
406	45	201894464	-1,4,-10
407	4	201914558	1,4,-10
408	10	205933364	-1,-5,-10
409	45	210032759	-1,5,-10
