category_id	count	encoding	sequence
1	1	2600339	-1,0,0,0,0,0
2	9	2602619	1,0,0,0,0,0
3	1	164684024	1,0,-1,2,0
4	1	250174895	-1,0,0,1,0,0
5	1	250197263	1,0,0,1,0,0
6	1	751149418	1,-13,-1,-1,1
7	1	1930161644	1,0,0,-2,0,0
8	1	3584123443	1,2,0,-1,-1,0
9	1	4538138813	1,0,0,0,0,-1
10	1	5869698724	1,0,-1,0,0,-1
11	1	7535438464	1,0,1,0,0,-1
12	1	10279414034	1,0,-14,-1,0
13	1	12422111008	1,12,-13,-2
14	1	30791816878	1,-2,-2,-2,1
15	1	30792561364	1,0,0,0,-2
16	1	37180599776	1,1,3,-3,-1
17	1	49058865701	1,1,16,-2
18	1	84397834126	1,-14,-13,-3
19	1	90135574235	-1,0,13,-3
20	1	130334480402	-1,0,13,-2,-1
21	2	171643213369	1,0,0,0,1,0
22	1	201297980258	1,0,-2,1,0,-1
23	1	872690256754	1,0,-15,-1,-1,0
24	1	1357980840151	1,3,11,4
25	1	1831597516376	1,1,0,-3,-1,0
26	1	2653594019510	-1,0,0,1,1,0
27	5	3374964376952	-1,0,0,0,0,0,0
28	14	3374966975014	1,0,0,0,0,0,0
29	1	3789596726060	-1,0,-1,0,0,0,0
30	1	11285423260880	-1,-14,-14,-3,1
31	1	12471933272534	1,0,-1,-1,0,0,0
32	1	19752425764114	1,0,13,-5,0
33	1	41925905971514	1,0,0,0,-2,0
34	1	58819251719254	1,14,14,-6
35	1	69191877706951	1,8,9,6
36	1	74171102757569	1,1,9,-6,0
37	1	75198304256634	-1,-1,0,-4,0,-1
38	1	81265039183354	1,0,1,4,-1,0
39	1	95868977533877	-1,4,0,2,-1,-1
40	1	120102208331183	1,1,-1,1,2
41	1	173697819647626	1,8,-9,-7
42	1	371299139840494	1,0,0,0,-1,0,0
43	1	2286410551228202	-1,0,0,1,-1,0,0
44	1	2409944714077174	1,8,-8,8
45	1	2527381004412823	1,2,8,8
46	1	2534170401395339	-1,0,2,2,-2,0
