delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-27.894737	-47.753307	0.794212	continued:5	1831597516376	7692854932224211	1,1,0,-3,-1,0	10,0,2,9	ok
-1.447368	-27.894737	-48.427694	0.791419	continued:5	22948242951663224	30026371664987558	1,1,5,9,0	10,0,9,-10	ok
-1.394737	-27.894737	-48.995585	0.788625	continued:5	83880316845888825052860923588138	22596806001506350022414835506000	1,-2,-1,8,9	10,1,-2,-1,9	ok
-1.342105	-27.894737	-49.462366	0.785832	full	108520557838581004812141801410276	14091065309746134	1,3,9,-10,9	-10,2,9,9	ok
-1.289474	-27.894737	-47.486910	0.772361	continued:5	14732314666963759	30113264613136311	1,9,-10,9	-10,8,9,-10	ok
-1.236842	-27.894737	-48.179313	0.769567	continued:5	14732314666963759	30124139508098357	1,9,-10,9	-10,9,9,-10	ok
-1.184211	-27.894737	-48.756116	0.766774	continued:5	453895729641538637614472921722384	14732317585058792	1,9,-10,9,-10	-10,9,-10,9	ok
-1.131579	-27.894737	-49.225970	0.763981	continued:5	453895729641538607484895107171494	14732317585058792	-1,9,-10,9,-10	-10,9,-10,9	ok
-1.078947	-27.894737	-49.598930	0.761187	full	489473969894105793290234580880619	31282549346268347	-1,9,-10,-10,-10	-10,9,-10,-10	ok
-1.026316	-27.894737	-40.558831	0.711253	continued:5	489473969894105793290234580880619	31282549346268347	-1,9,-10,-10,-10	-10,9,-10,-10	ok
-0.973684	-27.894737	-43.925691	0.711755	continued:5	489473977720914113225471980282363	31282549346268347	1,-10,-10,-10,-10	-10,9,-10,-10	ok
-0.921053	-27.894737	-45.577780	0.708962	continued:5	489473969894105824578378338352259	14732317585058792	1,9,-10,-10,-10	-10,9,-10,9	ok
-0.868421	-27.894737	-46.848260	0.706168	continued:5	99887480609913080653142721402689	14134177230126971	-1,9,9,9,9	-10,9,9,9	ok
-0.815789	-27.894737	-47.869443	0.703375	continued:5	99887480609913080653142721402689	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.763158	-27.894737	-48.689873	0.706168	continued:5	99887480609913094787319783397708	14134177061995017	1,9,9,9,9	9,9,9,9	ok
-0.710526	-27.894737	-49.287636	0.703375	continued:5	99887480609913094787319783397708	14134177061995017	1,9,9,9,9	9,9,9,9	ok
-0.657895	-27.894737	-49.751674	0.700582	continued:5	99887480609913094787319783397708	14134177061995017	1,9,9,9,9	9,9,9,9	ok
-0.605263	-27.894737	-50.102815	0.697788	continued:5	99887480609913094787319783397708	14134177061995017	1,9,9,9,9	9,9,9,9	ok
-0.552632	-27.894737	-50.359855	0.694995	continued:5	99887480609913080653142721402689	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.500000	-27.894737	-50.539311	0.692201	full	99887480609913080653142721402689	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
