category_id	count	encoding	sequence
1	2	304	-11,0,0
2	2	329	11,0,0
3	2	355	-12,0,0
4	4	382	12,0,0
5	3	410	-13,0,0
6	1	412	-12,-1,0
7	4	439	13,0,0
8	3	469	-14,0,0
9	2	475	-11,-1,-1
10	6	500	14,0,0
11	1	502	13,-1,0
12	3	532	-15,0,0
13	2	534	-14,-1,0
14	2	537	12,1,0
15	5	565	15,0,0
16	2	567	14,-1,0
17	1	568	-14,0,-1
18	1	599	-16,0,0
19	1	601	-15,-1,0
20	1	604	13,1,0
21	4	634	16,0,0
22	1	672	-16,-1,0
23	1	676	-14,-1,-1
24	1	684	-10,2,0
25	1	710	-16,0,-1
26	1	747	-17,-1,0
27	1	754	13,-2,0
28	1	757	-12,0,1
29	1	787	-17,0,-1
30	1	790	15,-1,-1
31	1	826	-18,-1,0
32	1	827	17,0,-1
33	1	871	16,-1,-1
34	1	913	-17,-1,-1
35	1	959	-16,-2,0
36	1	965	-13,-2,-1
37	1	1000	-18,-1,-1
38	1	1049	16,1,-1
39	1	1051	15,0,1
40	1	1100	14,-2,-1
41	1	1149	-14,-1,1
42	1	1302	12,1,1
43	1	1506	17,-1,1
44	1	1623	15,1,1
45	1	1748	11,0,-2
46	1	2604	12,4,0
47	1	2755	10,1,-2
48	1	2895	-16,-1,-2
49	1	4164	11,5,0
50	1	4921	-15,-5,-1
51	1	4930	10,0,2
52	1	5022	14,-4,1
53	1	5334	11,-6,0
54	1	5961	17,2,-2
55	1	5965	15,0,2
56	1	5967	14,-6,0
57	1	12536	-13,2,2
58	1	17545	-17,0,-3
59	1	20472	-16,-1,-3
60	1	20890	10,-4,2
61	1	28419	11,8,1
62	1	39038	11,10,-1
63	1	45728	-13,0,3
64	1	53610	9,-9,-2
65	1	60702	12,1,3
66	1	62459	11,-11,1
67	1	63169	-11,9,-2
68	1	72364	13,-13,0
69	1	72744	-14,-13,0
70	1	84232	-12,10,-2
71	1	90502	-12,-3,3
72	1	95675	14,-14,0
73	1	95681	11,-11,-2
74	1	109259	-10,9,2
75	1	110185	15,-14,-1
76	1	140685	15,-15,-1
77	1	177880	13,13,-2
78	1	541294	13,11,3
79	1	1370320	10,-10,4
80	1	6780372	-16,-3,6
81	7	44693770	-8,-8,-8
82	1	44703224	8,-8,-8
83	1	46008012	8,8,-8
84	1	64201429	-9,6,8
85	1	67669143	9,7,8
86	43	71240000	8,8,8
87	8	71251936	-9,8,8
88	1	75000610	9,9,8
89	1	76948195	10,-10,8
90	2	108184677	9,8,-9
91	24	110699743	-9,-9,-9
92	5	110714622	9,-9,-9
93	1	113288860	9,9,-9
94	1	113590108	10,0,9
95	1	124338546	-10,2,9
96	1	161271801	-10,8,9
97	29	168131935	9,9,9
98	2	168150272	-10,9,9
99	1	171689695	10,-10,9
100	1	178935881	11,-11,9
101	1	179257625	10,1,-10
102	6	245477384	-10,9,-10
103	14	250152509	-10,-10,-10
104	5	250174876	10,-10,-10
105	1	255413879	11,0,10
106	1	274658179	12,12,-10
107	1	340931307	-11,8,10
108	1	346884610	10,-9,10
109	1	352942576	10,9,10
110	18	365296915	10,10,10
111	1	365323944	-11,10,10
112	1	372221948	11,0,-11
113	1	385045104	-11,1,-11
114	4	516280890	-11,10,-11
115	12	524442670	-11,-11,-11
116	3	524475056	11,-11,-11
117	1	542044246	-15,-1,11
118	1	549610411	12,12,-11
119	3	550340052	12,1,11
120	1	720234059	11,10,11
121	11	741298238	11,11,11
122	1	741336742	-12,11,11
123	1	752079912	12,-12,11
124	1	753011003	-13,0,-12
125	1	774703180	-12,1,-12
126	4	1019374105	-12,11,-12
127	7	1032964855	-12,-12,-12
128	2	1033010307	12,-12,-12
129	5	1420578229	12,12,12
130	3	1420631531	-13,12,12
131	1	1439402660	-13,0,-13
132	1	1439456314	13,0,-13
133	1	1439563625	14,0,-13
134	1	1642017446	-13,-6,-13
135	1	1908291506	-13,12,-13
136	5	1930037360	-13,-13,-13
137	2	1930099489	13,-13,-13
138	1	1974275675	14,-14,-13
139	2	2592828040	13,13,13
140	1	2592900051	-14,13,13
141	1	2649956371	-15,-1,-14
142	1	2733894513	-14,2,-14
143	1	3379940844	-14,-13,-14
144	4	3446948908	-14,-14,-14
145	1	3480908175	14,14,-14
146	1	3621387931	-15,2,14
147	1	4537948250	14,14,14
148	1	4624382506	-15,-1,-15
149	1	4709108599	-15,-2,-15
150	1	4709205646	15,-2,-15
151	1	5869590349	-15,14,-15
152	1	5971113809	-16,15,-15
153	1	7847727089	16,1,-16
154	1	7973634871	16,2,-16
155	1	8037281472	-17,-3,-16
