category_id	count	encoding	sequence
1	7	2345	-1,0,0,0,0
2	28	2413	1,0,0,0,0
3	1	3238	1,-1,0,0,0
4	1	7502	-1,0,-1,0,0
5	1	7624	1,0,-1,0,0
6	1	22789	1,0,1,0,0
7	1	83843	1,0,-1,-1,0
8	1	96139	1,0,0,0,-1
9	1	109276	1,-1,0,0,-1
10	1	224113	1,0,-1,0,-1
11	1	248863	1,-1,-1,0,-1
12	1	586985	-1,0,0,1,0
13	2	588068	1,0,0,1,0
14	1	639013	1,-1,0,1,0
15	1	1027459	1,-1,2,-1,0
16	1	1673533	1,2,0,-1,-1
17	1	2037170	-1,0,2,0,-1
18	1	2917318	1,-2,-1,-1,-1
19	1	4290983	1,0,-2,1,0
20	1	7336363	1,-1,3,0,-1
21	1	9165619	1,0,0,-2,0
22	1	16094300	-1,0,0,1,-1
23	1	38548588	1,-1,3,-1,-1
24	2	44712694	1,0,0,0,1
25	1	164684024	1,0,-1,2,0
26	1	730670877	-1,-1,1,-1,1
27	1	751149418	1,-13,-1,-1,1
28	1	1564613829	-1,4,0,2,-1
29	1	2592900077	-1,0,0,1,1
30	1	3834471377	-1,-1,-10,-1,-1
31	1	9975428126	1,1,0,-3,-1
32	1	10279414034	1,0,-14,-1,0
33	1	12422111008	1,12,-13,-2
34	1	30791816878	1,-2,-2,-2,1
35	2	30792561364	1,0,0,0,-2
36	1	37180599776	1,1,3,-3,-1
37	1	40081723144	1,0,-15,-1,-1
38	1	46865288934	-1,-1,0,-4,0
39	1	47345953058	1,-2,0,-4,0
40	1	49058865701	1,1,16,-2
41	1	57208053384	-1,-1,0,3,-1
42	1	74114617513	1,-1,14,1,-1
43	1	84397834126	1,-14,-13,-3
44	1	90135574235	-1,0,13,-3
45	1	130334480402	-1,0,13,-2,-1
46	1	705806844439	1,-1,-1,1,-2
47	1	1357980840151	1,3,11,4
48	1	1596681819499	1,0,1,4,-1
49	1	11285423260880	-1,-14,-14,-3,1
50	1	12424641421964	-1,0,2,2,-2
51	1	12503527748863	1,-1,0,0,2
52	1	19752425764114	1,0,13,-5,0
53	1	58819251719254	1,14,14,-6
54	1	69191877706951	1,8,9,6
55	1	74171102757569	1,1,9,-6,0
56	1	120102208331183	1,1,-1,1,2
57	1	173697819647626	1,8,-9,-7
58	1	1123366467340753	1,-3,0,-8,0
59	1	2409944714077174	1,8,-8,8
60	1	2527381004412823	1,2,8,8
61	1	2537570117940170	-1,0,0,0,-3
62	1	2671081176279752	-1,0,-1,0,-3
63	1	2811627630157526	1,-9,9,8
64	1	6720851833652339	1,10,-10,-9
65	1	6742063119145033	1,-7,0,-9,0
66	1	8816320031783174	1,4,-2,7,1
67	1	11435579706409452	-1,-1,1,-4,2
