category_id	count	encoding	sequence
1	24	5	-1,0
2	52	8	1,0
3	9	9	-1,-1
4	14	13	1,-1
5	1	20	-1,1
6	11	26	1,1
7	1	44	-1,-2
8	7	53	1,-2
9	6	103	1,2
10	1	170	-1,-3
11	1	188	1,-3
12	1	299	-1,3
13	3	323	1,3
14	1	526	1,-4
15	2	779	-1,4
16	3	818	1,4
17	1	4464	-1,-7
18	1	4558	1,-7
19	4	7625	-1,-8
20	6	7748	1,-8
21	26	9729	-1,8
22	32	9868	1,8
23	14	12245	-1,-9
24	17	12401	1,-9
25	13	15224	-1,9
26	23	15398	1,9
27	9	18720	-1,-10
28	14	18913	1,-10
29	14	22790	-1,10
30	14	23003	1,10
31	7	27494	-1,-11
32	8	27728	1,-11
33	6	32895	-1,11
34	6	33151	1,11
35	6	39059	-1,-12
36	5	39338	1,-12
37	3	46055	-1,12
38	6	46358	1,12
39	3	53955	-1,-13
40	4	54283	1,-13
41	2	62834	-1,13
42	2	63188	1,13
43	2	72770	-1,-14
44	4	73151	1,-14
45	1	84253	1,14
