category_id	count	encoding	sequence
1	2	233	10,0
2	2	255	-11,0
3	5	278	11,0
4	2	279	-11,-1
5	3	302	-12,0
6	2	305	10,1
7	4	327	12,0
8	1	328	-12,-1
9	1	330	-11,1
10	6	353	-13,0
11	5	380	13,0
12	1	383	-12,1
13	4	408	-14,0
14	1	409	13,-1
15	7	411	12,1
16	7	437	14,0
17	4	438	-14,-1
18	3	467	-15,0
19	2	468	14,-1
20	1	470	13,1
21	2	477	-10,2
22	7	498	15,0
23	4	499	-15,-1
24	2	530	-16,0
25	1	531	15,-1
26	1	536	-13,-2
27	4	563	16,0
28	3	564	-16,-1
29	1	569	13,-2
30	2	597	-17,0
31	1	598	16,-1
32	1	600	15,1
33	1	632	17,0
34	2	633	-17,-1
35	1	638	14,-2
36	1	669	17,-1
37	2	671	16,1
38	1	674	-15,-2
39	1	678	-13,2
40	2	706	-18,-1
41	1	711	15,-2
42	1	749	-16,-2
43	1	753	-14,2
44	1	797	-12,-3
45	1	832	-15,2
46	1	958	16,2
47	1	1047	17,2
48	1	1145	-16,-3
49	1	1242	-17,-3
50	1	1255	10,-4
51	1	1683	14,-4
52	1	1929	12,4
53	1	2897	-15,-5
54	1	3138	11,5
55	1	4073	11,-6
56	1	4346	-13,-6
57	1	4628	14,-6
58	1	4736	-9,6
59	1	7857	9,7
60	7	9438	-8,-8
61	1	9575	8,-8
62	44	11919	8,8
63	8	12073	-9,8
64	2	12228	9,8
65	1	12384	-10,8
66	1	12699	-11,8
67	1	12858	11,8
68	24	14861	-9,-9
69	6	15033	9,-9
70	1	15380	10,-9
71	31	18318	9,9
72	9	18509	-10,9
73	1	18701	10,9
74	1	18894	-11,9
75	14	22347	-10,-10
76	8	22558	10,-10
77	18	27008	10,10
78	5	27240	-11,10
79	2	27473	11,10
80	1	27707	-12,10
81	12	32364	-11,-11
82	6	32618	11,-11
83	11	38481	11,11
84	5	38758	-12,11
85	1	39595	13,11
86	7	45428	-12,-12
87	3	45729	12,-12
88	7	53277	12,12
89	4	53603	-13,12
90	5	62103	-13,-13
91	3	62455	13,-13
92	2	62808	-14,-13
93	3	71984	13,13
94	1	72363	-14,13
95	4	83001	-14,-14
96	2	83408	14,-14
97	1	84225	15,-14
98	2	95238	14,14
99	1	95674	-15,14
100	1	109248	15,-15
101	1	124220	-16,15
