delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-45.000000										error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1]
-1.447368	-45.000000										error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1]
-1.394737	-45.000000										error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1]
-1.342105	-45.000000										error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1]
-1.289474	-45.000000										error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2]
-1.236842	-45.000000										error: T SSCS does not start with ±1: [-2, -2, -1, -1, -2, -2]
-1.184211	-45.000000										error: T SSCS does not start with ±1: [-2, -3, -1, -1, -1, -2, -3]
-1.131579	-45.000000	-46.117356	0.817412	full	196	31020625516747926496644336583528019435928984929	18	47244	1,-2,-1,-1,-1,1,-2	17,2,-2,-1	ok
-1.078947	-45.000000	-46.228125	0.811171	full	14	30791816878	34	925447	1,-2,-2,-2,1	-17,0,-3,1	ok
-1.026316	-45.000000	-46.159770	0.801572	continued:5	127	38364583231443111508	187	158891119455127873210844800408000800942	1,-2,0,-8,-3	-17,-1,-1,-1,0,-4	ok
-0.973684	-45.000000	-46.450827	0.798779	full	17	49058865701	96	13246141197	1,1,16,-2	-17,-3,-16,-1	ok
-0.921053	-45.000000	-46.389564	0.789256	continued:5	140	296197266076010045887090508	94	10283142313	1,-2,0,-4,0,2	16,2,-16,0	ok
-0.868421	-45.000000	-46.675760	0.786462	full	16	37180599776	92	7847727089	1,1,3,-3,-1	16,1,-16	ok
-0.815789	-45.000000	-46.627298	0.777026	continued:5	121	11279655858945560008	177	87661157453313311364	1,2,1,-14,-1	-16,-1,-3,-16,-1	ok
-0.763158	-45.000000	-46.903468	0.774232	full	126	29795078693126719909	52	219189422	1,-1,0,-16	-16,-3,6,-2	ok
-0.710526	-45.000000	-46.873408	0.764883	continued:5	125	29294696596763900938	90	5971113809	1,2,15,15	-16,15,-15	ok
-0.657895	-45.000000	-47.134310	0.762089	full	193	170098274810157884235370612802437166798	29	140685	1,0,0,1,15	15,-15,-1	ok
-0.605263	-45.000000	-47.126388	0.752669	continued:5	130	811897517260772272576	93	7910367061	1,-4,-1,-15,-1,-1	-15,-1,-15,-1	ok
-0.552632	-45.000000	-47.368505	0.749876	full	123	17505644030684069780	106	1160392822549	-1,-1,-15,-15	-15,-2,-15,-4	ok
-0.500000	-45.000000										error: T SSCS does not start with ±1: [-2, -3, -15, -15]
-1.500000	-43.684211	-45.453229	0.853103	continued:5	68	69051438904821988	107	3375050113525	1,-1,-1,0,-1,1	-18,-1,-1,-1,-1,-1	ok
-1.447368	-43.684211	-45.744756	0.850309	full	2	2602619	28	125215	1,0,0,0,0,0	-18,-1,0,0,-1	ok
-1.394737	-43.684211	-45.423378	0.837700	continued:5	146	2901948342076144060528388638651	2	3971	1,-1,0,0,-1,0,1	17,-1,1,0	ok
-1.342105	-43.684211	-45.770383	0.834907	continued:5	22	201297980258	35	2523347	1,0,-2,1,0,-1	17,0,-1,-1,-1	ok
-1.289474	-43.684211	-46.072288	0.832113	full	141	740045228538837016738377478	55	517309662	1,0,-1,0,-1,2	-17,0,-1,-1,1	ok
-1.236842	-43.684211	-44.234138	0.800644	continued:5	131	1064958211857810036988	19	47862	1,-1,0,1,0,-2	-17,-1,0,-1,0	ok
-1.184211	-43.684211	-44.952499	0.797850	continued:5	92	299351335259287819	27	123224	1,-1,2,-1,0,-1,0	16,1,-1,-1,0	ok
-1.131579	-43.684211	-45.562206	0.797683	continued:5	119	6058070531020714527	30	270448	-1,-1,1,-1,1,1	16,-1,-1,0,-1	ok
-1.078947	-43.684211	-46.056438	0.800476	continued:5	132	2392621233236913200534	100	30625278785	1,1,-1,-1,3,-1	-16,0,-1,-1,0,-1	ok
-1.026316	-43.684211	-46.420883	0.797683	continued:5	133	10327502564578474272274	49	161757060	1,-1,-1,1,-2,-1,0	-16,-1,-2,0,1	ok
-0.973684	-43.684211	-46.725771	0.794890	full	83	160583860008454189	104	145967177864	1,-1,3,-1,-1,1	-16,-2,0,-1,-2	ok
-0.921053	-43.684211	-44.921967	0.761072	continued:5	136	87995146551035537406779	26	110185	1,-2,-2,-15,3	15,-14,-1	ok
-0.868421	-43.684211	-45.696236	0.758279	continued:5	23	872690256754	91	6180996490	1,0,-15,-1,-1,0	15,-2,-15,0	ok
-0.815789	-43.684211	-46.336901	0.761072	continued:5	39	95868977533877	22	63516	-1,4,0,2,-1,-1	15,0,2,-1	ok
-0.763158	-43.684211	-46.809727	0.763866	continued:5	120	7218185061172611833	101	41821067416	1,-14,-5,14	-15,-1,11,-3	ok
-0.710526	-43.684211	-47.141307	0.761072	continued:5	124	17506287721114551269	176	6180384762797605892	1,1,-15,-15	-15,-5,-1,14	ok
-0.657895	-43.684211	-47.405115	0.758279	full	122	17208245760586616360	89	5869590349	-1,-1,14,-15	-15,14,-15	ok
-0.605263	-43.684211	-47.220347	0.745113	continued:5	34	58819251719254	84	4537948250	1,14,14,-6	14,14,14	ok
-0.552632	-43.684211	-47.523264	0.742320	continued:5	18	84397834126	75	1974275675	1,-14,-13,-3	14,-14,-13	ok
-0.500000	-43.684211	-47.757077	0.739526	full	117	5940728395798568504	82	3446948908	-1,-14,-14,-14	-14,-14,-14	ok
-1.500000	-42.368421	-44.221328	0.833154	continued:5	28	3374966975014	11	4918	1,0,0,0,0,0,0	16,0,0,0,0	ok
-1.447368	-42.368421	-44.813879	0.832987	continued:5	29	3789596726060	11	4918	-1,0,-1,0,0,0,0	16,0,0,0,0	ok
-1.394737	-42.368421	-45.305278	0.830194	continued:5	31	12471933272534	11	4918	1,0,-1,-1,0,0,0	16,0,0,0,0	ok
-1.342105	-42.368421	-45.738916	0.827400	continued:5	2	2602619	11	4918	1,0,0,0,0,0	16,0,0,0,0	ok
-1.289474	-42.368421	-46.118955	0.824607	continued:5	79	137520069907210163	56	525447122	1,0,0,0,0,-1,0	-16,0,0,0,-1,0	ok
-1.236842	-42.368421	-46.447625	0.821814	full	21	171643213369	99	24971096472	1,0,0,0,1,0	-16,-1,0,-1,0,-1	ok
-1.184211	-42.368421	-43.941573	0.789469	continued:5	69	81747724778146363	7	4530	1,-1,3,0,-1,1	15,1,1,0	ok
-1.131579	-42.368421	-44.790201	0.786676	continued:5	3	164684024	110	247631084689311	1,0,-1,2,0	15,-1,-1,-4,-2	ok
-1.078947	-42.368421	-45.495071	0.784345	continued:5	46	2534170401395339	43	15078256	-1,0,2,2,-2,0	15,0,1,2	ok
-1.026316	-42.368421	-46.087518	0.787138	continued:5	139	116854671721737359219141323	14	13832	1,2,2,-1,6	-15,0,0,1	ok
-0.973684	-42.368421	-46.532256	0.784345	continued:5	40	120102208331183	97	13246141201	1,1,-1,1,2	-15,-1,-14,0,-1	ok
-0.921053	-42.368421	-46.904606	0.781551	continued:5	51	8747277329827651	86	4795093456	1,-1,14,1,-1,0,0	-15,2,14,0	ok
-0.868421	-42.368421	-47.210431	0.778758	full	202	151019278161521252369294789607712996440666682036365262674245540713776374457626888758136238169168990033243846035931245851186633366541472753491293720	83	3480908175	-1,0,0,0,-3,0,-14	14,14,-14	ok
-0.815789	-42.368421	-45.011170	0.743573	continued:5	128	52840546292795457239	24	95675	1,4,-1,14,1	14,-14,0	ok
-0.763158	-42.368421	-45.871767	0.740780	continued:5	192	5909982757871184362979462634704528827	175	3580906117135859375	-1,0,-14,0,-14	14,-4,1,-14	ok
-0.710526	-42.368421	-46.573588	0.741488	continued:5	30	11285423260880	174	3579731557503242059	-1,-14,-14,-3,1	-14,-1,1,-14	ok
-0.657895	-42.368421	-47.111014	0.744282	continued:5	114	5825381327716214626	172	1945906624213107543	1,-14,13,-14	-14,2,-14,-13	ok
-0.605263	-42.368421	-47.490302	0.741488	continued:5	118	5940728399245517414	82	3446948908	1,-14,-14,-14	-14,-14,-14	ok
-0.552632	-42.368421	-47.789537	0.738695	continued:5	116	5940442209418117784	82	3446948908	1,13,-14,-14	-14,-14,-14	ok
-0.500000	-42.368421	-48.018633	0.735902	full	115	5940442205971251902	82	3446948908	-1,13,-14,-14	-14,-14,-14	ok
-1.500000	-41.052632	-44.166028	0.824330	continued:5	28	3374966975014	10	4723	1,0,0,0,0,0,0	15,0,0,0,0	ok
-1.447368	-41.052632	-44.869803	0.821536	continued:5	27	3374964376952	10	4723	-1,0,0,0,0,0,0	15,0,0,0,0	ok
-1.394737	-41.052632	-45.484515	0.824330	continued:5	2	2602619	10	4723	1,0,0,0,0,0	15,0,0,0,0	ok
-1.342105	-41.052632	-45.967114	0.824369	continued:5	2	2602619	10	4723	1,0,0,0,0,0	15,0,0,0,0	ok
-1.289474	-41.052632	-46.361658	0.821576	continued:5	2	2602619	10	4723	1,0,0,0,0,0	15,0,0,0,0	ok
-1.236842	-41.052632	-46.702049	0.818782	full	27	3374964376952	48	44968357	-1,0,0,0,0,0,0	-15,0,0,0,1	ok
-1.184211	-41.052632	-44.046839	0.784115	continued:5	11	7535438464	46	28369249	1,0,1,0,0,-1	-15,-1,0,-1,0,0	ok
-1.131579	-41.052632	-44.945036	0.781322	continued:5	15	30792561364	42	14442597	1,0,0,0,-2	14,-6,0,-2,0	ok
-1.078947	-41.052632	-45.691473	0.780486	continued:5	60	54137290994658027	105	172928746628	-1,-1,0,3,-1,0,0	14,-2,-1,-1,-2	ok
-1.026316	-41.052632	-46.302742	0.783279	continued:5	8	3584123443	12	5643	1,2,0,-1,-1,0	14,-1,0,0,0	ok
-0.973684	-41.052632	-46.763437	0.780486	continued:5	190	2270809133671993807114094390703289376	77	1975972652	1,1,0,-3,13	14,0,-13,0	ok
-0.921053	-41.052632	-47.148058	0.777693	continued:5	12	10279414034	1	1198	1,0,-14,-1,0	-14,0,-1,0	ok
-0.868421	-41.052632	-47.462788	0.774899	full	19	90135574235	65	1034146954	-1,0,13,-3	-14,-1,-1,3	ok
-0.815789	-41.052632	-45.245975	0.738701	continued:5	113	5822843588106930943	81	3379940844	1,9,13,-14	-14,-13,-14	ok
-0.763158	-41.052632	-46.123962	0.735908	continued:5	53	11435579706409452	80	2592900051	-1,-1,1,-4,2	-14,13,13	ok
-0.710526	-41.052632	-46.840260	0.737826	continued:5	111	3361378628987190902	79	2592828040	-1,13,13,13	13,13,13	ok
-0.657895	-41.052632	-47.376199	0.740619	continued:5	109	1905213255228367888	79	2592828040	1,13,13,-13	13,13,13	ok
-0.605263	-41.052632	-47.753130	0.737826	continued:5	108	1862522112253015564	74	1930099489	1,-13,-13,-13	13,-13,-13	ok
-0.552632	-41.052632	-48.048534	0.735032	continued:5	107	1862522110322978202	73	1930037360	-1,-13,-13,-13	-13,-13,-13	ok
-0.500000	-41.052632	-48.272798	0.732239	full	107	1862522110322978202	169	1862522156643875166	-1,-13,-13,-13	-13,-13,-13,-13	ok
-1.500000	-39.736842	-43.060661	0.815578	continued:5	28	3374966975014	9	4627	1,0,0,0,0,0,0	-15,0,0,0,0	ok
-1.447368	-39.736842	-44.046746	0.816079	continued:5	28	3374966975014	12	5643	1,0,0,0,0,0,0	14,-1,0,0,0	ok
-1.394737	-39.736842	-44.812229	0.813286	continued:5	27	3374964376952	8	4532	-1,0,0,0,0,0,0	14,0,0,0,0	ok
-1.342105	-39.736842	-45.472568	0.816079	continued:5	2	2602619	8	4532	1,0,0,0,0,0	14,0,0,0,0	ok
-1.289474	-39.736842	-45.990306	0.813286	continued:5	135	14730495216043130762264	25	107852	1,0,0,0,0,1,0	14,0,0,0,-1	ok
-1.236842	-39.736842	-46.441626	0.810492	continued:5	79	137520069907210163	25	107852	1,0,0,0,0,-1,0	14,0,0,0,-1	ok
-1.184211	-39.736842	-46.830090	0.807699	continued:5	2	2602619	8	4532	1,0,0,0,0,0	14,0,0,0,0	ok
-1.131579	-39.736842	-47.158436	0.804906	full	43	2286410551228202	113	1121062128152248	-1,0,0,1,-1,0,0	-14,0,0,-8,0	ok
-1.078947	-39.736842	-46.440954	0.787345	continued:5	194	112373853765736030445395311436002738708574	45	28354188	1,-1,0,0,0,0,-2	-14,-1,0,-1,0,0	ok
-1.026316	-39.736842	-46.898641	0.784552	continued:5	32	19752425764114	171	1908264331557734844	1,0,13,-5,0	-14,-13,0,13	ok
-0.973684	-39.736842	-47.281616	0.781758	continued:5	189	1816081043465631140879333963710888502	31	537140	-1,0,-3,0,13	13,13,-2,-1	ok
-0.921053	-39.736842	-47.595407	0.778965	full	20	130334480402	170	1908264329604141064	-1,0,13,-2,-1	13,-13,0,13	ok
-0.868421	-39.736842	-44.366438	0.736904	continued:5	6	751149418	74	1930099489	1,-13,-1,-1,1	13,-13,-13	ok
-0.815789	-39.736842	-45.482058	0.734111	continued:5	13	12422111008	32	541294	1,12,-13,-2	13,11,3	ok
-0.763158	-39.736842	-46.373493	0.731318	continued:5	104	1860484471276924502	71	1642017446	-1,4,-13,-13	-13,-6,-13	ok
-0.710526	-39.736842	-47.100475	0.734111	continued:5	107	1862522110322978202	72	1908291506	-1,-13,-13,-13	-13,12,-13	ok
-0.657895	-39.736842	-47.635134	0.736904	continued:5	108	1862522112253015564	169	1862522156643875166	1,-13,-13,-13	-13,-13,-13,-13	ok
-0.605263	-39.736842	-48.009630	0.734111	continued:5	108	1862522112253015564	169	1862522156643875166	1,-13,-13,-13	-13,-13,-13,-13	ok
-0.552632	-39.736842	-48.301112	0.731318	continued:5	106	1862402202891664994	169	1862522156643875166	-1,12,-13,-13	-13,-13,-13,-13	ok
-0.500000	-39.736842	-48.520502	0.728524	full	101	1009021255905833795	70	1420631531	-1,12,12,12	-13,12,12	ok
-1.500000	-38.421053	-46.439479	0.828167	continued:5	28	3374966975014	8	4532	1,0,0,0,0,0,0	14,0,0,0,0	ok
-1.447368	-38.421053	-46.921623	0.825373	continued:5	28	3374966975014	39	2659944	1,0,0,0,0,0,0	-14,0,0,0,0,0	ok
-1.394737	-38.421053	-47.341955	0.822580	full	2	2602619	39	2659944	1,0,0,0,0,0	-14,0,0,0,0,0	ok
-1.342105	-38.421053	-43.416851	0.790473	continued:5	21	171643213369	45	28354188	1,0,0,0,1,0	-14,-1,0,-1,0,0	ok
-1.289474	-38.421053	-44.508490	0.787680	continued:5	2	2602619	13	8359	1,0,0,0,0,0	13,-2,0,0,0	ok
-1.236842	-38.421053	-45.397476	0.784887	continued:5	134	14730495215871488720702	145	32502835325837630	-1,0,0,0,0,1,0	13,1,0,10	ok
-1.184211	-38.421053										error: T SSCS does not start with ±1: [-2, 0, 0, 0, 1, 0]
-1.131579	-38.421053	-46.153236	0.787680	continued:5	110	1992793039259663276	44	28346659	1,1,-3,1,-3,0	13,-1,0,-1,0,0	ok
-1.078947	-38.421053	-46.690692	0.784887	continued:5	191	2271091858331811376467814077225862519	76	1975846927	1,-1,0,2,-13,0	13,0,-13,0	ok
-1.026316	-38.421053	-47.145765	0.782093	continued:5	188	591284423590875377675437639280368918	66	1061798378	1,0,-13,1,-13	-13,0,-12,0	ok
-0.973684	-38.421053	-47.524522	0.779300	continued:5	137	471467725222437804105140	95	10437162935	-1,0,-13,5,-5	-13,0,-13,-2	ok
-0.921053	-38.421053	-47.832712	0.776507	full	103	1777211444189069469	130	13560418079859200	-1,1,-12,-13	-13,-2,-1,1,-3	ok
-0.868421	-38.421053	-44.955075	0.736943	continued:5	102	1009021257326412026	70	1420631531	1,12,12,12	-13,12,12	ok
-0.815789	-38.421053	-45.957015	0.734150	continued:5	105	1862042515335788795	70	1420631531	-1,-11,-13,-13	-13,12,12	ok
-0.763158	-38.421053	-46.771124	0.733107	continued:5	101	1009021255905833795	69	1420578229	-1,12,12,12	12,12,12	ok
-0.710526	-38.421053	-47.418346	0.735900	continued:5	102	1009021257326412026	69	1420578229	1,12,12,12	12,12,12	ok
-0.657895	-38.421053	-47.887634	0.733107	continued:5	102	1009021257326412026	69	1420578229	1,12,12,12	12,12,12	ok
-0.605263	-38.421053	-48.259953	0.730314	continued:5	102	1009021257326412026	168	1009021288579133361	1,12,12,12	12,12,12,12	ok
-0.552632	-38.421053	-48.547732	0.727520	continued:5	97	533508198414997652	166	533508222173189616	-1,-12,-12,-12	12,-12,-12,-12	ok
-0.500000	-38.421053	-48.762480	0.724727	full	185	142315511012103471820664918283921429	165	533508221140224737	-1,-12,-12,-12,-12	-12,-12,-12,-12	ok
-1.500000	-37.105263	-47.362617	0.833530	full	28	3374966975014	6	4345	1,0,0,0,0,0,0	13,0,0,0,0	ok
-1.447368	-37.105263	-43.141855	0.795646	continued:5	28	3374966975014	6	4345	1,0,0,0,0,0,0	13,0,0,0,0	ok
-1.394737	-37.105263	-44.328952	0.792852	continued:5	28	3374966975014	6	4345	1,0,0,0,0,0,0	13,0,0,0,0	ok
-1.342105	-37.105263	-45.286390	0.790059	continued:5	27	3374964376952	6	4345	-1,0,0,0,0,0,0	13,0,0,0,0	ok
-1.289474	-37.105263	-46.103323	0.788269	continued:5	195	1287842963311738734239859186329197132401839	5	4253	-1,0,2,0,-1,-4,0	-13,0,0,0,0	ok
-1.236842	-37.105263	-46.797954	0.791062	continued:5	91	291068109083248901	47	44930435	1,1,0,11,0	-13,0,0,0,1	ok
-1.184211	-37.105263	-47.339835	0.788269	continued:5	48	6128866031951401	167	640711544370080978	1,-1,0,0,2,0	-13,0,3,12	ok
-1.131579	-37.105263	-47.797418	0.785475	continued:5	173	822431854671017067074743588618144	108	18491411951900	1,-1,0,3,10	-13,2,2,0,2	ok
