delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.722222	-45.000000	-46.992853	0.769501	full	11482848972625936126	1106297	1,-1,-3,-15	-16,15,-3,0	ok
-0.722222	-42.222222	-47.553843	0.761422	full	5818052338901405759	1975846926	-1,-1,13,-14	-14,-1,13	ok
-0.722222	-39.444444	-48.077596	0.753303	full	1862402202891664994	1930037360	-1,12,-13,-13	-13,-13,-13	ok
-0.722222	-36.666667	-48.574311	0.745720	full	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.722222	-33.888889	-49.050045	0.738706	full	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.722222	-31.111111	-49.508502	0.731300	full	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.722222	-28.333333	-49.951900	0.723519	full	30124135089904064	14732317585058792	-1,9,9,-10	-10,9,-10,9	ok
-0.722222	-25.555556	-50.381485	0.715408	full	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.722222	-22.777778	-50.797836	0.707036	full	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.722222	-20.000000	-51.201101	0.698483	full	998766650140877	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
