category_id	count	encoding	sequence
1	1	539	11,0,0,0
2	1	572	-12,0,0,0
3	1	606	12,0,0,0
4	1	641	-13,0,0,0
5	1	677	13,0,0,0
6	2	752	14,0,0,0
7	1	914	16,0,0,0
8	1	1103	-13,0,-1,0
9	1	1198	-14,0,-1,0
10	1	1682	-15,0,0,-1
11	1	2380	-18,-2,1
12	1	29613	-17,-1,-2,-1
13	1	40156	15,-1,-1,1
14	1	108787	12,12,-1,0
15	1	139625	-16,0,3,0
16	1	140159	13,13,-1,0
17	1	374513	16,-15,2
18	1	1106297	-16,15,-3,0
19	1	1570850	14,-14,-3,-1
20	1	2924545	13,12,-1,-2
21	1	741298238	11,11,11
22	1	752041131	11,11,-11,0
23	1	1033010307	12,-12,-12
24	1	1930037360	-13,-13,-13
25	1	1975846926	-14,-1,13
26	1	2089326380	-12,1,11,1
27	1	2592900051	-14,13,13
28	1	3446948908	-14,-14,-14
29	1	6286288099	-15,2,14,-1
30	1	37998490629	-11,0,0,4
31	1	39665473622	-16,0,-16,-2
32	1	451520166673117	9,9,-9,7
33	3	998767275853776	-8,-8,-8,-8
34	1	998767320547562	8,-8,-8,-8
35	1	999189900303645	8,8,-8,-8
36	1	2283266909404894	-9,5,7,8
37	10	2537570046700137	8,8,8,8
38	3	2671081176279736	-9,8,-9,8
39	1	2687023258164198	9,-9,0,-9
40	1	5848782350016823	-9,8,8,-9
41	3	6127218598078424	-9,-9,-9,-9
42	1	6127218708778185	9,-9,-9,-9
43	1	6386547328603766	10,0,9,-9
44	1	7037003902501906	10,2,1,9
45	6	14134177061995017	9,9,9,9
46	2	14732317585058792	-10,9,-10,9
47	1	30124139753553605	10,9,9,-10
48	4	31288144007624166	-10,-10,-10,-10
49	1	31288144257776695	10,-10,-10,-10
50	1	32497077261929295	-11,-1,0,10
51	4	66720925908142496	10,10,10,10
52	1	66720926273439432	-11,10,10,10
53	3	137520068858324757	-11,-11,-11,-11
54	1	137520069382767449	11,-11,-11,-11
55	1	137537054508265638	11,11,-11,-11
56	1	274761556251461169	11,11,11,11
57	3	533508221140224737	-12,-12,-12,-12
58	1	548931685865374866	12,-12,0,12
59	1	1009021288579133361	12,12,12,12
60	1	1777327259257775915	-13,-2,-12,-13
61	1	1862522156643875166	-13,-13,-13,-13
62	1	11277341565956793520	15,-1,2,-15
