delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.611111	-45.000000	-46.845853	0.766708	continued[1]:5	10498553452318590230	11277341565956793520	-1,-14,0,-15	15,-1,2,-15	ok
-0.611111	-42.222222	-46.646136	0.763915	continued[1]:5	5940728395798568504	3446948908	-1,-14,-14,-14	-14,-14,-14	ok
-0.611111	-39.444444	-46.071479	0.761121	continued[2]:5	1862522110322978202	1862522156643875166	-1,-13,-13,-13	-13,-13,-13,-13	ok
-0.611111	-36.666667	-45.687439	0.758328	continued[1]:5	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.611111	-33.888889	-48.910112	0.735913	continued[2]:5	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.611111	-31.111111	-49.764378	0.716204	full	31288139504878815	31288144257776695	-1,-10,-10,-10	10,-10,-10,-10	ok
-0.611111	-28.333333	-49.532704	0.713411	continued[1]:5	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.611111	-25.555556	-49.221161	0.710617	continued[1]:5	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.611111	-22.777778	-48.812271	0.707824	continued[1]:5	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.611111	-20.000000	-48.284958	0.705031	continued[1]:5	998766650140877	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
