delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.765306	-45.000000	-46.898791	0.774481	full	17827100260047557401	7973508590	1,-1,0,15	-16,2,-16	ok
-0.765306	-42.222222	-46.619195	0.771687	continued[1]:5	636755	4752003788	-1,1,-1,-2	14,1,-14,-1	ok
-0.765306	-39.444444	-46.268887	0.768894	continued[1]:5	1034010600673050077	1886730281	-1,-13,-13,12	-13,-12,-13	ok
-0.765306	-36.666667	-45.834651	0.766100	continued[1]:5	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.765306	-33.888889	-48.953172	0.745044	full	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.765306	-31.111111	-48.678473	0.742250	continued[1]:5	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.765306	-28.333333	-48.324481	0.739457	continued[1]:5	31282544843925584	31288144007624166	-1,9,-10,-10	-10,-10,-10,-10	ok
-0.765306	-25.555556	-47.876637	0.736664	continued[1]:5	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.765306	-22.777778	-47.317508	0.733870	continued[1]:5	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.765306	-20.000000	-46.624707	0.731077	continued[1]:5	998766650140877	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
