delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.944444	-45.000000	-46.513057	0.795348	full	2732194079	374513	1,1,-13,-1	16,-15,2	ok
-0.944444	-42.222222	-46.218957	0.792555	continued[1]:5	7348228016614021364	6286288099	-1,0,5,14	-15,2,14,-1	ok
-0.944444	-39.444444	-45.858935	0.789761	continued[1]:5	1818078296518131494	2924545	-1,1,12,-13	13,12,-1,-2	ok
-0.944444	-36.666667	-45.421068	0.786968	continued[1]:5	19749886884	1033010307	-1,11,-12,2	12,-12,-12	ok
-0.944444	-33.888889	-48.970790	0.758954	full	137520058369471127	137537054508265638	-1,-11,-11,-11	11,11,-11,-11	ok
-0.944444	-31.111111	-48.631826	0.756161	continued[1]:5	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.944444	-28.333333	-48.207061	0.753367	continued[1]:5	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.944444	-25.555556	-47.682484	0.750574	continued[1]:5	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.944444	-22.777778	-47.041418	0.747781	continued[1]:5	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.944444	-20.000000	-51.009392	0.723939	full	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
