category_id	count	encoding	sequence
1	1	1739	-16,-1,-1,0
2	1	4917	-17,-1,-1,-1
3	2	5116	-18,-1,-1,-1
4	2	7592	17,-2,-1,-1
5	1	29613	-17,-1,-2,-1
6	1	40437	-17,-2,-2,-1
7	1	47244	17,2,-2,-1
8	1	216781	15,-2,-3,-1
9	1	299892	-17,-1,0,-2
10	1	409934	-16,15,2
11	1	623251	-18,-1,-1,-2
12	1	727789	16,-2,-1,-2
13	1	850827	-17,-3,-1,-2
14	1	1149851	-18,-3,-4,-1
15	1	1849895	-16,0,3,1
16	1	2377255	-18,-1,-2,-2
17	1	2449761	15,-15,0,-2
18	1	2676104	-19,-2,-2,-2
19	1	2757694	16,-16,0,-2
20	1	6474569	16,-3,0,2
21	1	7332505	15,15,5
22	1	808804057	-17,-1,-10,1
23	1	4794995527	-15,-3,-15
24	1	6025439947	-15,0,-15,0
25	1	6025549722	-16,-1,15
26	1	6077145349	16,1,15
27	1	7295655584	-16,12,15
28	1	7596328881	15,-15,15
29	1	7657711859	-16,15,15
30	1	7973508590	-16,2,-16
31	1	13061401096	-15,-1,-15,1
32	1	13153690079	-16,1,-15,1
33	1	10680010071508441624	-15,-1,-1,-15
34	1	30761961189006801122	-16,0,1,-16
