category_id	count	encoding	sequence
1	1	701	1,1,-1,0
2	1	2277	-1,-1,-1,-1
3	1	2344	1,-1,-1,-1
4	1	4094	-1,-2,-1,-1
5	2	4184	1,-2,-1,-1
6	1	27026	1,1,-2,-1
7	1	31877	-1,-2,-2,-1
8	1	32129	1,-2,-2,-1
9	1	585902	-1,-1,-1,-2
10	1	2593502	-1,-2,-2,-2
11	1	4747819	1,-2,2,-2
12	1	8386558	1,-2,-3,-2
13	1	16695529	1,-2,1,2
14	1	37389626	1,1,4,-2
15	1	100784501	1,1,3,2
16	1	168131951	1,1,1,-3
17	1	194094251	1,1,-8,1
18	1	227303179	1,-2,4,2
19	1	346831951	1,-1,2,-3
20	1	720082273	1,2,3,-3
21	1	6073948651	1,-1,-15,0
22	1	7844094377	-1,0,-15,-1
23	1	8556609151	1,1,10,2
24	1	10126423826	1,1,-16,0
25	1	21169103201	1,1,14,-2
26	1	26026781627	-1,0,-15,-2
27	1	32760448433	1,-2,15,-2
28	1	23796420623145	-1,-1,-15,5
29	1	11276878587680654690	-1,0,2,-15
30	1	17505644030684069780	-1,-1,-15,-15
31	1	17806880556253988504	1,0,15,-15
32	1	17827100260047557401	1,-1,0,15
33	1	18133128054783280543	1,0,-1,15
34	1	18760376448296084753	1,0,-2,15
35	1	32267369257828614064	1,1,-3,-16
