delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-45.000000								error: T SSCS does not start with ±1: [-2, -2, -1, -1]
-1.479592	-45.000000								error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.459184	-45.000000								error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.438776	-45.000000								error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.418367	-45.000000								error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.397959	-45.000000								error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.377551	-45.000000								error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.357143	-45.000000								error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.336735	-45.000000								error: T SSCS does not start with ±1: [-2, -2, -1, -1]
-1.316327	-45.000000								error: T SSCS does not start with ±1: [-2, -2, -2, -2]
-1.295918	-45.000000								error: T SSCS does not start with ±1: [-2, -2, -2, -2]
-1.275510	-45.000000	-42.392184	0.834885	continued:5	2277	2676104	-1,-1,-1,-1	-19,-2,-2,-2	ok
-1.255102	-45.000000	-43.040319	0.832092	continued:5	585902	2377255	-1,-1,-1,-2	-18,-1,-2,-2	ok
-1.234694	-45.000000	-43.561508	0.829299	continued:5	31877	5116	-1,-2,-2,-1	-18,-1,-1,-1	ok
-1.214286	-45.000000	-44.013963	0.826505	continued:5	2593502	5116	-1,-2,-2,-2	-18,-1,-1,-1	ok
-1.193878	-45.000000	-44.422872	0.823712	continued:5	4094	623251	-1,-2,-1,-1	-18,-1,-1,-2	ok
-1.173469	-45.000000								error: T SSCS does not start with ±1: [-2, -8, -1, -1]
-1.153061	-45.000000	-44.800884	0.820919	continued:5	720082273	1149851	1,2,3,-3	-18,-3,-4,-1	ok
-1.132653	-45.000000	-45.134364	0.818125	continued:5	4184	47244	1,-2,-1,-1	17,2,-2,-1	ok
-1.112245	-45.000000	-45.449130	0.815332	continued:5	4184	7592	1,-2,-1,-1	17,-2,-1,-1	ok
-1.091837	-45.000000	-45.746874	0.812666	continued:5	16695529	7592	1,-2,1,2	17,-2,-1,-1	ok
-1.071429	-45.000000	-46.027118	0.810335	continued:5	32129	808804057	1,-2,-2,-1	-17,-1,-10,1	ok
-1.051020	-45.000000	-46.287033	0.807876	full	4747819	29613	1,-2,2,-2	-17,-1,-2,-1	ok
-1.030612	-45.000000	-45.026340	0.806531	continued:5	8386558	4917	1,-2,-3,-2	-17,-1,-1,-1	ok
-1.010204	-45.000000	-45.377060	0.803738	continued:5	227303179	299892	1,-2,4,2	-17,-1,0,-2	ok
-0.989796	-45.000000	-45.703317	0.800944	continued:5	32760448433	40437	1,-2,15,-2	-17,-2,-2,-1	ok
-0.969388	-45.000000	-46.007384	0.798279	continued:5	10126423826	850827	1,1,-16,0	-17,-3,-1,-2	ok
-0.948980	-45.000000	-46.289331	0.795948	continued:5	21169103201	2757694	1,1,14,-2	16,-16,0,-2	ok
-0.928571	-45.000000	-46.546917	0.793489	full	194094251	6474569	1,1,-8,1	16,-3,0,2	ok
-0.908163	-45.000000	-45.296577	0.792258	continued:5	8556609151	727789	1,1,10,2	16,-2,-1,-2	ok
-0.887755	-45.000000	-45.654209	0.789465	continued:5	37389626	6077145349	1,1,4,-2	16,1,15	ok
-0.867347	-45.000000	-45.982566	0.786672	continued:5	100784501	30761961189006801122	1,1,3,2	-16,0,1,-16	ok
-0.846939	-45.000000	-46.284417	0.784006	continued:5	32267369257828614064	1849895	1,1,-3,-16	-16,0,3,1	ok
-0.826531	-45.000000	-46.560397	0.781547	continued:5	27026	6025549722	1,1,-2,-1	-16,-1,15	ok
-0.806122	-45.000000	-46.810164	0.779216	full	168131951	1739	1,1,1,-3	-16,-1,-1,0	ok
-0.785714	-45.000000	-45.613555	0.777970	continued:5	701	13153690079	1,1,-1,0	-16,1,-15,1	ok
-0.765306	-45.000000	-45.967899	0.775177	continued:5	17827100260047557401	7973508590	1,-1,0,15	-16,2,-16	ok
-0.744898	-45.000000	-46.289269	0.772384	continued:5	2344	7295655584	1,-1,-1,-1	-16,12,15	ok
-0.724490	-45.000000	-46.580876	0.769718	continued:5	346831951	409934	1,-1,2,-3	-16,15,2	ok
-0.704082	-45.000000	-46.843931	0.767387	continued:5	6073948651	7657711859	1,-1,-15,0	-16,15,15	ok
-0.683673	-45.000000	-47.077473	0.765056	full	17806880556253988504	7332505	1,0,15,-15	15,15,5	ok
-0.663265	-45.000000	-45.679264	0.764127	continued:5	18133128054783280543	2449761	1,0,-1,15	15,-15,0,-2	ok
-0.642857	-45.000000	-46.053162	0.761334	continued:5	18760376448296084753	7596328881	1,0,-2,15	15,-15,15	ok
-0.622449	-45.000000	-46.387296	0.758541	continued:5	11276878587680654690	216781	-1,0,2,-15	15,-2,-3,-1	ok
-0.602041	-45.000000	-46.686318	0.755747	continued:5	26026781627	6025439947	-1,0,-15,-2	-15,0,-15,0	ok
-0.581633	-45.000000	-46.953854	0.753288	continued:5	7844094377	13061401096	-1,0,-15,-1	-15,-1,-15,1	ok
-0.561224	-45.000000	-47.189656	0.751036	continued:5	23796420623145	10680010071508441624	-1,-1,-15,5	-15,-1,-1,-15	ok
-0.540816	-45.000000	-47.395007	0.748370	full	17505644030684069780	4794995527	-1,-1,-15,-15	-15,-3,-15	ok
-0.520408	-45.000000								error: T SSCS does not start with ±1: [-2, -2, -2, -15]
-0.500000	-45.000000								error: T SSCS does not start with ±1: [-2, -3, -15, -15]
