category_id	count	encoding	sequence
1	156	77	-1,0,0,0
2	132	89	1,0,0,0
3	7	275	-1,0,-1,0
4	11	298	1,0,-1,0
5	17	463	1,-1,-1,0
6	18	464	-1,0,0,-1
7	19	494	1,0,0,-1
8	1	665	-1,1,-1,0
9	11	1127	-1,0,1,0
10	4	1174	1,0,1,0
11	3	1652	-1,0,-1,-1
12	9	1709	1,0,-1,-1
13	8	2277	-1,-1,-1,-1
14	6	2344	1,-1,-1,-1
15	1	4094	-1,-2,-1,-1
16	3	4184	1,-2,-1,-1
17	3	4370	-1,0,-2,0
18	2	4463	1,0,-2,0
19	1	5776	1,-1,-2,0
20	2	5777	-1,0,1,-1
21	3	5884	1,0,1,-1
22	4	7501	1,-1,1,-1
23	8	9590	-1,0,0,1
24	5	9728	1,0,0,1
25	6	12088	1,-1,0,1
26	1	15050	-1,0,2,0
27	1	15223	1,0,2,0
28	3	18527	-1,0,-2,-1
29	2	18719	1,0,-2,-1
30	2	22365	-1,-1,-2,-1
31	2	27026	1,1,-2,-1
32	2	27493	1,0,-1,1
33	1	32129	1,-2,-2,-1
34	5	32384	-1,-1,-1,1
35	1	32638	1,-1,-1,1
36	2	45752	-1,0,-3,0
37	1	53627	-1,0,2,-1
38	2	62479	1,-1,2,-1
39	3	72389	-1,0,1,1
40	1	72769	1,0,1,1
41	1	83027	-1,-1,1,1
42	1	83434	1,-1,1,1
43	2	95264	1,1,1,1
44	1	140714	-1,0,-3,-1
45	1	178502	-1,0,-2,1
46	2	179099	1,0,-2,1
47	1	198763	1,-2,-3,-1
48	1	199395	-1,-1,-2,1
49	1	246752	-1,-2,-2,1
50	6	248864	-1,0,0,-2
51	6	249569	1,0,0,-2
52	9	276394	1,-1,0,-2
53	1	306934	1,0,-4,0
54	3	409964	-1,0,2,1
55	1	410869	1,0,2,1
56	1	449824	1,-1,2,1
57	1	538202	-1,0,-1,-2
58	1	754604	1,0,-4,-1
59	1	1106327	-1,0,1,-2
60	1	1469753	1,0,-5,0
61	1	1570877	-1,0,4,-1
62	1	1794563	1,0,3,1
63	1	2305876	1,-1,-2,-2
64	1	3454505	-1,1,-5,-1
65	2	4068377	-1,0,2,-2
66	1	4285127	-1,-1,2,-2
67	1	4747819	1,-2,2,-2
68	4	5000702	-1,0,0,2
69	1	5003864	1,0,0,2
70	1	5256901	1,-1,0,2
71	1	8771765	-1,0,-1,2
72	1	8775953	1,0,-1,2
73	1	9157059	-1,-1,-1,2
74	1	11297880	-1,1,-6,-1
75	1	14924914	1,0,1,2
76	1	15492960	-1,-1,1,2
77	1	16695529	1,-2,1,2
78	1	17343103	1,0,-7,0
79	1	24664775	-1,0,-2,2
80	1	24671798	1,0,-2,2
81	1	27235889	-1,-2,-2,2
82	1	35175077	-1,0,4,-2
83	1	37389626	1,1,4,-2
84	3	39725240	-1,0,2,2
85	1	67599377	-1,-2,-3,2
86	3	71251952	-1,0,0,-3
87	1	73114276	1,-1,0,-3
88	1	100784501	1,1,3,2
89	1	115938377	-1,0,-9,0
90	1	126922277	-1,-1,7,1
91	1	161253859	1,0,1,-3
92	1	164647730	-1,-1,1,-3
93	1	164665876	1,-1,1,-3
94	1	168131951	1,1,1,-3
95	1	175284725	-1,0,9,0
96	1	182624715	-1,-1,-9,-1
97	1	194094251	1,1,-8,1
98	4	259771820	-1,0,-10,0
99	3	259794613	1,0,-10,0
100	1	378056252	-1,0,10,0
101	1	410798114	1,10,-7,-2
102	1	425225702	-1,-1,7,-2
103	1	432282905	-1,1,7,-2
104	3	541155650	-1,0,-11,0
105	1	566918627	-1,0,9,1
106	2	741336764	-1,0,0,3
107	2	773916152	-1,0,-11,-1
108	1	784971252	-1,-1,-11,-1
109	1	796184558	1,1,-11,-1
110	1	830586902	-1,0,8,-2
111	1	853898474	-1,-3,-10,1
112	1	1033010329	1,-1,-1,3
113	1	1060600594	1,-2,-1,3
114	3	1060692710	-1,0,-12,0
115	1	1060738768	1,0,-12,0
116	1	1074740702	-1,0,11,-1
117	1	1132285076	1,1,10,1
118	1	1147085252	-1,0,-9,-2
119	2	1176925385	-1,1,-9,-2
120	1	1286183120	-1,-3,-7,2
121	1	1386195529	1,0,1,3
122	1	1403254775	-1,-1,1,3
123	1	1455813818	1,0,12,0
124	1	1473566327	-1,0,-12,-1
125	1	1509613876	1,1,-12,-1
126	1	1509668825	-1,0,-11,1
127	1	1527911559	-1,-1,-11,1
128	1	1546319465	-1,1,-11,1
129	1	1565061377	-1,0,9,-2
130	4	1974275702	-1,0,-13,0
131	1	2111362652	-1,0,-10,-2
132	1	2134821152	-1,-1,-10,-2
133	1	2230953001	1,-1,-8,2
134	1	2675863589	-1,0,-13,-1
135	1	2703881952	-1,-1,-13,-1
136	1	2906688133	1,-2,10,-2
137	1	2936729840	-1,0,8,2
138	1	3515201627	-1,0,-14,0
139	2	3549663152	-1,0,13,-1
140	1	3584292776	1,1,-14,0
141	1	3654483777	-1,-1,12,1
142	2	3797866280	-1,1,-11,-2
143	1	3834296234	-1,-2,-11,-2
144	1	4372761402	-1,-7,-9,2
145	1	4664089652	-1,0,-14,-1
146	1	4706585730	-1,-1,-14,-1
147	1	4706682751	1,-1,-14,-1
148	1	4792645559	-1,-1,-13,1
149	2	4836017030	-1,1,-13,1
150	2	5148638549	-1,1,9,2
151	3	5920297703	1,0,0,-4
152	2	6022476373	1,0,-15,0
153	2	6073948651	1,-1,-15,0
154	1	6444133100	-1,1,-12,-2
155	1	6607728359	1,-3,-12,-2
156	1	6662908201	1,3,-12,-2
157	1	7781717879	1,0,15,0
158	1	7844094377	-1,0,-15,-1
159	1	7844219629	1,0,-15,-1
160	1	8033731902	-1,-1,-14,1
161	1	8556478335	-1,1,10,2
162	1	9752108652	-1,-1,1,-4
163	2	10050996869	1,0,15,-1
164	1	10126423826	1,1,-16,0
165	4	10126566139	1,-1,15,-1
166	1	10433695739	-1,0,-13,-2
167	1	10511412527	-1,-1,-13,-2
168	1	10668149414	-1,-2,-13,-2
169	1	11150247110	-1,0,8,-3
170	1	13617037877	-1,0,11,2
171	1	15509743624	1,-1,2,-4
172	1	16692111539	1,0,-14,-2
173	1	16802469585	-1,-1,-14,-2
174	1	17025199127	-1,-2,-14,-2
175	1	17708584913	1,0,9,-3
176	1	20906546402	-1,0,14,-2
177	1	22244994200	-1,-1,-10,-3
178	1	24080358238	1,-1,3,-4
179	1	26026781627	-1,0,-15,-2
180	1	30790576089	-1,-4,-4,-4
181	1	32760448433	1,-2,15,-2
182	1	33128538309	-1,-1,13,2
183	1	34439870024	-1,-2,-11,-3
184	1	37993252994	1,0,0,4
185	2	40509253202	-1,0,-14,2
186	1	46388600119	1,0,-1,4
187	1	46626181877	-1,-1,-1,4
188	1	55284276420	-1,2,5,-4
189	1	82555488289	1,8,-10,3
190	1	90527039759	-1,-1,13,-3
191	1	108174121277	-1,0,-14,-3
192	1	108622973655	-1,-1,-14,-3
193	1	110891064452	-1,0,-11,3
194	1	132410439527	-1,0,11,3
195	1	153976149643	1,0,-15,-3
196	1	222837870254	-1,-2,-13,3
197	1	225941544752	-1,0,9,-4
198	1	801929437829	-1,-2,-5,-5
199	1	885640085064	-1,2,-14,-4
200	1	925362445490	-1,7,-10,4
201	1	936652736327	-1,0,0,5
202	2	936654105014	1,0,0,5
203	1	2050473490659	-1,-1,3,5
204	1	2315051687027	-1,5,-9,-5
205	1	2315073204752	-1,0,-4,5
206	1	7955667588350	-1,-1,14,-5
207	2	8057557155065	-1,0,9,5
208	1	23796420623145	-1,-1,-15,5
209	1	27278185727104	1,-11,-4,6
210	1	48600162327752	-1,0,13,-6
211	1	62330594303252	-1,0,-15,-6
212	1	139466919611327	-1,0,0,7
213	1	139563469901776	1,-1,0,7
214	1	161406858922652	-1,0,1,7
215	1	161730175447504	1,-2,1,7
216	1	214540459745045	-1,0,3,7
217	1	282764567936795	-1,1,5,7
218	1	448267356026954	-1,2,-9,7
219	1	448730891062610	-1,3,-9,7
220	1	450588627364304	-1,7,-9,7
221	1	476725858853090	-1,0,9,7
222	1	575841030841460	-1,1,-11,7
223	1	576680143331060	-1,-3,-11,7
224	1	580889982453170	-1,-3,3,-8
225	43	998766650140877	-1,-8,-8,-8
226	3	998766694834649	1,-8,-8,-8
227	1	1051325816023858	1,0,8,-8
228	1	1058369481252494	1,0,0,8
229	1	1118758120809635	-1,6,-9,-8
230	1	1121521717423808	1,1,-1,8
231	1	1186497012149190	-1,-1,1,8
232	1	1318619148670174	1,0,10,-8
233	1	1328012038573505	-1,1,2,8
234	1	1328535289957589	-1,-2,2,8
235	1	1569477936097304	-1,11,-12,-8
236	1	2280910124469375	-1,-4,7,8
237	1	2409126743731619	-1,-8,-8,8
238	1	2525685913255505	-1,1,8,8
239	1	2529076806443252	-1,3,8,8
240	2	2534169547088045	-1,6,8,8
241	3	2535868835344910	-1,7,8,8
242	5	2536718799892277	-1,-8,8,8
243	265	2537568978100002	-1,8,8,8
244	8	2537569049340004	1,8,8,8
245	1	2669313200201559	-1,7,-9,8
246	19	2671080006838320	-1,8,-9,8
247	1	2797878789703205	-1,1,9,8
248	1	2803372230424502	-1,4,9,8
249	1	2954789756045153	1,7,-10,8
250	2	2958605310705527	-1,-1,1,-9
251	1	3441721596005420	-1,-3,-3,-9
252	1	5060182364100274	1,0,-7,-9
253	1	5323446691871219	-1,-7,7,-9
254	1	5829716941481510	-1,2,8,-9
255	1	5845600097551730	-1,7,8,-9
256	1	5847190196345960	-1,-8,8,-9
257	3	5848780619532479	-1,8,8,-9
258	19	6125569946746277	-1,8,-9,-9
259	1	6125570057431144	1,8,-9,-9
260	176	6127216826882384	-1,-9,-9,-9
261	8	6127216937582129	1,-9,-9,-9
262	1	6386545181259752	-1,0,9,-9
263	1	6393344124209679	-1,2,9,-9
264	2	6413773528256940	-1,8,9,-9
265	1	6415478185868765	-1,-9,9,-9
266	2	6417185222471639	-1,0,0,9
267	1	6692650835836679	-1,2,-10,-9
268	1	7015098021204755	-1,5,10,-9
269	1	7035174567671252	-1,-2,1,9
270	1	7694806439824879	1,-1,2,9
271	1	8414388933441308	1,1,3,9
272	1	10926177177350069	1,0,6,9
273	1	10943979351009705	-1,-4,6,9
274	1	11900140588096502	-1,0,7,9
275	1	11910983231300615	-1,2,7,9
276	2	12955131769494530	-1,1,8,9
277	1	12972468362268359	-1,4,8,9
278	1	12992716373000252	-1,-8,8,9
279	1	12995610879787277	-1,8,8,9
280	1	12998505870192215	-1,-9,8,9
281	1	13515637992718094	-1,2,-9,9
282	3	13554435274332185	-1,-9,-9,9
283	2	14078762733585902	-1,0,9,9
284	1	14078762901387944	1,0,9,9
285	2	14084911503829220	-1,1,9,9
286	1	14091062287990149	-1,2,9,9
287	1	14100292241288955	-1,-4,9,9
288	1	14115685572605015	-1,6,9,9
289	1	14121846432950699	-1,7,9,9
290	1	14124927619304777	-1,-8,9,9
291	3	14128009309853010	-1,8,9,9
292	5	14131091504650400	-1,-9,9,9
293	153	14134174203751952	-1,9,9,9
294	18	14134174371883889	1,9,9,9
295	1	14675152561139777	-1,0,-10,9
296	17	14732314495311119	-1,9,-10,9
297	3	14732314666963759	1,9,-10,9
298	2	14738679547614901	1,-1,0,-10
299	2	15293563070935889	-1,0,10,9
300	1	15306650221299164	-1,2,10,9
301	1	15319745769459299	-1,4,10,9
302	1	15355805187064685	-1,0,-1,-10
303	1	15981963648634235	-1,7,-11,9
304	1	16005640808614994	1,-11,-11,9
305	2	17359781305027590	-1,-1,2,-10
306	1	17363378441604194	-1,1,2,-10
307	1	18001571791909094	1,0,12,9
308	1	18820997904389876	1,1,3,-10
309	1	20376631338008750	-1,0,4,-10
310	1	21212635378131944	1,-2,-5,-10
311	1	22125833614222001	1,-9,5,-10
312	1	25818830303288503	1,5,7,-10
313	1	30026367008912120	-1,0,9,-10
314	1	30048072897124126	1,2,9,-10
315	1	30058930130783201	1,3,9,-10
316	1	30080653424921188	1,5,9,-10
317	1	30113260441150501	1,8,9,-10
318	3	30124135089904064	-1,9,9,-10
319	3	30124135335359294	1,9,9,-10
320	1	31193132519848949	1,1,-10,-10
321	12	31282544843925584	-1,9,-10,-10
322	1	31282545094055729	1,9,-10,-10
323	137	31288139504878815	-1,-10,-10,-10
324	3	31288139755031326	1,-10,-10,-10
325	1	32376351070599002	-1,0,10,-10
326	1	32468294593620990	-1,8,10,-10
327	2	32479801288134452	-1,9,10,-10
328	2	32485555782212454	-1,-10,10,-10
329	2	32491316139266327	-1,0,0,10
330	1	32491316394183239	1,0,0,10
331	4	35013596617462385	-1,-1,1,10
332	1	35025773406619127	-1,-2,1,10
