category_id	count	encoding	sequence
1	188	77	-1,0,0,0
2	170	89	1,0,0,0
3	6	275	-1,0,-1,0
4	7	298	1,0,-1,0
5	18	463	1,-1,-1,0
6	22	464	-1,0,0,-1
7	13	494	1,0,0,-1
8	10	1127	-1,0,1,0
9	3	1174	1,0,1,0
10	10	1709	1,0,-1,-1
11	10	2277	-1,-1,-1,-1
12	5	2344	1,-1,-1,-1
13	3	4184	1,-2,-1,-1
14	6	4370	-1,0,-2,0
15	2	4463	1,0,-2,0
16	1	5776	1,-1,-2,0
17	1	5777	-1,0,1,-1
18	3	5884	1,0,1,-1
19	4	7501	1,-1,1,-1
20	10	9590	-1,0,0,1
21	2	9728	1,0,0,1
22	6	12088	1,-1,0,1
23	2	15050	-1,0,2,0
24	1	18527	-1,0,-2,-1
25	2	18719	1,0,-2,-1
26	1	27026	1,1,-2,-1
27	2	27493	1,0,-1,1
28	1	32129	1,-2,-2,-1
29	1	32384	-1,-1,-1,1
30	1	45752	-1,0,-3,0
31	1	53627	-1,0,2,-1
32	1	62479	1,-1,2,-1
33	1	72389	-1,0,1,1
34	1	72769	1,0,1,1
35	1	83027	-1,-1,1,1
36	1	83434	1,-1,1,1
37	2	95264	1,1,1,1
38	1	179099	1,0,-2,1
39	1	198763	1,-2,-3,-1
40	2	222110	-1,1,-2,1
41	4	248864	-1,0,0,-2
42	4	249569	1,0,0,-2
43	9	276394	1,-1,0,-2
44	3	409964	-1,0,2,1
45	1	410869	1,0,2,1
46	2	754604	1,0,-4,-1
47	1	1106327	-1,0,1,-2
48	1	1469753	1,0,-5,0
49	1	1792670	-1,0,3,1
50	1	1794563	1,0,3,1
51	2	2168402	-1,0,-2,-2
52	1	2305876	1,-1,-2,-2
53	1	2447576	1,1,-2,-2
54	2	3270402	-1,-1,-5,-1
55	1	3459764	-1,0,-4,1
56	3	4068377	-1,0,2,-2
57	1	4285127	-1,-1,2,-2
58	1	4747819	1,-2,2,-2
59	5	5000702	-1,0,0,2
60	1	5003864	1,0,0,2
61	1	5256901	1,-1,0,2
62	1	5522825	-1,0,-6,0
63	1	8771765	-1,0,-1,2
64	1	8775953	1,0,-1,2
65	1	16695529	1,-2,1,2
66	1	17343103	1,0,-7,0
67	1	24664775	-1,0,-2,2
68	2	24671798	1,0,-2,2
69	1	27235889	-1,-2,-2,2
70	1	31019625	-1,-1,-7,-1
71	1	37389626	1,1,4,-2
72	2	39725240	-1,0,2,2
73	1	47360777	-1,0,-8,0
74	1	48733127	-1,0,7,-1
75	5	71251952	-1,0,0,-3
76	1	73114276	1,-1,0,-3
77	1	75012875	-1,0,8,0
78	1	78908202	-1,-1,-8,-1
79	1	80918279	1,1,-8,-1
80	1	100784501	1,1,3,2
81	1	108169985	-1,0,-1,-3
82	3	115938377	-1,0,-9,0
83	1	126922277	-1,-1,7,1
84	1	161253859	1,0,1,-3
85	2	164647730	-1,-1,1,-3
86	1	164665876	1,-1,1,-3
87	1	168131951	1,1,1,-3
88	1	182624715	-1,-1,-9,-1
89	1	218645415	-1,-1,4,2
90	5	259771820	-1,0,-10,0
91	1	259794613	1,0,-10,0
92	1	352862894	-1,1,2,-3
93	1	378056252	-1,0,10,0
94	1	391090527	-1,-1,-10,-1
95	1	411285539	-1,1,-9,1
96	3	541155650	-1,0,-11,0
97	1	549643589	-1,0,10,-1
98	1	566918627	-1,0,9,1
99	1	689337013	1,-1,3,-3
100	3	741336764	-1,0,0,3
101	1	773916152	-1,0,-11,-1
102	1	796224464	-1,0,-10,1
103	1	818930684	-1,1,-10,1
104	1	1019374127	-1,0,-1,3
105	1	1019419279	1,0,-1,3
106	1	1033010329	1,-1,-1,3
107	1	1060600594	1,-2,-1,3
108	5	1060692710	-1,0,-12,0
109	1	1074740702	-1,0,11,-1
110	1	1103254850	-1,0,10,1
111	1	1192062377	-1,-2,-9,-2
112	1	1386195529	1,0,1,3
113	1	1455759860	-1,0,12,0
114	1	1455813818	1,0,12,0
115	1	1473566327	-1,0,-12,-1
116	1	1491481035	-1,-1,-12,-1
117	1	1509668825	-1,0,-11,1
118	1	1527911559	-1,-1,-11,1
119	3	1565061377	-1,0,9,-2
120	1	1974275702	-1,0,-13,0
121	2	1996646027	-1,0,12,-1
122	1	2111362652	-1,0,-10,-2
