delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-45.000000										error: T SSCS does not start with ±1: [-2, -2, -1, -1]
-1.500000	-44.489796										error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.500000	-43.979592										error: T SSCS does not start with ±1: [-5, -2, -2, -2]
-1.500000	-43.469388										error: T SSCS does not start with ±1: [-6, -1, -1, 0]
-1.500000	-42.959184										error: T SSCS does not start with ±1: [5, 0, 0, 0]
-1.500000	-42.448980										error: T SSCS does not start with ±1: [4, 0, 0, 0]
-1.500000	-41.938776										error: T SSCS does not start with ±1: [4, 0, 0, 0]
-1.500000	-41.428571										error: T SSCS does not start with ±1: [3, 0, 0, 0]
-1.500000	-40.918367										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.500000	-40.408163										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.500000	-39.897959										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.500000	-39.387755										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.500000	-38.877551										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.500000	-38.367347	-47.152136	0.833707	full	2	89	12	752	1,0,0,0	14,0,0,0	ok
-1.500000	-37.857143	-46.742192	0.833667	continued[1]:5	2	89	10	714	1,0,0,0	-14,0,0,0	ok
-1.500000	-37.346939	-46.305177	0.833835	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.500000	-36.836735	-45.849976	0.834877	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.500000	-36.326531	-45.384548	0.836667	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.500000	-35.816327	-44.913233	0.838920	continued[1]:5	2	89	6	641	1,0,0,0	-13,0,0,0	ok
-1.500000	-35.306122	-44.432992	0.841172	continued[1]:5	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.500000	-34.795918	-47.730767	0.829112	full	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.500000	-34.285714	-47.308440	0.827656	continued[1]:5	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.500000	-33.775510	-46.841977	0.826741	continued[1]:5	1	77	3	572	-1,0,0,0	-12,0,0,0	ok
-1.500000	-33.265306	-46.340900	0.826908	continued[1]:5	1	77	3	572	-1,0,0,0	-12,0,0,0	ok
-1.500000	-32.755102	-45.813700	0.827951	continued[1]:5	1	77	9	681	-1,0,0,0	11,-1,0,0	ok
-1.500000	-32.244898	-45.271150	0.830076	continued[1]:5	1	77	140	12698	-1,0,0,0	11,0,0,1	ok
