delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.908163	-45.000000	-45.935861	0.791297	continued[1]:5	21109409426332507526	727789	1,1,5,15	16,-2,-1,-2	ok
-0.908163	-44.489796	-45.594895	0.790795	continued[1]:5	141920021414695213	7785211340	1,-1,0,11	-16,-1,-16	ok
-0.908163	-43.979592	-45.213627	0.790962	continued[1]:5	62479	10490659899629138549	1,-1,2,-1	-16,-5,0,-15	ok
-0.908163	-43.469388	-45.178476	0.790087	continued[3]:5	16692111539	82998	1,0,-14,-2	15,1,2,-1	ok
-0.908163	-42.959184	-47.009813	0.785111	full	5884	83407	1,0,1,-1	-15,0,1,1	ok
-0.908163	-42.448980	-46.716327	0.783655	continued[1]:5	89	6286288099	1,0,0,0	-15,2,14,-1	ok
-0.908163	-41.938776	-46.377356	0.782819	continued[1]:5	9590	4288028	-1,0,0,1	14,-14,-4,-1	ok
-0.908163	-41.428571	-45.994261	0.782652	continued[1]:5	464	3586579137	-1,0,0,-1	14,-1,13,-1	ok
-0.908163	-40.918367	-45.570669	0.783360	continued[1]:5	2168402	16696679664	-1,0,-2,-2	-14,0,-14,-2	ok
-0.908163	-40.408163	-45.600038	0.782196	continued[3]:5	1032083921223735077	1035940049830513989	-1,0,-13,12	-14,-13,0,-13	ok
-0.908163	-39.897959	-47.593191	0.777629	full	48600162327752	123727	-1,0,13,-6	13,13,1	ok
-0.908163	-39.387755	-47.280039	0.774835	continued[1]:5	2703881952	2849181302	-1,-1,-13,-1	13,3,-13,-1	ok
-0.908163	-38.877551	-46.915543	0.773999	continued[1]:5	3270402	9248883996	-1,-1,-5,-1	-13,-1,-5,3	ok
-0.908163	-38.367347	-46.504213	0.774166	continued[1]:5	299412216148756655	1140379766318274353	-1,-1,1,-12	-13,-8,2,-13	ok
-0.908163	-37.857143	-46.048562	0.775081	continued[1]:5	1007356470022755719	1420631531	-1,1,12,12	-13,12,12	ok
-0.908163	-37.346939	-45.552427	0.776872	continued[1]:5	498990010554	20005900411	-1,2,-12,-4	12,12,-12,2	ok
-0.908163	-36.836735	-45.661432	0.775335	continued[2]:5	210968604445698329	541155627	-1,-5,-7,11	12,-12,-11	ok
-0.908163	-36.326531	-45.650648	0.774459	continued[3]:5	137520058369471127	1019374105	-1,-11,-11,-11	-12,11,-12	ok
-0.908163	-35.816327	-48.313446	0.769670	full	282753768330764775	1019374105	-1,11,-12,11	-12,11,-12	ok
-0.908163	-35.306122	-48.020477	0.766876	continued[1]:5	519515760779689445	533461272886383283	-1,11,11,-12	-12,11,-12,-12	ok
-0.908163	-34.795918	-47.654049	0.764083	continued[1]:5	274761540684197919	274761556251461169	-1,11,11,11	11,11,11,11	ok
