delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-45.000000										error: T SSCS does not start with ±1: [-2, -2, -1, -1]
-1.500000	-44.489796										error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.500000	-43.979592										error: T SSCS does not start with ±1: [-5, -2, -2, -2]
-1.500000	-43.469388										error: T SSCS does not start with ±1: [-6, -1, -1, 0]
-1.500000	-42.959184										error: T SSCS does not start with ±1: [5, 0, 0, 0]
-1.500000	-42.448980										error: T SSCS does not start with ±1: [4, 0, 0, 0]
-1.500000	-41.938776										error: T SSCS does not start with ±1: [4, 0, 0, 0]
-1.500000	-41.428571										error: T SSCS does not start with ±1: [3, 0, 0, 0]
-1.500000	-40.918367										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.500000	-40.408163										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.500000	-39.897959										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.500000	-39.387755										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.500000	-38.877551										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.500000	-38.367347	-47.152136	0.833707	full	2	89	12	752	1,0,0,0	14,0,0,0	ok
-1.500000	-37.857143	-47.238131	0.833758	full	2	89	10	714	1,0,0,0	-14,0,0,0	ok
-1.500000	-37.346939	-47.322881	0.833645	full	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.500000	-36.836735	-47.406475	0.833357	full	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.500000	-36.326531	-47.488994	0.832880	full	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.500000	-35.816327	-47.570508	0.832147	full	2	89	6	641	1,0,0,0	-13,0,0,0	ok
-1.500000	-35.306122	-47.651080	0.830649	full	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.500000	-34.795918	-47.730767	0.829112	full	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.500000	-34.285714	-47.809620	0.827584	full	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.500000	-33.775510	-47.887687	0.826068	full	1	77	3	572	-1,0,0,0	-12,0,0,0	ok
-1.500000	-33.265306	-47.965010	0.824814	full	1	77	3	572	-1,0,0,0	-12,0,0,0	ok
-1.500000	-32.755102	-48.041628	0.824411	full	1	77	9	681	-1,0,0,0	11,-1,0,0	ok
-1.500000	-32.244898	-48.117578	0.823998	full	1	77	131	12698	-1,0,0,0	11,0,0,1	ok
-1.500000	-31.734694	-48.631378	0.811100	full	2	89	2	539	1,0,0,0	11,0,0,0	ok
-1.500000	-31.224490	-48.703300	0.810646	full	2	89	2	539	1,0,0,0	11,0,0,0	ok
