delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.683673	-45.000000	-47.077473	0.765056	full	17806880556253988504	7332505	1,0,15,-15	15,15,5	ok
-0.683673	-44.489796	-47.183823	0.763581	full	464	155932	-1,0,0,-1	-15,0,-3,-1	ok
-0.683673	-43.979592	-47.288532	0.762102	full	17207610312727389725	6178910838732765247	-1,0,14,-15	-15,2,-1,14	ok
-0.683673	-43.469388	-47.391717	0.760619	full	17505000363921614390	4538043517	-1,0,-15,-15	-15,14,14	ok
-0.683673	-42.959184	-47.493484	0.759133	full	4706585730	3510748647172657778	-1,-1,-14,-1	14,-14,-1,-14	ok
-0.683673	-42.448980	-47.593926	0.757645	full	2277	4344	-1,-1,-1,-1	-14,-1,-1,-1	ok
-0.683673	-41.938776	-47.693128	0.756156	full	5933862693397994354	3413321349	-1,-2,-14,-14	-14,13,-14	ok
-0.683673	-41.428571	-47.791165	0.754663	full	3357459416058930902	3413321349	-1,-3,13,13	-14,13,-14	ok
-0.683673	-40.918367	-47.888119	0.753171	full	3360631847836590035	2592828040	-1,11,13,13	13,13,13	ok
-0.683673	-40.408163	-47.984023	0.751678	full	1862522110322978202	1930099489	-1,-13,-13,-13	13,-13,-13	ok
-0.683673	-39.897959	-48.078948	0.750186	full	1862522110322978202	1930037360	-1,-13,-13,-13	-13,-13,-13	ok
-0.683673	-39.387755	-48.172944	0.748696	full	1862402202891664994	1862522156643875166	-1,12,-13,-13	-13,-13,-13,-13	ok
-0.683673	-38.877551	-48.266050	0.747202	full	1009021255905833795	1420631531	-1,12,12,12	-13,12,12	ok
-0.683673	-38.367347	-48.358326	0.745702	full	1009021255905833795	1420578229	-1,12,12,12	12,12,12	ok
-0.683673	-37.857143	-48.449800	0.744224	full	533508198414997652	533508222173189616	-1,-12,-12,-12	12,-12,-12,-12	ok
-0.683673	-37.346939	-48.540507	0.742737	full	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.683673	-36.836735	-48.630479	0.741253	full	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.683673	-36.326531	-48.719746	0.739759	full	533461250162156120	533508221140224737	-1,11,-12,-12	-12,-12,-12,-12	ok
-0.683673	-35.816327	-48.808334	0.738297	full	274761540684197919	274761556251461169	-1,11,11,11	11,11,11,11	ok
-0.683673	-35.306122	-48.896267	0.736795	full	274761540684197919	274761556251461169	-1,11,11,11	11,11,11,11	ok
-0.683673	-34.795918	-48.983568	0.735403	full	274732999219284452	274761556251461169	-1,-11,11,11	11,11,11,11	ok
-0.683673	-34.285714	-49.070257	0.734050	full	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.683673	-33.775510	-49.156354	0.732684	full	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.683673	-33.265306	-49.241872	0.731305	full	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.683673	-32.755102	-49.326829	0.729913	full	137503074817916327	137520068858324757	-1,10,-11,-11	-11,-11,-11,-11	ok
-0.683673	-32.244898	-49.411238	0.728509	full	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.683673	-31.734694	-49.495111	0.727092	full	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.683673	-31.224490	-49.578461	0.725663	full	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.683673	-30.714286	-49.661297	0.724222	full	31288139504878815	31288144257776695	-1,-10,-10,-10	10,-10,-10,-10	ok
-0.683673	-30.204082	-49.743628	0.722768	full	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.683673	-29.693878	-49.825463	0.721304	full	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.683673	-29.183673	-49.906808	0.719828	full	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.683673	-28.673469	-49.987669	0.718341	full	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.683673	-28.163265	-50.068053	0.716843	full	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.683673	-27.653061	-50.147964	0.715336	full	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.683673	-27.142857	-50.227406	0.713818	full	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.683673	-26.632653	-50.306383	0.712292	full	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.683673	-26.122449	-50.384896	0.710756	full	6127216826882384	6127218708778185	-1,-9,-9,-9	9,-9,-9,-9	ok
-0.683673	-25.612245	-50.462950	0.709213	full	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.683673	-25.102041	-50.540545	0.707661	full	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.683673	-24.591837	-50.617683	0.706208	full	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.683673	-24.081633	-50.694364	0.704683	full	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.683673	-23.571429	-50.770590	0.703284	full	6125569946746277	6127218598078424	-1,8,-9,-9	-9,-9,-9,-9	ok
-0.683673	-23.061224	-50.846361	0.701858	full	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.683673	-22.551020	-50.921676	0.700393	full	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.683673	-22.040816	-50.996536	0.698978	full	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.683673	-21.530612	-51.070939	0.697580	full	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.683673	-21.020408	-51.144885	0.696158	full	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.683673	-20.510204	-51.218373	0.694719	full	998766650140877	998767320547562	-1,-8,-8,-8	8,-8,-8,-8	ok
-0.683673	-20.000000	-51.291403	0.693315	full	998766650140877	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
