category_id	count	encoding	sequence
1	175	77	-1,0,0,0
2	174	89	1,0,0,0
3	9	275	-1,0,-1,0
4	7	298	1,0,-1,0
5	17	463	1,-1,-1,0
6	22	464	-1,0,0,-1
7	17	494	1,0,0,-1
8	9	1127	-1,0,1,0
9	3	1174	1,0,1,0
10	2	1652	-1,0,-1,-1
11	9	1709	1,0,-1,-1
12	8	2277	-1,-1,-1,-1
13	6	2344	1,-1,-1,-1
14	1	4094	-1,-2,-1,-1
15	3	4184	1,-2,-1,-1
16	7	4370	-1,0,-2,0
17	2	4463	1,0,-2,0
18	1	5776	1,-1,-2,0
19	3	5777	-1,0,1,-1
20	4	5884	1,0,1,-1
21	4	7501	1,-1,1,-1
22	13	9590	-1,0,0,1
23	2	9728	1,0,0,1
24	6	12088	1,-1,0,1
25	1	15050	-1,0,2,0
26	2	18719	1,0,-2,-1
27	2	27026	1,1,-2,-1
28	2	27493	1,0,-1,1
29	1	32129	1,-2,-2,-1
30	2	32384	-1,-1,-1,1
31	1	45752	-1,0,-3,0
32	2	53627	-1,0,2,-1
33	1	62479	1,-1,2,-1
34	4	72389	-1,0,1,1
35	1	72769	1,0,1,1
36	1	83434	1,-1,1,1
37	2	95264	1,1,1,1
38	1	179099	1,0,-2,1
39	1	198763	1,-2,-3,-1
40	1	199395	-1,-1,-2,1
41	1	222110	-1,1,-2,1
42	3	248864	-1,0,0,-2
43	3	249569	1,0,0,-2
44	9	276394	1,-1,0,-2
45	1	306934	1,0,-4,0
46	3	409964	-1,0,2,1
47	1	410869	1,0,2,1
48	1	448877	-1,-1,2,1
49	1	449824	1,-1,2,1
50	1	538202	-1,0,-1,-2
51	1	882455	-1,0,-3,1
52	1	1024595	-1,1,-3,1
53	1	1792670	-1,0,3,1
54	1	1794563	1,0,3,1
55	1	2168402	-1,0,-2,-2
56	1	2305876	1,-1,-2,-2
57	1	2593502	-1,-2,-2,-2
58	1	3270402	-1,-1,-5,-1
59	1	3459764	-1,0,-4,1
60	3	4068377	-1,0,2,-2
61	1	4285127	-1,-1,2,-2
62	1	4747819	1,-2,2,-2
63	6	5000702	-1,0,0,2
64	1	5003864	1,0,0,2
65	1	5256901	1,-1,0,2
66	1	8775953	1,0,-1,2
67	1	11773377	-1,-1,-5,1
68	1	14924914	1,0,1,2
69	1	15492960	-1,-1,1,2
70	1	16695529	1,-2,1,2
71	2	24671798	1,0,-2,2
72	1	27235889	-1,-2,-2,2
73	1	31019625	-1,-1,-7,-1
74	1	35175077	-1,0,4,-2
75	1	37389626	1,1,4,-2
76	2	39725240	-1,0,2,2
77	1	42140789	-1,1,2,2
78	1	47360777	-1,0,-8,0
79	1	48742999	1,0,7,-1
80	4	71251952	-1,0,0,-3
81	1	73114276	1,-1,0,-3
82	1	100784501	1,1,3,2
83	1	108169985	-1,0,-1,-3
84	3	115938377	-1,0,-9,0
85	1	126922277	-1,-1,7,1
86	1	161235902	-1,0,1,-3
87	1	161253859	1,0,1,-3
88	1	164647730	-1,-1,1,-3
89	1	164665876	1,-1,1,-3
90	1	168131951	1,1,1,-3
91	1	194094251	1,1,-8,1
92	5	259771820	-1,0,-10,0
93	1	352862894	-1,1,2,-3
94	1	384545777	-1,0,-10,-1
95	1	391090527	-1,-1,-10,-1
96	3	541155650	-1,0,-11,0
97	2	549643589	-1,0,10,-1
98	1	566918627	-1,0,9,1
99	4	741336764	-1,0,0,3
100	1	773916152	-1,0,-11,-1
101	1	796184558	1,1,-11,-1
102	1	796224464	-1,0,-10,1
103	1	818930684	-1,1,-10,1
104	1	1019374127	-1,0,-1,3
105	1	1033010329	1,-1,-1,3
106	1	1060600594	1,-2,-1,3
107	4	1060692710	-1,0,-12,0
108	1	1074740702	-1,0,11,-1
109	1	1147085252	-1,0,-9,-2
110	2	1176925385	-1,1,-9,-2
111	1	1286183120	-1,-3,-7,2
112	1	1386195529	1,0,1,3
113	1	1403254775	-1,-1,1,3
114	1	1455813818	1,0,12,0
115	1	1473566327	-1,0,-12,-1
116	1	1491481035	-1,-1,-12,-1
117	1	1509668825	-1,0,-11,1
118	1	1527911559	-1,-1,-11,1
119	3	1565061377	-1,0,9,-2
120	1	1908167975	-1,1,-2,3
121	1	1974275702	-1,0,-13,0
122	1	2111362652	-1,0,-10,-2
123	1	2206638527	-1,0,-8,2
124	2	2675863589	-1,0,-13,-1
125	1	2703881952	-1,-1,-13,-1
126	1	2732268002	-1,0,-12,1
127	1	2789410085	-1,1,-12,1
128	1	2906688133	1,-2,10,-2
129	1	2936729840	-1,0,8,2
130	1	3515201627	-1,0,-14,0
131	1	3549663152	-1,0,13,-1
132	1	3584292776	1,1,-14,0
133	1	3654483777	-1,-1,12,1
134	2	3797866280	-1,1,-11,-2
135	1	3834296234	-1,-2,-11,-2
136	1	4333572252	-1,-1,3,3
137	1	4333665349	1,-1,3,3
138	1	4664089652	-1,0,-14,-1
139	1	4706585730	-1,-1,-14,-1
140	2	4836017030	-1,1,-13,1
141	2	5148638549	-1,1,9,2
142	2	5920297703	1,0,0,-4
143	2	6022476373	1,0,-15,0
144	2	6073948651	1,-1,-15,0
145	1	6663254519	-1,1,-10,2
146	1	6774654600	-1,2,-10,2
147	1	7781717879	1,0,15,0
148	1	7844094377	-1,0,-15,-1
149	1	7844219629	1,0,-15,-1
150	1	8033731902	-1,-1,-14,1
151	1	8033858659	1,-1,-14,1
152	1	8827550626	1,-1,-8,-3
153	1	9678648014	-1,0,1,-4
154	1	9752108652	-1,-1,1,-4
155	2	10050996869	1,0,15,-1
156	1	10126423826	1,1,-16,0
157	4	10126566139	1,-1,15,-1
158	1	10202704127	-1,0,14,1
159	1	10433695739	-1,0,-13,-2
160	1	10589563214	-1,1,-13,-2
161	1	13617037877	-1,0,11,2
162	1	13711928400	-1,-1,11,2
163	1	15509743624	1,-1,2,-4
164	1	15614183969	-1,1,2,-4
165	2	16691928827	-1,0,-14,-2
166	1	16692111539	1,0,-14,-2
167	1	16802469585	-1,-1,-14,-2
168	1	17025199127	-1,-2,-14,-2
169	1	17138132090	-1,0,-12,2
170	1	20906546402	-1,0,14,-2
171	1	22244994200	-1,-1,-10,-3
172	1	22519831424	-1,-2,-10,-3
173	1	26026781627	-1,0,-15,-2
174	1	26805733110	-1,-1,-13,2
175	1	27441802127	-1,0,10,-3
176	1	30790576089	-1,-4,-4,-4
177	1	32760448433	1,-2,15,-2
178	1	33128538309	-1,-1,13,2
179	1	40509253202	-1,0,-14,2
180	1	46388600119	1,0,-1,4
181	1	55284276420	-1,2,5,-4
182	1	60331047928	1,0,-15,2
183	1	90527039759	-1,-1,13,-3
184	1	108174121277	-1,0,-14,-3
185	1	108622973655	-1,-1,-14,-3
186	1	110891064452	-1,0,-11,3
187	1	132410439527	-1,0,11,3
188	1	158108357945	-1,-1,-12,3
189	2	220534660514	-1,0,-13,3
190	1	222837870254	-1,-2,-13,3
191	1	308606855634	-1,2,-14,3
192	1	498990010554	-1,2,-12,-4
193	1	514702014309	-1,-4,-8,4
194	1	801929437829	-1,-2,-5,-5
195	1	903139104230	-1,2,-10,4
196	1	936654105014	1,0,0,5
197	1	2050473490659	-1,-1,3,5
198	2	2565698035910	-1,0,9,-5
199	1	2851765143320	-1,-1,14,4
200	1	8103136283550	-1,2,9,5
201	1	9043921566689	-1,4,-10,5
202	1	11110796649230	-1,-5,-11,5
203	1	14995470265399	1,0,-7,-6
204	1	18491272081127	-1,-2,-2,6
205	1	23796420623145	-1,-1,-15,5
206	1	26575443603344	-1,4,-10,-6
207	1	48600162327752	-1,0,13,-6
