delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.846939	-45.000000	-46.721992	0.783961	full	32267369257828614064	1849895	1,1,-3,-16	-16,0,3,1	ok
-0.846939	-44.489796	-46.448998	0.782505	continued[1]:5	2344	24059	1,-1,-1,-1	-16,-2,0,1	ok
-0.846939	-43.979592	-46.130019	0.781463	continued[1]:5	6073948651	58281	1,-1,-15,0	15,-8,-1,-1	ok
-0.846939	-43.469388	-45.768297	0.781296	continued[1]:5	4463	71586566	1,0,-2,0	-15,0,0,-3	ok
-0.846939	-42.959184	-45.364557	0.781797	continued[1]:5	77	2677765942	-1,0,0,0	-15,1,-14	ok
-0.846939	-42.448980	-47.240500	0.776503	full	464	3480908175	-1,0,0,-1	14,14,-14	ok
-0.846939	-41.938776	-46.951614	0.775047	continued[1]:5	248864	3506314058470931147	-1,0,0,-2	14,2,-1,-14	ok
-0.846939	-41.428571	-46.614981	0.774211	continued[1]:5	5817770593025677685	5933004988786411719	-1,0,13,-14	-14,0,-14,-14	ok
-0.846939	-40.918367	-46.232966	0.774172	continued[1]:5	5933004899224016264	4663997046549	-1,0,-14,-14	-14,4,-12,-5	ok
-0.846939	-40.408163	-45.807607	0.774880	continued[1]:5	1902165936562674684	2592828040	-1,-1,13,-13	13,13,13	ok
-0.846939	-39.897959	-47.723721	0.769790	full	1112094932611536720	5000677	-1,-1,-2,-13	13,-13,1,-2	ok
-0.846939	-39.387755	-47.422054	0.767665	continued[1]:5	1314553183082540345	10671655346	-1,1,5,-13	-13,-2,-13,-2	ok
-0.846939	-38.877551	-47.069467	0.766957	continued[1]:5	1859885483991227252	1032546113012654225	-1,-2,-13,-13	-13,3,-13,12	ok
-0.846939	-38.367347	-46.667383	0.766997	continued[1]:5	1007583364885411085	1420631531	-1,-3,12,12	-13,12,12	ok
-0.846939	-37.857143	-46.218234	0.767833	continued[1]:5	1008642714419822715	1420578229	-1,-10,12,12	12,12,12	ok
-0.846939	-37.346939	-45.726421	0.769623	continued[1]:5	547733514896167635	1046737111	-1,11,12,-12	12,12,-12	ok
-0.846939	-36.836735	-48.270495	0.763432	full	533508198414997652	1033010307	-1,-12,-12,-12	12,-12,-12	ok
-0.846939	-36.326531	-47.976758	0.760639	continued[1]:5	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.846939	-35.816327	-47.611041	0.758180	continued[1]:5	533461250162156120	533461272886383283	-1,11,-12,-12	-12,11,-12,-12	ok
-0.846939	-35.306122	-47.191018	0.758347	continued[1]:5	274761540684197919	274761556992759430	-1,11,11,11	-12,11,11,11	ok
-0.846939	-34.795918	-46.719559	0.759390	continued[1]:5	274761540684197919	274761556251461169	-1,11,11,11	11,11,11,11	ok
-0.846939	-34.285714	-46.200288	0.761307	continued[1]:5	274732999219284452	274761556251461169	-1,-11,11,11	11,11,11,11	ok
-0.846939	-33.775510	-49.194183	0.744990	full	137520058893913799	137520069382767449	1,-11,-11,-11	11,-11,-11,-11	ok
