delta_x	delta_ca	fast_success	gold_success	fast_mode	gold_mode	fast_s_pre	fast_s_img	fast_return_solves	fast_elapsed	gold_s_pre	gold_s_img	gold_return_solves	gold_elapsed	gamma_scs	fast_T_scs	gold_T_scs	match
-0.96	-43.95	true	true	fallback_global	fallback_global	0.09353145705037827	0.015116326443267514	124	62.541513584	0.09353145705037827	0.015116326443267514	124	62.541513584	-16,-1,0,1,-1,0	0,0,2,-3,-1,0	0,0,2,-3,-1,0	true
-1.02	-43.95	true	true	fallback_global	fallback_global	0.10902554316404826	0.0111364955560503	124	44.892546292	0.10902554316404826	0.0111364955560503	124	44.892546292	-16,0,1,-1,1	0,0,0,0,0,0,-15,-1	0,0,0,0,0,0,-15,-1	true
-1.08	-43.95	true	true	fallback_local	fallback_global	0.12451962927771826	0.012304930389344151	13	0.1421745	0.12465975139053993	0.011903830038290287	124	9.494349291	16,-1,-1,-1,0,-1	0,0,0,0,0,0,0,0,-1,-1,-1,1	0,0,0,-1,-1,0,-1	false
-1.14	-43.95	true	true	fallback_local	fallback_global	0.14582399768401444	0.0025559735596700924	13	0.221336583	0.14038884602655546	0.016399743229072925	124	9.111478334	16,-2,0,-2,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1	false
-1.2	-43.95	true	true	fallback_local	fallback_global	0.15913922793794963	0.016945641224791155	13	0.092024708	0.16414607443929363	0.00547721683660657	124	10.481745375	-17,-1,-1,-1,0,-1,-1	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	false
-1.26	-43.95	true	true	fallback_local	fallback_global	0.1874340922275619	0.0014910358827521161	13	0.11568575	0.188	0.0003520256111696458	124	54.953189834	-17,0,-1,-1,-1,-1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.32	-43.95	true	true	fallback_local	fallback_global	0.20511838240856958	0.012098121215682003	13	0.120885417	0.204	0.01417776201400264	124	29.101842375	17,-1,-1,0,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	false
-1.38	-43.95	true	true	fallback_local	fallback_global	0.23606589022533295	0.0020974779431613055	13	0.084812167	0.236	0.0022047680731072084	124	6.528526709	-18,1,-1,-1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.44	-43.95	true	true	fallback_local	fallback_global	0.25540808261081016	0.01439198667407642	13	0.1009875	0.26	0.007512756287233734	124	45.048556667	-18,-1,-1,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.5	-43.95	false	false	failed	failed	NaN	NaN	150	4.889778458	NaN	NaN	121	4.999567583	-18,-1,-2,-2,-1			true
-0.96	-43.114444444444445	true	true	fallback_global	fallback_global	0.0936176680472358	0.0005586147001223029	124	62.815510917	0.0936176680472358	0.0005586147001223029	124	62.815510917	15,-1,-1,4	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.02	-43.114444444444445	true	true	fallback_global	fallback_global	0.108	0.001770639312645597	124	44.920570958	0.108	0.001770639312645597	124	44.920570958	15,2,-1,0,-1	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	true
-1.08	-43.114444444444445	true	true	fallback_local	fallback_global	0.1223823319527642	0.007907681262527309	13	0.075867875	0.12451135341500193	0.0011771372362622116	124	9.283029292	-16,1,2,0	0,0,0,0,0,1,-1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.14	-43.114444444444445	true	true	fallback_local	fallback_global	0.14215803838781493	0.002494985219886761	13	50.342381833	0.14104504234500786	0.005640337064178876	124	9.141796583	-16,0,1,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	false
-1.2	-43.114444444444445	true	true	fallback_local	fallback_global	0.16193374482286574	0.0030032715142063304	13	0.175666291	0.1568462466174266	0.016051075262133896	124	10.417354041	16,0,-1,-1,-2	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0	false
-1.26	-43.114444444444445	true	true	fallback_local	fallback_global	0.18170945125791654	0.008143250685312306	13	0.485007041	0.18056489607877235	0.010787459410891088	124	55.000823375	16,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	false
