category_id	count	encoding	sequence
1	20	641	-13,0,0,0
2	17	677	13,0,0,0
3	6	714	-14,0,0,0
4	13	752	14,0,0,0
5	14	835	13,-1,0,0
6	7	1055	13,1,0,0
7	1	1101	-14,1,0,0
8	3	1150	13,0,-1,0
9	7	1352	13,-2,0,0
10	6	1404	-14,-2,0,0
11	2	1459	13,-1,-1,0
12	5	1514	13,0,0,-1
13	5	1625	14,0,0,-1
14	3	1744	13,2,0,0
15	1	1803	-14,2,0,0
16	1	1863	14,2,0,0
17	5	1865	13,1,-1,0
18	1	1926	-14,1,-1,0
19	2	2252	13,-3,0,0
20	2	2319	-14,-3,0,0
21	3	2389	13,-2,-1,0
22	3	2459	13,1,0,-1
23	2	2529	-14,1,0,-1
24	13	2531	-13,0,1,0
25	9	2602	13,0,1,0
26	1	2674	-14,0,1,0
27	2	2900	13,3,0,0
28	3	2978	-13,2,-1,0
29	1	3055	13,2,-1,0
30	2	3134	13,-2,0,-1
31	5	3295	13,-1,1,0
32	2	3376	-14,-1,1,0
33	3	3715	13,-4,0,0
34	1	3801	-14,-4,0,0
35	3	3890	13,-3,-1,0
36	1	3979	13,2,0,-1
37	6	4160	13,1,1,0
38	2	4251	-14,1,1,0
39	212	4253	-13,0,0,0,0
40	1365	4345	13,0,0,0,0
41	155	4438	-14,0,0,0,0
42	2517	4532	14,0,0,0,0
43	133	4627	-15,0,0,0,0
44	4	4723	15,0,0,0,0
45	3	4727	13,4,0,0
46	1	4826	-13,3,-1,0
47	1	5024	13,-3,0,-1
48	1	5126	-13,-2,1,0
49	2	5227	13,-2,1,0
50	1	5329	-14,-2,1,0
51	6	5330	13,1,-1,-1
52	183	5434	13,-1,0,0,0
53	26	5538	-14,-1,0,0,0
54	63	5643	14,-1,0,0,0
55	2	6302	13,3,0,-1
56	4	6529	13,2,1,0
57	1	6644	13,-2,-1,-1
58	212	6760	13,1,0,0,0
59	57	6876	-14,1,0,0,0
60	1	6878	-13,0,-2,0
61	38	6993	14,1,0,0,0
62	5	6995	13,0,-2,0
63	12	7111	-15,1,0,0,0
64	3	7477	13,5,0,0
65	2	7601	-13,4,-1,0
66	1	7724	13,4,-1,0
67	3	8230	13,2,-1,-1
68	55	8359	13,-2,0,0,0
69	9	8488	-14,-2,0,0,0
70	1	8618	14,-2,0,0,0
71	2	8620	13,-1,-2,0
72	1	8749	-15,-2,0,0,0
73	1	8884	-14,0,1,-1
74	2	9290	13,-6,0,0
75	1	9565	13,-5,-1,0
76	2	9985	13,3,1,0
77	1	10127	13,-3,-1,-1
78	35	10270	13,2,0,0,0
79	12	10413	-14,2,0,0,0
80	2	10415	-13,1,-2,0
81	1	10557	14,2,0,0,0
82	4	10559	13,1,-2,0
83	1	10702	-15,2,0,0,0
84	1	10704	-14,1,-2,0
85	20	10706	-13,0,-1,0,0
86	152	10852	13,0,-1,0,0
87	10	10999	-14,0,-1,0,0
88	59	11147	14,0,-1,0,0
89	4	11450	13,6,0,0
90	1	12063	-14,-5,0,-1
91	19	12535	13,-3,0,0,0
92	6	12693	-14,-3,0,0,0
93	1	12854	13,-2,-2,0
