delta_x	delta_ca	gamma_category_id	gamma_encoding	gamma_scs	status
-1.500000	-39.989980	44	4723	15,0,0,0,0	ok
-1.497996	-39.989980	44	4723	15,0,0,0,0	ok
-1.495992	-39.989980	44	4723	15,0,0,0,0	ok
-1.493988	-39.989980	44	4723	15,0,0,0,0	ok
-1.491984	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.489980	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.487976	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.485972	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.483968	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.481964	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.479960	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.477956	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.475952	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.473948	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.471944	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.469940	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.467936	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.465932	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.463928	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.461924	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.459920	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.457916	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.455912	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.453908	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.451904	-39.989980	874	2664557	-15,0,0,0,0,0	ok
-1.449900	-39.989980	43	4627	-15,0,0,0,0	ok
-1.447896	-39.989980	43	4627	-15,0,0,0,0	ok
-1.445892	-39.989980	43	4627	-15,0,0,0,0	ok
-1.443888	-39.989980	43	4627	-15,0,0,0,0	ok
-1.441884	-39.989980	43	4627	-15,0,0,0,0	ok
-1.439880	-39.989980	43	4627	-15,0,0,0,0	ok
-1.437876	-39.989980	43	4627	-15,0,0,0,0	ok
-1.435872	-39.989980	43	4627	-15,0,0,0,0	ok
-1.433868	-39.989980	43	4627	-15,0,0,0,0	ok
-1.431864	-39.989980	43	4627	-15,0,0,0,0	ok
-1.429860	-39.989980	43	4627	-15,0,0,0,0	ok
-1.427856	-39.989980	43	4627	-15,0,0,0,0	ok
-1.425852	-39.989980	43	4627	-15,0,0,0,0	ok
-1.423848	-39.989980	43	4627	-15,0,0,0,0	ok
-1.421844	-39.989980	43	4627	-15,0,0,0,0	ok
-1.419840	-39.989980	43	4627	-15,0,0,0,0	ok
-1.417836	-39.989980	43	4627	-15,0,0,0,0	ok
-1.415832	-39.989980	43	4627	-15,0,0,0,0	ok
-1.413828	-39.989980	43	4627	-15,0,0,0,0	ok
-1.411824	-39.989980	43	4627	-15,0,0,0,0	ok
-1.409820	-39.989980	1817	731779867	-15,0,-1,0,-1,0	ok
-1.407816	-39.989980	155	28891	-15,0,1,0,0	ok
-1.405812	-39.989980	979	5086426	-15,-1,-1,0,0,0	ok
-1.403808	-39.989980	888	2821471	-15,-1,0,0,0,0	ok
-1.401804	-39.989980	888	2821471	-15,-1,0,0,0,0	ok
-1.399800	-39.989980	888	2821471	-15,-1,0,0,0,0	ok
-1.397796	-39.989980	63	7111	-15,1,0,0,0	ok
-1.395792	-39.989980	63	7111	-15,1,0,0,0	ok
-1.393788	-39.989980	83	10702	-15,2,0,0,0	ok
-1.391784	-39.989980	70	8618	14,-2,0,0,0	ok
-1.389780	-39.989980	61	6993	14,1,0,0,0	ok
-1.387776	-39.989980	61	6993	14,1,0,0,0	ok
-1.385772	-39.989980	61	6993	14,1,0,0,0	ok
-1.383768	-39.989980	61	6993	14,1,0,0,0	ok
-1.381764	-39.989980	61	6993	14,1,0,0,0	ok
-1.379760	-39.989980	61	6993	14,1,0,0,0	ok
-1.377756	-39.989980	61	6993	14,1,0,0,0	ok
-1.375752	-39.989980	61	6993	14,1,0,0,0	ok
-1.373747	-39.989980	887	2819097	14,-1,0,0,0,0	ok
-1.371743	-39.989980	887	2819097	14,-1,0,0,0,0	ok
-1.369739	-39.989980	887	2819097	14,-1,0,0,0,0	ok
-1.367735	-39.989980	54	5643	14,-1,0,0,0	ok
-1.365731	-39.989980	54	5643	14,-1,0,0,0	ok
-1.363727	-39.989980	54	5643	14,-1,0,0,0	ok
-1.361723	-39.989980	54	5643	14,-1,0,0,0	ok
-1.359719	-39.989980	54	5643	14,-1,0,0,0	ok
-1.357715	-39.989980	54	5643	14,-1,0,0,0	ok
-1.355711	-39.989980	54	5643	14,-1,0,0,0	ok
-1.353707	-39.989980	54	5643	14,-1,0,0,0	ok
-1.351703	-39.989980	54	5643	14,-1,0,0,0	ok
-1.349699	-39.989980	54	5643	14,-1,0,0,0	ok
-1.347695	-39.989980	352	121743	14,-1,0,0,-1	ok
-1.345691	-39.989980	1690	372358377	14,-1,0,-1,1	ok
-1.343687	-39.989980	1279	28361718	14,-1,0,-1,0,0	ok
-1.341683	-39.989980	2247	2622219543	14,-1,0,1,1	ok
-1.339679	-39.989980	1429	71562638	14,-1,-1,0,1	ok
-1.337675	-39.989980	978	5083238	14,-1,-1,0,0,0	ok
-1.335671	-39.989980	978	5083238	14,-1,-1,0,0,0	ok
-1.333667	-39.989980	170	33642	14,-1,1,0,0	ok
-1.331663	-39.989980	170	33642	14,-1,1,0,0	ok
-1.329659	-39.989980	866	2507652	14,-1,1,1,0	ok
-1.327655	-39.989980	1045	7436268	14,-1,3,0,-1	ok
-1.325651	-39.989980	711	990500	14,0,2,-1,0	ok
-1.323647	-39.989980	127	20072	14,0,2,0	ok
-1.321643	-39.989980	725	1066502	14,0,-2,0,-1	ok
-1.319639	-39.989980	286	83000	14,0,1,1	ok
-1.317635	-39.989980	1482	106062302	14,0,1,0,1	ok
-1.315631	-39.989980	154	28652	14,0,1,0,0	ok
-1.313627	-39.989980	154	28652	14,0,1,0,0	ok
-1.311623	-39.989980	154	28652	14,0,1,0,0	ok
-1.309619	-39.989980	154	28652	14,0,1,0,0	ok
-1.307615	-39.989980	154	28652	14,0,1,0,0	ok
-1.305611	-39.989980	154	28652	14,0,1,0,0	ok
-1.303607	-39.989980	154	28652	14,0,1,0,0	ok
-1.301603	-39.989980	154	28652	14,0,1,0,0	ok
-1.299599	-39.989980	154	28652	14,0,1,0,0	ok
-1.297595	-39.989980	154	28652	14,0,1,0,0	ok
-1.295591	-39.989980	154	28652	14,0,1,0,0	ok
-1.293587	-39.989980	154	28652	14,0,1,0,0	ok
-1.291583	-39.989980	154	28652	14,0,1,0,0	ok
-1.289579	-39.989980	965	4837577	14,0,-1,0,0,0	ok
-1.287575	-39.989980	965	4837577	14,0,-1,0,0,0	ok
-1.285571	-39.989980	88	11147	14,0,-1,0,0	ok
-1.283567	-39.989980	88	11147	14,0,-1,0,0	ok
