category_id	count	encoding	sequence
1	4	2413	1,0,0,0,0
2	1	22789	1,0,1,0,0
3	1	62833	1,0,-2,0,0
4	1	373678	1,0,-3,0,0
5	2	586985	-1,0,0,1,0
6	2	588068	1,0,0,1,0
7	3	952889	-1,0,2,-1,0
8	1	1027459	1,-1,2,-1,0
9	1	1911989	-1,0,-3,-1,0
10	4	2305877	-1,0,1,1,0
11	41	2600339	-1,0,0,0,0,0
12	367	2602619	1,0,0,0,0,0
13	1	3654455	-1,0,3,-1,0
14	4	4753985	-1,0,-1,0,0,0
15	1	4757068	1,0,-1,0,0,0
16	3	7677320	-1,0,2,1,0
17	2	11778230	-1,0,4,-1,0
18	1	20037614	-1,0,-5,-1,0
19	25	27258035	-1,0,0,-1,0,0
20	3	27265418	1,0,0,-1,0,0
21	1	43426538	1,0,-1,-1,0,0
22	1	44703239	-1,0,0,0,1
23	1	44712694	1,0,0,0,1
24	1	64156127	-1,0,2,-2,0
25	3	67634264	-1,0,1,-1,0,0
26	2	67645894	1,0,1,-1,0,0
27	1	69425435	-1,0,-1,0,1
28	1	82979402	-1,0,6,-1,0
29	1	91564277	-1,0,4,-1,-1
30	1	98427464	-1,0,-3,-2,0
31	4	110714639	-1,0,0,2,0
32	1	110729519	1,0,0,2,0
33	1	148049027	-1,0,3,-2,0
34	1	154536989	-1,0,2,-1,0,0
35	1	164684024	1,0,-1,2,0
36	1	231781214	-1,0,2,0,1
37	2	240846377	-1,0,1,2,0
38	5	250174895	-1,0,0,1,0,0
39	2	250197263	1,0,0,1,0,0
40	1	329051030	-1,0,3,-1,0,0
41	1	359079800	-1,0,-1,1,0,0
42	1	359106598	1,0,-1,1,0,0
43	1	404516345	-1,0,8,-1,0
44	1	411314220	-1,-1,8,-1,0
45	1	492273752	-1,0,2,2,0
46	2	524442690	-1,-1,-1,-1,1
47	5	524475077	-1,0,0,0,-1,0
48	1	524507464	1,0,0,0,-1,0
49	1	640122089	-1,0,5,-2,0
50	15	730709105	-1,0,-1,0,-1,0
51	1	1352286014	-1,0,2,-1,1
52	1	1843914627	-1,-1,-3,-1,1
53	1	1844036083	1,0,2,0,-1,0
54	1	1886668877	-1,0,1,-3,0
55	11	1930099514	-1,0,0,-2,0,0
56	1	1930161644	1,0,0,-2,0,0
57	1	2019205925	-1,0,-12,0,0
58	1	2230953002	-1,0,7,-2,0
59	1	2458933127	-1,0,-3,0,-1,0
60	1	2565679160	-1,0,-1,-2,0,0
61	6	2592900077	-1,0,0,1,1
62	1	3313671935	-1,0,2,-3,0
63	1	3447114994	1,0,0,-1,-1,0
64	2	3654569270	-1,0,-12,-1,0
65	1	4214400335	-1,0,4,-1,1
