delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	T_scs	status
-1.500000	-37.334669	-44.676406	0.839956	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.497996	-37.334669	-45.152460	0.837290	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.495992	-37.334669	-45.623868	0.835372	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.493988	-37.334669	-46.083941	0.833789	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.491984	-37.334669	-46.529375	0.832953	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.489980	-37.334669	-46.952173	0.832579	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.487976	-37.334669	-47.347456	0.832412	full	3374966975014	1,0,0,0,0,0,0	ok
-1.485972	-37.334669	-44.726545	0.838472	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.483968	-37.334669	-45.201665	0.836013	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.481964	-37.334669	-45.669546	0.834095	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.479960	-37.334669	-46.125799	0.832511	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.477956	-37.334669	-46.567031	0.831676	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.475952	-37.334669	-46.985255	0.831508	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.473948	-37.334669	-47.373798	0.830800	full	3374966975014	1,0,0,0,0,0,0	ok
-1.471944	-37.334669	-44.776637	0.837189	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.469940	-37.334669	-45.248485	0.834730	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.467936	-37.334669	-45.712958	0.832812	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.465932	-37.334669	-46.165492	0.831229	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.463928	-37.334669	-46.602623	0.830393	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.461924	-37.334669	-47.016384	0.830226	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.459920	-37.334669	-47.400177	0.829183	full	3374966975014	1,0,0,0,0,0,0	ok
-1.457916	-37.334669	-44.915366	0.835439	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.455912	-37.334669	-45.382722	0.835065	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.453908	-37.334669	-45.820964	0.833275	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.451904	-37.334669	-46.247941	0.831898	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.449900	-37.334669	-46.659166	0.831190	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.447896	-37.334669	-47.047570	0.828938	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.445892	-37.334669	-47.426596	0.827561	full	3374966975014	1,0,0,0,0,0,0	ok
-1.443888	-37.334669	-44.949594	0.834018	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.441884	-37.334669	-45.416120	0.833517	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.439880	-37.334669	-45.854412	0.831599	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.437876	-37.334669	-46.282055	0.830349	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.435872	-37.334669	-46.691932	0.829514	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.433868	-37.334669	-47.079583	0.827723	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.431864	-37.334669	-47.453058	0.825933	full	3374966975014	1,0,0,0,0,0,0	ok
-1.429860	-37.334669	-44.556229	0.836823	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.427856	-37.334669	-45.006673	0.834030	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.425852	-37.334669	-45.452998	0.831571	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.423848	-37.334669	-45.893176	0.829780	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.421844	-37.334669	-46.320462	0.828404	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.419840	-37.334669	-46.730430	0.827695	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.417836	-37.334669	-47.116144	0.826318	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.415832	-37.334669	-47.483355	0.824066	full	3374966975014	1,0,0,0,0,0,0	ok
-1.413828	-37.334669	-44.590100	0.834900	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.411824	-37.334669	-45.043782	0.832107	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.409820	-37.334669	-45.492409	0.829775	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.407816	-37.334669	-45.932624	0.827857	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.405812	-37.334669	-46.360448	0.826608	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.403808	-37.334669	-46.768842	0.825900	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.401804	-37.334669	-47.152313	0.824857	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.399800	-37.334669	-47.513715	0.822192	full	3374966975014	1,0,0,0,0,0,0	ok
-1.397796	-37.334669	-44.620248	0.833018	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.395792	-37.334669	-45.076908	0.830225	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.393788	-37.334669	-45.527575	0.827894	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.391784	-37.334669	-45.968914	0.826103	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.389780	-37.334669	-46.395699	0.824727	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.387776	-37.334669	-46.803583	0.824018	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.385772	-37.334669	-47.185790	0.823103	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.383768	-37.334669	-47.544140	0.820310	full	2602619	1,0,0,0,0,0	ok
-1.381764	-37.334669	-44.648713	0.831129	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.379760	-37.334669	-45.108495	0.828336	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.377756	-37.334669	-45.561310	0.826005	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.375752	-37.334669	-46.003858	0.824214	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.373747	-37.334669	-46.430951	0.822965	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.371743	-37.334669	-46.837083	0.822129	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.369739	-37.334669	-47.218106	0.821214	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.367735	-37.334669	-47.574634	0.818421	full	3374966975014	1,0,0,0,0,0,0	ok
-1.365731	-37.334669	-44.680388	0.829281	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.363727	-37.334669	-45.142480	0.826488	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.361723	-37.334669	-45.596727	0.824236	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.359719	-37.334669	-46.039025	0.822318	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.357715	-37.334669	-46.466394	0.821068	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.355711	-37.334669	-46.871963	0.820360	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.353707	-37.334669	-47.250504	0.819318	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.351703	-37.334669	-47.605198	0.816524	full	3374966975014	1,0,0,0,0,0,0	ok
-1.349699	-37.334669	-44.711185	0.827456	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.347695	-37.334669	-45.175325	0.824663	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.345691	-37.334669	-45.630763	0.822331	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.343687	-37.334669	-46.074223	0.820541	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.341683	-37.334669	-46.500580	0.819164	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.339679	-37.334669	-46.905668	0.818456	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.337675	-37.334669	-47.282986	0.817413	continued:5	3374966975014	1,0,0,0,0,0,0	ok
-1.335671	-37.334669	-47.635835	0.814620	full	3374966975014	1,0,0,0,0,0,0	ok
-1.333667	-37.334669	-44.743488	0.825672	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.331663	-37.334669	-45.209006	0.822878	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.329659	-37.334669	-45.665039	0.820419	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.327655	-37.334669	-46.109632	0.818629	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.325651	-37.334669	-46.536215	0.817380	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.323647	-37.334669	-46.939474	0.816544	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.321643	-37.334669	-47.315552	0.815501	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.319639	-37.334669	-47.666547	0.812708	full	2602619	1,0,0,0,0,0	ok
-1.317635	-37.334669	-44.776167	0.823703	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.315631	-37.334669	-45.245028	0.820910	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.313627	-37.334669	-45.703368	0.818578	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.311623	-37.334669	-46.147952	0.816788	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.309619	-37.334669	-46.573732	0.815539	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.307615	-37.334669	-46.975462	0.814831	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.305611	-37.334669	-47.348205	0.813582	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.303607	-37.334669	-47.697337	0.810788	full	2602619	1,0,0,0,0,0	ok
-1.301603	-37.334669	-44.808751	0.821903	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.299599	-37.334669	-45.278978	0.819110	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.297595	-37.334669	-45.737883	0.816778	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.295591	-37.334669	-46.182241	0.814861	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.293587	-37.334669	-46.608302	0.813611	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.291583	-37.334669	-47.009478	0.812903	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.289579	-37.334669	-47.380945	0.811654	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.287575	-37.334669	-47.728205	0.808861	full	2602619	1,0,0,0,0,0	ok
-1.285571	-37.334669	-44.842277	0.819968	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.283567	-37.334669	-45.315228	0.817174	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.281563	-37.334669	-45.775876	0.814843	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.279559	-37.334669	-46.221030	0.813053	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.277555	-37.334669	-46.645730	0.811804	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.275551	-37.334669	-47.044885	0.811095	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.273547	-37.334669	-47.413774	0.809718	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.271543	-37.334669	-47.759153	0.806925	full	998767365241364	1,0,0,0,0,1	ok
-1.269539	-37.334669	-44.876933	0.818103	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.267535	-37.334669	-45.351622	0.815310	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.265531	-37.334669	-45.813143	0.812978	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.263527	-37.334669	-46.258323	0.811188	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.261523	-37.334669	-46.682249	0.809939	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.259519	-37.334669	-47.079908	0.809231	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.257515	-37.334669	-47.446692	0.807775	continued:5	2600339	-1,0,0,0,0,0	ok
-1.255511	-37.334669	-47.790184	0.804982	full	137520069907210163	1,0,0,0,0,-1,0	ok
-1.253507	-37.334669	-44.915925	0.816279	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.251503	-37.334669	-45.391406	0.813486	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.249499	-37.334669	-45.852977	0.811155	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.247495	-37.334669	-46.297451	0.809365	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.245491	-37.334669	-46.719947	0.808115	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.243487	-37.334669	-47.115531	0.807407	continued:5	10296487298246453339	-1,0,0,0,0,0,-1	ok
-1.241483	-37.334669	-47.479700	0.805824	continued:5	2225840977019921778511029453761420	-1,0,0,0,0,-1,1	ok
-1.239479	-37.334669	-47.821298	0.803030	full	1237453750916167129052210819	1,0,0,0,6,0	ok
-1.237475	-37.334669	-44.947390	0.814369	continued:5	112373853751138262663142170194018953728714	-1,0,0,0,0,0,-2	ok
-1.235471	-37.334669	-45.425246	0.811575	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.233467	-37.334669	-45.888217	0.809323	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.231463	-37.334669	-46.332362	0.807405	continued:5	10296487298246453339	-1,0,0,0,0,0,-1	ok
-1.229459	-37.334669	-46.755033	0.806156	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.227455	-37.334669	-47.149971	0.805448	continued:5	3374964376952	-1,0,0,0,0,0,0	ok
-1.225451	-37.334669	-47.512799	0.803864	continued:5	799324068088228796859285174008166147851522997343228783392265245455045	-1,0,0,0,0,-12	ok
-1.223447	-37.334669	-47.852496	0.801071	full	27265418	1,0,0,-1,0,0	ok
-1.221443	-37.334669	-44.988632	0.812480	continued:5	998767320547577	-1,0,0,0,0,1	ok
-1.219439	-37.334669	-45.467605	0.809687	continued:5	3039778922663841216563903079903746881270240031298827	-1,0,0,0,0,0,2	ok
-1.217435	-37.334669	-45.930890	0.807435	continued:5	712416358613317009502097753123471261670660241319590538602933396710964	-1,0,0,0,0,0,3	ok
-1.215431	-37.334669	-46.374542	0.805644	continued:5	20297195358871142038516932533460322136232007035229808347462418848133727783519603625480875877780737686245912615572076091570	-1,0,0,0,0,0,-9	ok
-1.213427	-37.334669	-46.794702	0.804395	continued:5	11258773708269576884547260622530747778280962702474929815123081627040339	-1,0,0,0,0,12	ok
-1.211423	-37.334669	-47.186607	0.803687	continued:5	738633265950839440739985077	-1,0,0,0,-1,2	ok
-1.209419	-37.334669	-47.545990	0.801897	continued:5	779645306236491784128230142465702594005271014	-1,0,0,0,1,-5	ok
-1.207415	-37.334669	-47.883781	0.799103	full	2305254657676272881444	1,0,0,2,0,-2	ok
-1.205411	-37.334669	-45.028455	0.810633	continued:5	371299112589839	-1,0,0,0,-1,0,0	ok
-1.203407	-37.334669	-45.508128	0.807839	continued:5	137520069382767470	-1,0,0,0,0,-1,0	ok
-1.201403	-37.334669	-45.971351	0.805587	continued:5	14730495215871488720702	-1,0,0,0,0,1,0	ok
-1.199399	-37.334669	-46.414183	0.803797	continued:5	5649433361592826022738224354945745339	-1,0,0,0,0,1,1	ok
-1.197395	-37.334669	-46.832809	0.802547	continued:5	504188449408906894255549443626084281288354050301785080925008370393681225887914708190105565490296865779645004867182901377795538922353068827	-1,0,0,0,0,1,-12	ok
-1.195391	-37.334669	-47.222556	0.801839	continued:5	1862522158573912577	-1,0,0,0,-2,0,0	ok
-1.193387	-37.334669	-47.579273	0.799921	continued:5	3291171000279154214	-1,0,0,-1,-2,0,0	ok
-1.191383	-37.334669	-47.915152	0.797128	full	109476871147305853757354269	1,0,0,12,5	ok
-1.189379	-37.334669	-45.063621	0.808777	continued:5	7220474607823388735562788709695	-1,0,0,0,5,-2	ok
-1.187375	-37.334669	-45.544441	0.805983	continued:5	57432325722862336532418431145107986641189555038915397629653585131845	-1,0,0,0,0,-11,0	ok
-1.185371	-37.334669	-46.007976	0.803524	continued:5	561312336483488107057818152701220702	-1,0,0,0,12,0	ok
-1.183367	-37.334669	-46.452416	0.801941	continued:5	150058479988766892525438107814051470	-1,0,0,0,12	ok
-1.181363	-37.334669	-46.869619	0.800692	continued:5	187869772378322743426607391273632354852144000831135968154082303239	-1,0,0,0,-1,-10,0	ok
-1.179359	-37.334669	-47.257318	0.799856	continued:5	64739712501880207605115997009582358038706421505540	-1,0,0,-1,1,-6	ok
-1.177355	-37.334669	-47.612648	0.797938	continued:5	2653594019510	-1,0,0,1,1,0	ok
-1.175351	-37.334669	-47.946611	0.795144	full	311604871536169697518	1,0,-1,0,-1,0,-1	ok
-1.173347	-37.334669	-45.104787	0.806864	continued:5	307900867604425830077	-1,0,0,0,-1,0,-1	ok
-1.171343	-37.334669	-45.586705	0.804071	continued:5	559605960124426494037248458864	-1,0,0,-1,0,0,1	ok
-1.169339	-37.334669	-46.050502	0.801818	continued:5	27258035	-1,0,0,-1,0,0	ok
-1.167335	-37.334669	-46.492289	0.800028	continued:5	5581480901620820	-1,0,0,1,0,1	ok
-1.165331	-37.334669	-46.908375	0.798779	continued:5	11250902074461741321130248533519973480023015271842995422006142111554845	-1,0,0,0,1,-1,3	ok
-1.163327	-37.334669	-47.294285	0.798071	continued:5	34873219120887883353662903887110235908544096947042854339	-1,0,0,0,1,1,2	ok
-1.161323	-37.334669	-47.646117	0.795946	continued:5	96574468937562014	-1,0,0,-6,0,0,0	ok
-1.159319	-37.334669	-47.978160	0.793153	full	67645894	1,0,1,-1,0,0	ok
-1.157315	-37.334669	-45.145470	0.804992	continued:5	12457053296181464	-1,0,0,-2,0,1	ok
-1.155311	-37.334669	-45.627983	0.802199	continued:5	2305254657608372150114	-1,0,0,2,0,-2	ok
-1.153307	-37.334669	-46.091600	0.799946	continued:5	2026305025146108453031266380	-1,0,0,2,-7	ok
-1.151303	-37.334669	-46.532445	0.798156	continued:5	742658573767577	-1,0,0,-3,0,0,0	ok
-1.149299	-37.334669	-46.946891	0.796907	continued:5	23902909515520070	-1,0,0,-4,-2,0	ok
-1.147295	-37.334669	-47.330561	0.796199	continued:5	4262436454190	-1,0,0,5,0	ok
-1.145291	-37.334669	-47.679680	0.793946	continued:5	3971662740580735235	-1,0,-1,-11,0,-1	ok
-1.143287	-37.334669	-48.009798	0.791153	full	16661937539301619	1,0,2,0,-2,-1	ok
-1.141283	-37.334669	-45.184186	0.803063	continued:5	22295343478360026950271264159321423827	-1,0,0,0,-12,-1,0	ok
-1.139279	-37.334669	-45.668021	0.800269	continued:5	1278330277877923387577	-1,0,0,12,0,1	ok
-1.137275	-37.334669	-46.132073	0.797938	continued:5	55244896693176206714	-1,0,0,12,1,0	ok
-1.135271	-37.334669	-46.573306	0.796148	continued:5	293579642872064555086514	-1,0,0,12,-3,-1	ok
-1.133267	-37.334669	-46.987263	0.795105	continued:5	42135292333704233124002258764110077	-1,0,0,12,11	ok
