delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	T_scs	status
-1.500000	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.497996	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.495992	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.493988	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.491984	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.489980	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.487976	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.485972	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.483968	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.481964	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.479960	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.477956	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.475952	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.473948	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.471944	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.469940	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.467936	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.465932	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.463928	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.461924	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.459920	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.457916	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.455912	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.453908	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.451904	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.449900	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.447896	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.445892	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.443888	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.441884	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.439880	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.437876	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.435872	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.433868	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.431864	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.429860	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.427856	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.425852	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.423848	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.421844	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.419840	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.417836	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.415832	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.413828	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.411824	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.409820	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.407816	-39.989980							error: T SSCS does not start with ±1: [2, 0, 0, 0, 0, 0, 0]
-1.405812	-39.989980	-44.323040	0.840648	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.403808	-39.989980	-44.723966	0.838396	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.401804	-39.989980	-45.117957	0.836271	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.399800	-39.989980	-45.506361	0.834816	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.397796	-39.989980	-45.883280	0.833773	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.395792	-39.989980	-46.245245	0.833065	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.393788	-39.989980	-46.589281	0.835317	full	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.391784	-39.989980	-44.341239	0.839016	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.389780	-39.989980	-44.745707	0.836684	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.387776	-39.989980	-45.143277	0.834766	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.385772	-39.989980	-45.532170	0.833183	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.383768	-39.989980	-45.910322	0.832140	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.381764	-39.989980	-46.272834	0.831432	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.379760	-39.989980	-46.616783	0.833763	full	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.377756	-39.989980	-44.356342	0.837456	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.375752	-39.989980	-44.763721	0.834997	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.373747	-39.989980	-45.164824	0.833079	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.371743	-39.989980	-45.556368	0.831495	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.369739	-39.989980	-45.936364	0.830453	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.367735	-39.989980	-46.299971	0.829745	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.365731	-39.989980	-46.644327	0.832204	full	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.363727	-39.989980	-44.380455	0.835890	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.361723	-39.989980	-44.790004	0.833431	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.359719	-39.989980	-45.192610	0.831513	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.357715	-39.989980	-45.585013	0.829930	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.355711	-39.989980	-45.965239	0.828887	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.353707	-39.989980	-46.328479	0.828179	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.351703	-39.989980	-46.671916	0.830638	full	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.349699	-39.989980	-44.400279	0.834270	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.347695	-39.989980	-44.812958	0.831939	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.345691	-39.989980	-45.216450	0.829814	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.343687	-39.989980	-45.611362	0.828358	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.341683	-39.989980	-45.991974	0.827109	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
