delta_ca	delta_x
-37.585170340681	-1.370741486549
-37.585170340681	-1.366733431816
-37.585170340681	-1.360721468925
-37.585170340681	-1.358717441559
-37.585170340681	-1.354709386826
-37.585170340681	-1.340681314468
-37.585170340681	-1.338677406311
-37.585170340681	-1.336673378944
-37.585170340681	-1.334669351578
-37.585170340681	-1.330661296844
-37.585170340681	-1.328657269478
-37.585170340681	-1.326653361320
-37.585170340681	-1.324649333954
-37.585170340681	-1.322645306587
-37.585170340681	-1.320641279221
-37.585170340681	-1.318637251854
-37.585170340681	-1.314629316330
-37.585170340681	-1.312625288963
-37.585170340681	-1.310621261597
-37.585170340681	-1.308617234230
-37.585170340681	-1.306613206863
-37.585170340681	-1.304609179497
-37.585170340681	-1.302605152130
-37.585170340681	-1.298597216606
-37.585170340681	-1.296593189240
-37.585170340681	-1.294589161873
-37.585170340681	-1.292585134506
-37.585170340681	-1.290581107140
-37.585170340681	-1.288577198982
-37.585170340681	-1.286573171616
-37.585170340681	-1.282565116882
-37.585170340681	-1.280561089516
-37.585170340681	-1.278557062149
-37.585170340681	-1.276553153992
-37.585170340681	-1.274549126625
-37.585170340681	-1.270541071892
-37.585170340681	-1.266533017159
-37.585170340681	-1.264529109001
-37.585170340681	-1.262525081635
-37.585170340681	-1.260521054268
-37.585170340681	-1.258517026901
-37.585170340681	-1.254508972168
-37.585170340681	-1.250501036644
-37.585170340681	-1.248497009277
-37.585170340681	-1.246492981911
-37.585170340681	-1.242484927177
-37.585170340681	-1.240481019020
-37.585170340681	-1.238476991653
-37.585170340681	-1.234468936920
-37.585170340681	-1.232464909554
-37.585170340681	-1.230460882187
-37.585170340681	-1.228456854820
-37.585170340681	-1.226452946663
-37.585170340681	-1.224448919296
-37.585170340681	-1.222444891930
-37.585170340681	-1.220440864563
-37.585170340681	-1.218436837196
-37.585170340681	-1.216432809830
-37.585170340681	-1.214428901672
-37.585170340681	-1.212424874306
-37.585170340681	-1.210420846939
-37.585170340681	-1.208416819572
-37.585170340681	-1.206412792206
-37.585170340681	-1.204408764839
-37.585170340681	-1.202404856682
-37.585170340681	-1.200400829315
-37.585170340681	-1.198396801949
-37.585170340681	-1.196392774582
-37.585170340681	-1.194388747215
-37.585170340681	-1.192384719849
-37.585170340681	-1.190380811691
-37.585170340681	-1.188376784325
-37.585170340681	-1.186372756958
-37.585170340681	-1.184368729591
-37.585170340681	-1.182364702225
-37.585170340681	-1.180360674858
-37.585170340681	-1.178356766701
-37.585170340681	-1.176352739334
-37.585170340681	-1.174348711967
-37.585170340681	-1.172344684601
-37.585170340681	-1.170340657234
-37.585170340681	-1.168336629868
-37.585170340681	-1.166332721710
-37.585170340681	-1.164328694344
-37.585170340681	-1.162324666977
-37.585170340681	-1.160320639610
-37.585170340681	-1.158316612244
-37.585170340681	-1.156312584877
-37.585170340681	-1.154308676720
-37.585170340681	-1.152304649353
-37.585170340681	-1.150300621986
-37.585170340681	-1.148296594620
-37.585170340681	-1.146292567253
-37.585170340681	-1.144288539886
-37.585170340681	-1.142284512520
-37.585170340681	-1.140280604362
-37.585170340681	-1.138276576996
-37.585170340681	-1.136272549629
-37.585170340681	-1.134268522263
-37.585170340681	-1.132264494896
-37.585170340681	-1.130260467529
-37.585170340681	-1.128256559372
-37.585170340681	-1.126252532005
-37.585170340681	-1.124248504639
