delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-24.208417	-49.136300	0.798884	continued:5	84367744433112493279214383724649	250219617	-1,1,7,8,9	9,-8,-8,1	ok
-1.497996	-24.208417	-49.608108	0.798924	full	33295661190030172505	755817	-1,1,8,4,3	9,-8,-2,1	ok
-1.495992	-24.208417	-46.044667	0.807674	continued:5	16922809538680196030	1193243050726957	-1,1,8,9,2	9,-8,1,8	ok
-1.493988	-24.208417	-46.754445	0.804880	continued:5	133024315290178730	1193243050726957	-1,1,8,-9,1	9,-8,1,8	ok
-1.491984	-24.208417	-47.426043	0.802087	continued:5	133024315290178730	3125165072740917	-1,1,8,-9,1	9,-8,-2,-9	ok
-1.489980	-24.208417	-48.056857	0.799628	continued:5	1620244016441001307530	3286254696029587	-1,1,-9,-9,3	9,8,2,-9	ok
-1.487976	-24.208417	-48.640707	0.798044	continued:5	6585754549721167378070240533155	36282403	-1,1,-9,3,-9	9,8,-4,-2	ok
-1.485972	-24.208417	-49.168528	0.797208	continued:5	4422039503566469569104938062725	838687896270513	-1,1,-9,1,-9	9,8,6,-8	ok
-1.483968	-24.208417	-49.635435	0.797041	full	797966068869250059529934881830	2287983859582032	-1,1,-9,-2,8	9,8,7,8	ok
-1.481964	-24.208417	-46.095350	0.805968	continued:5	16992801067870665076606992776834	254962053	-1,-2,2,8,-9	9,8,-8,1	ok
-1.479960	-24.208417	-46.803780	0.803175	continued:5	1700375960987339022865666124	2537570189180172	-1,-2,3,8,6	9,8,8,8	ok
-1.477956	-24.208417	-47.472901	0.800382	continued:5	68931505386857507053705562519	2537570189180172	-1,-2,-2,-2,-2,2	9,8,8,8	ok
-1.475952	-24.208417	-48.100217	0.797923	continued:5	2882302826340715314381426243752	5848782458172103	-1,-2,-3,-8,8	9,8,8,-9	ok
-1.473948	-24.208417	-48.679788	0.796467	continued:5	89317409437516202975226939219	5848782458172103	-1,2,7,8,7	9,8,8,-9	ok
-1.471944	-24.208417	-49.201789	0.795631	continued:5	17104119265438685194043017485225	5848782458172103	-1,2,8,8,-9	9,8,8,-9	ok
-1.469940	-24.208417	-49.662838	0.795464	full	1604589252795414027450	5848782458172103	-1,2,8,-9,3	9,8,8,-9	ok
-1.467936	-24.208417	-46.151166	0.804390	continued:5	9652771686631773606534593325530	5848782458172103	-1,-3,3,5,-9	9,8,8,-9	ok
-1.465932	-24.208417	-46.856386	0.801596	continued:5	1113143284142576135524568456469	12995613620492257	-1,2,-9,3,8	9,8,8,9	ok
-1.463928	-24.208417	-47.521396	0.798803	continued:5	627871735370834013826165588202	2671081249369833	-1,-3,8,-9,-8	9,8,-9,8	ok
-1.461924	-24.208417	-48.143801	0.796344	continued:5	2002540589630097303513942605	2671081249369833	-1,-3,3,-9,6	9,8,-9,8	ok
-1.459920	-24.208417	-48.717893	0.794760	continued:5	17104120530591643683239022271265	1120600218659203	-1,3,8,8,-9	9,8,-9,-8	ok
-1.457916	-24.208417	-49.235181	0.794052	continued:5	17113425730988626317884943899627	451054472005738	-1,3,-9,8,-9	9,8,-9,7	ok
-1.455912	-24.208417	-49.690317	0.793885	full	8008105658097052898238789733652	63821097087652	-1,3,-9,4,-9	9,8,-9,6	ok
-1.453908	-24.208417	-46.205227	0.802682	continued:5	1542464405901613557405925967709	7417809925938	-1,4,-9,-5,8	9,8,-9,5	ok
-1.451904	-24.208417	-46.908556	0.799888	continued:5	249093625500339247245085064	7417809925938	-1,4,8,-9,-6	9,8,-9,5	ok
-1.449900	-24.208417	-47.570585	0.797095	continued:5	8008106374182496944872604086244	2341974963628	-1,4,-9,4,-9	9,8,-9,-5	ok
-1.447896	-24.208417	-48.189047	0.794764	continued:5	3211009090000673471152537431089	2341974963628	-1,-5,6,8,8	9,8,-9,-5	ok
-1.445892	-24.208417	-48.757395	0.793180	continued:5	27511723479826521409042127	7417809925938	-1,5,8,-9,5	9,8,-9,5	ok
-1.443888	-24.208417	-49.268697	0.792472	continued:5	9714981084144464219047206604902	7417809925938	-1,5,-9,5,-9	9,8,-9,5	ok
-1.441884	-24.208417	-49.717872	0.792305	full	101305786772826249564956128202	22320175482478	-1,-6,6,-9,7	9,8,-9,-6	ok
-1.439880	-24.208417	-46.262946	0.801100	continued:5	14201140465633650540905947214720	63821097087652	-1,6,-9,7,-9	9,8,-9,6	ok
-1.437876	-24.208417	-46.962641	0.798307	continued:5	11758868272832615403105808469450	63821097087652	-1,6,-9,6,-9	9,8,-9,6	ok
-1.435872	-24.208417	-47.620178	0.795513	continued:5	2905890368977351523360431903700	173698117864578	-1,6,-9,-8,8	9,8,-9,-7	ok
-1.433868	-24.208417	-48.233407	0.793054	continued:5	347548188933539	451054472005738	-1,-7,-7,7	9,8,-9,7	ok
-1.431864	-24.208417	-48.797116	0.791599	continued:5	18761312400344754863191481094005	451054472005738	-1,7,8,-9,-9	9,8,-9,7	ok
-1.429860	-24.208417	-49.302344	0.790890	continued:5	5845600097551730	451054472005738	-1,7,8,-9	9,8,-9,7	ok
-1.427856	-24.208417	-49.745502	0.790723	full	2669313200201559	451054472005738	-1,7,-9,8	9,8,-9,7	ok
-1.425852	-24.208417	-46.318831	0.799390	continued:5	1119678483441089	1120600218659203	-1,7,-9,-8	9,8,-9,-8	ok
-1.423848	-24.208417	-47.016204	0.796596	continued:5	2905890703770777774911546690619	1120600218659203	-1,7,-9,-8,8	9,8,-9,-8	ok
-1.421844	-24.208417	-47.670373	0.793803	continued:5	2669313200201559	1120600218659203	-1,7,-9,8	9,8,-9,-8	ok
-1.419840	-24.208417	-48.279336	0.791472	continued:5	84480606770273412474628427581169	2671081249369833	-1,-8,-9,8,9	9,8,-9,8	ok
-1.417836	-24.208417	-48.837051	0.790016	continued:5	3567336934678829888838879852377	2671081249369833	-1,-8,8,-9,8	9,8,-9,8	ok
-1.415832	-24.208417	-49.336120	0.789308	continued:5	998766650140877	2671081249369833	-1,-8,-8,-8	9,8,-9,8	ok
-1.413828	-24.208417	-49.773207	0.789140	full	2536718799892277	2671081249369833	-1,-8,8,8	9,8,-9,8	ok
-1.411824	-24.208417	-46.376305	0.797727	continued:5	5848780619532479	2671081249369833	-1,8,8,-9	9,8,-9,8	ok
-1.409820	-24.208417	-47.070585	0.794934	continued:5	5848780619532479	2671081249369833	-1,8,8,-9	9,8,-9,8	ok
-1.407816	-24.208417	-47.720718	0.792140	continued:5	5848780619532479	2671081249369833	-1,8,8,-9	9,8,-9,8	ok
-1.405812	-24.208417	-48.324853	0.789809	continued:5	5848780619532479	2810710672185573	-1,8,8,-9	9,8,9,8	ok
-1.403808	-24.208417	-48.877207	0.788432	continued:5	12995610879787277	2810710672185573	-1,8,8,9	9,8,9,8	ok
-1.401804	-24.208417	-49.370027	0.787724	continued:5	3569698041182158290271216421252	2810710672185573	-1,8,-9,-9,8	9,8,9,8	ok
-1.399800	-24.208417	-49.800987	0.787557	full	17113432059335363421900214640502	2810710672185573	-1,8,-9,8,-9	9,8,9,8	ok
-1.397796	-24.208417	-46.435727	0.796063	continued:5	17113432059335363421900214640502	2810710672185573	-1,8,-9,8,-9	9,8,9,8	ok
-1.395792	-24.208417	-47.126595	0.793269	continued:5	17113432059335363421900214640502	2810710672185573	-1,8,-9,8,-9	9,8,9,8	ok
-1.393788	-24.208417	-47.772402	0.790476	continued:5	17113432059335363421900214640502	2811628829971518	-1,8,-9,8,-9	9,-9,9,8	ok
-1.391784	-24.208417	-48.371454	0.788224	continued:5	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.389780	-24.208417	-48.917568	0.786847	continued:5	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.387776	-24.208417	-49.404057	0.786138	continued:5	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.385772	-24.208417	-49.828843	0.785971	full	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.383768	-24.208417	-46.492741	0.794349	continued:5	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.381764	-24.208417	-47.180767	0.791556	continued:5	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.379760	-24.208417	-47.822756	0.788762	continued:5	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.377756	-24.208417	-48.417191	0.786510	continued:5	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.375752	-24.208417	-48.958161	0.785261	continued:5	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.373747	-24.208417	-49.438224	0.784553	continued:5	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.371743	-24.208417	-49.856772	0.784385	full	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.369739	-24.208417	-46.549195	0.792633	continued:5	17113432059335363421900214640502	2671964981744748	-1,8,-9,8,-9	9,-9,-9,8	ok
-1.367735	-24.208417	-47.234314	0.789840	continued:5	17113432059335363421900214640502	6127218708778185	-1,8,-9,8,-9	9,-9,-9,-9	ok
-1.365731	-24.208417	-47.872439	0.787046	continued:5	17113432059335363421900214640502	6127218708778185	-1,8,-9,8,-9	9,-9,-9,-9	ok
-1.363727	-24.208417	-48.462239	0.784922	continued:5	17113432059335363421900214640502	6127218708778185	-1,8,-9,8,-9	9,-9,-9,-9	ok
-1.361723	-24.208417	-48.996998	0.783466	continued:5	17113432059335363421900214640502	6127218708778185	-1,8,-9,8,-9	9,-9,-9,-9	ok
-1.359719	-24.208417	-49.472506	0.782964	continued:5	17113432059335363421900214640502	6127218708778185	-1,8,-9,8,-9	9,-9,-9,-9	ok
-1.357715	-24.208417	-49.884776	0.782797	full	17113432059335363421900214640502	6127218708778185	-1,8,-9,8,-9	9,-9,-9,-9	ok
-1.355711	-24.208417	-46.610519	0.790967	continued:5	17113432059335363421900214640502	6127218708778185	-1,8,-9,8,-9	9,-9,-9,-9	ok
-1.353707	-24.208417	-47.291599	0.788173	continued:5	17113432059335363421900214640502	6127218708778185	-1,8,-9,8,-9	9,-9,-9,-9	ok
-1.351703	-24.208417	-47.924858	0.785380	continued:5	84480608866099608064081959231402	6127218708778185	-1,8,-9,8,9	9,-9,-9,-9	ok
-1.349699	-24.208417	-48.509150	0.783255	continued:5	84480608866099608064081959231402	6127218708778185	-1,8,-9,8,9	9,-9,-9,-9	ok
-1.347695	-24.208417	-49.038033	0.781878	continued:5	84480608866099608064081959231402	6127218708778185	-1,8,-9,8,9	9,-9,-9,-9	ok
-1.345691	-24.208417	-49.506934	0.781377	continued:5	18771403196037456963779279659110	6127218708778185	-1,8,-9,-9,-9	9,-9,-9,-9	ok
-1.343687	-24.208417	-49.912854	0.781210	full	18771403196037456963779279659110	6127218708778185	-1,8,-9,-9,-9	9,-9,-9,-9	ok
-1.341683	-24.208417	-46.676656	0.789378	continued:5	18771403196037456963779279659110	6127218708778185	-1,8,-9,-9,-9	9,-9,-9,-9	ok
