category_id	count	encoding	sequence
1	5	0	
2	1	29	-4
3	3	70	4,0,0
4	1	93	6,0
5	4	95	5,0,0
6	1	113	-4,-2
7	1	116	2,0,0,0
8	2	122	7,0
9	3	124	6,0,0
10	1	137	8
11	61	147	3,0,0,0
12	1	172	9
13	16	182	4,0,0,0
14	9	221	5,0,0,0
15	7	264	6,0,0,0
16	11	311	7,0,0,0
17	18	362	8,0,0,0
18	9	371	-4,1,0,0
19	28	417	9,0,0,0
20	3	426	-5,1,0,0
21	1	455	5,1,0,0
22	40	476	10,0,0,0
23	11	485	-6,1,0,0
24	49	539	11,0,0,0
25	7	548	-7,1,0,0
26	1	565	15,0,0
27	67	606	12,0,0,0
28	8	615	-8,1,0,0
29	17	641	-13,0,0,0
30	1	673	15,0,-1
31	2	675	14,1,0
32	99	677	13,0,0,0
33	6	686	-9,1,0,0
34	1	709	16,-1,0
35	29	714	-14,0,0,0
36	26	750	15,1,0
37	131	752	14,0,0,0
38	9	756	12,-1,0,0
39	5	761	-10,1,0,0
40	3	791	-15,0,0,0
41	1	827	17,0,-1
42	2	829	16,1,0
43	240	831	15,0,0,0
44	12	835	13,-1,0,0
45	4	840	-11,1,0,0
46	1	854	-4,-2,1
47	1	869	17,-2
48	1	872	-16,0,0,0
49	3	876	-14,-1,0,0
50	6	881	11,1,0,0
51	2	912	17,1,0
52	768	914	16,0,0,0
53	1	916	15,-2,0
54	19	918	14,-1,0,0
55	2	923	-12,1,0,0
56	1	957	-17,0,0,0
57	2	960	15,1,-1
58	5	961	-15,-1,0,0
59	9	966	12,1,0,0
60	1330	1001	17,0,0,0
61	4	1003	16,-2,0
62	15	1005	15,-1,0,0
63	7	1010	-13,1,0,0
64	1	1024	-6,-2,1
65	1	1050	-16,-1,0,0
66	12	1051	15,0,1
67	9	1055	13,1,0,0
68	1	1096	16,-1,0,0
69	7	1101	-14,1,0,0
70	1	1103	-13,0,-1,0
71	10	1146	15,2,0
72	14	1148	14,1,0,0
73	5	1150	13,0,-1,0
74	3	1154	11,-2,0,0
75	2	1190	-18,1,-1
76	1	1191	17,-1,0,0
77	24	1196	-15,1,0,0
78	8	1198	-14,0,-1,0
79	1	1241	17,0,1
80	75	1245	15,1,0,0
81	7	1247	14,0,-1,0
82	5	1251	12,-2,0,0
83	1	1289	-19,1,-1
84	2	1294	16,-2,-1
85	13	1295	-16,1,0,0
86	4	1297	-15,0,-1,0
87	51	1346	16,1,0,0
88	10	1348	15,0,-1,0
89	7	1352	13,-2,0,0
90	63	1398	-17,1,0,0
91	4	1400	-16,0,-1,0
92	1	1404	-14,-2,0,0
93	1	1411	10,2,0,0
94	11	1451	17,1,0,0
95	2	1452	-17,-1,1
96	5	1453	16,0,-1,0
97	8	1457	14,-2,0,0
98	1	1459	13,-1,-1,0
99	85	1505	-18,1,0,0
100	1	1506	17,-1,1
101	4	1510	15,2,-1
102	4	1511	-15,-2,0,0
103	1	1514	13,0,0,-1
104	2	1518	11,2,0,0
105	10	1562	17,0,-1,0
106	3	1564	16,-3,0
107	7	1566	15,-2,0,0
108	3	1568	14,-1,-1,0
109	5	1569	-14,0,0,-1
110	1	1622	-16,-2,0,0
111	8	1623	15,1,1
112	1	1624	-15,-1,-1,0
113	4	1625	14,0,0,-1
114	2	1629	12,2,0,0
115	3	1631	11,1,-1,0
116	1	1677	17,-3,0
117	7	1680	-16,1,1
118	9	1681	15,-1,-1,0
119	1	1682	-15,0,0,-1
120	52	1738	16,1,1
121	3	1740	15,0,0,-1
122	2	1742	14,3,0
123	4	1744	13,2,0,0
124	6	1746	12,1,-1,0
125	3	1798	16,-1,-1,0
126	3	1805	-13,1,-1,0
127	98	1857	17,1,1
128	22	1859	16,0,0,-1
129	9	1861	15,3,0
130	21	1863	14,2,0,0
131	6	1865	13,1,-1,0
132	25	1918	-18,1,1
133	1	1919	17,-1,-1,0
134	1	1922	-16,3,0
135	7	1924	-15,2,0,0
136	4	1926	-14,1,-1,0
137	3	1927	13,-1,0,-1
138	1	1942	-6,-3,1
139	14	1982	17,0,0,-1
140	12	1986	15,2,0,0
141	9	1988	14,1,-1,0
142	5	1994	11,-3,0,0
143	4	2049	-16,2,0,0
144	2	2050	15,-2,1
145	6	2051	-15,1,-1,0
146	9	2052	14,-1,0,-1
147	3	2113	16,2,0,0
148	2	2114	-16,-2,1
149	8	2115	15,1,-1,0
