category_id	count	encoding	sequence
1	46413	0	
2	149	1	0,0
3	57	3	0,0,0
4	198	7	-2,-2
5	18	10	0,0,0,0
6	4	45	1,0,1,0
7	47	63	-2,-2,-2
8	42	66	0,0,0,0,0
9	1	89	-3,1,0,0,0
10	1	105	1,0,1,-1
11	1	118	1,1,-2,0
12	16	120	1,0,-1,0,0
13	2	132	1,2,2
14	1	134	-3,1,1,-1
15	12	171	1,0,2,0
16	1	236	1,-9,1
17	10	253	1,0,0,-1,0
18	1	273	-3,-2,1,0,0
19	2	281	1,-10,1
20	1	306	1,-10,-1,0
21	5	325	1,0,2,-1
22	12	351	1,0,-2,0,0
23	1	374	1,2,3
24	4	378	1,0,1,1
25	4	402	1,2,-3,0
26	3	405	1,-1,1,1
27	6	406	1,0,-1,-1,0
28	1	412	1,-12,-1,0
29	4	429	1,3,3
30	678	433	1,1,1,1
31	9	435	0,0,0,0,-1
32	2	440	1,-13,1
33	1	477	1,-10,2
34	9	496	1,0,3,0
35	1	501	1,-14,1
36	1	534	1,-14,-1,0
37	1	540	1,-11,2
38	1	556	1,-3,-1,-1,0
39	1	601	1,-15,-1,0
40	4	623	1,-4,-1,-1,0
41	7	630	-1,0,1,-1,0
42	19	635	1,-16,1
43	2	660	1,3,-4
44	7	664	1,1,-2,1
45	6	665	1,-1,1,-1,0
46	2	666	1,0,-1,0,-1
47	13	672	1,-16,-1,0
48	1	674	-2,-15,-2
49	1	676	1,-14,-1,-1
50	1	694	1,-5,-1,-1,0
51	2	700	1,-2,-2,1
52	3	708	1,-17,1
53	1	724	1,-9,-1,1
54	1	749	-2,-16,-2
55	1	751	1,-15,-1,-1
56	1	753	1,-14,2
57	1	775	1,-3,-2,1
58	1	820	1,0,3,-1
59	12	828	-2,-17,-2
60	6	830	1,-16,-1,-1
61	4	832	1,-15,2
62	1	850	1,-6,-4
63	3	859	1,1,-4,0
64	6	861	1,0,-3,0,0
65	1	874	1,-15,-2,0
66	1	899	1,2,4
67	6	903	1,0,2,1
68	1	913	1,-17,-1,-1
69	14	915	1,-16,2
70	1	931	1,-8,-1,-1,0
71	1	945	1,-1,2,1
72	5	946	1,0,-2,-1,0
73	5	959	1,-16,-2,0
74	1	965	1,-13,-2,-1
75	1	967	1,-12,-1,1
76	1	969	1,-11,3
77	20	988	1,1,2,1
78	1	989	1,-1,-2,-1,0
79	7	1002	1,-17,2
80	1	1024	1,-6,-2,1
81	1	1032	1,-2,2,1
82	1	1033	1,1,-2,-1,0
83	1	1054	1,-14,-2,-1
84	15	1073	1,4,4
85	1	1074	1,-4,-4,0
86	2	1078	1,-2,-2,-1,0
87	74	1081	1,0,0,1,0
88	1	1111	1,-9,-4
89	1	1115	1,-7,-2,1
90	2	1119	1,-5,4
91	5	1145	1,-16,-3
92	1	1171	1,-3,-2,-1,0
93	4	1176	1,0,4,0
94	26	1242	-2,-17,-3
95	6	1244	1,-16,-2,-1
96	2	1246	1,-15,-1,1
97	1	1268	1,-4,-2,-1,0
98	1	1326	1,0,-3,1
99	29	1345	-2,-17,-2,-1
100	12	1347	1,-16,-1,1
101	2	1349	1,-15,3
102	1	1365	1,-7,-4,0
103	2	1369	1,-5,-2,-1,0
104	7	1378	-1,0,2,-1,0
105	1	1425	1,3,-5
106	2	1427	1,2,-4,-1
107	4	1429	1,1,-3,1
108	5	1430	1,-1,2,-1,0
109	5	1431	1,0,-2,0,-1
110	8	1454	1,-16,3
111	1	1470	1,-8,-4,0
112	2	1474	1,-6,-2,-1,0
113	1	1476	1,-5,-1,-2
114	1	1478	1,-4,-5
115	2	1482	1,-2,-3,1
116	3	1509	1,-16,-3,0
