category_id	count	encoding	sequence
1	46413	0	
2	149	1	0,0
3	57	3	0,0,0
4	198	7	-2,-2
5	496189	10	-1,0,0,0,0,0,0,0,0,-4
6	30	14	1,-1,0,0,0,0,0,-16,-1
7	5	19	-3,1,0,0,0
8	3200	21	1,0,-1,0,1,-16
9	12	25	1,-2,0,0,0,0,0,0,-16
10	559	27	1,-1,-1,0,-16
11	3692	28	-1,0,0,-1,-17,-17
12	1	34	1,1,-1,0,7,3
13	2	35	1,-1,0,-1,-16,-2
14	3	40	1,-3,0,0,16
15	79	42	1,-2,-1,0,0,0,0,-16
16	1	43	1,1,0,-1,0,1
17	1380	45	-1,0,1,0,0,0,-14
18	2	52	1,-2,0,-1,-16,1
19	4	54	-1,-1,1,0,-2,3
20	1130	55	-1,0,-1,-1,-16,1
21	5	59	1,-4,0,0,16
22	20	61	1,-3,-1,0,-16
23	47	63	-2,-2,-2
24	11141	65	-2,-1,-1,-1,-1,-1,-1,-1,-1,-1
25	1	75	-3,-2,1,0,0
26	4	76	-3,1,-1,-1,1
27	6	84	1,-4,-1,0,-16
28	4161	88	-2,-2,-1,-1,-1,-1,-1,-1,-1,-1
29	887	91	1,0,-2,0,-1,16
30	144	104	1,-1,-2,0,-16
31	711	105	1,0,1,-1,0,0
32	5	111	1,-5,-1,0,15
33	447	115	-2,-3,-1,-1,-3,-2,-1,-1,-1
34	58	118	1,1,-2,0,0,-16
35	642	119	1,-1,1,-1,-1,-1
36	2	132	1,2,2
37	35	133	1,-2,-2,0,-2,-1,-2
38	1	134	-3,1,1,-1
39	2900	136	-1,0,0,1,-17
40	4	142	1,-6,-1,0,-16
41	196	146	-2,-4,-1,-1,-1,-2,-1,-2
42	425	152	1,-1,0,1,-16
43	10	166	1,-3,-2,0,0,0,-16
44	341	171	-1,0,2,0,-15
45	2	177	1,-7,-1,0,-17
46	81	181	-2,-5,-1,-1,-4,-5
47	262	190	-1,0,-2,-1,5
48	1	197	1,-7,0,-1,16
49	3	203	1,-4,-2,0,-5,-1
50	328	209	1,-1,-2,-1,-16,-1
51	39	220	-2,-6,-1,-1,-2,-2
52	105	229	1,1,-2,-1,1
53	624	231	-1,0,-1,1,-4
54	1	236	1,-9,1
55	2	244	1,-5,-2,0,-16
56	640	250	-2,-2,-2,-1,-1,-1,-1,-1,-1,-1
57	961	252	-1,-1,-1,1,-16
58	36	263	-2,-7,-1,-1,-4,-1,-2,-1
59	1	272	-2,2,-2,-1,-1,-1
60	2	281	1,-10,1
61	651	295	-2,-3,-2,-1,-2,-2,-1,-1
62	57	297	1,-2,-1,1,3
63	400	300	-1,0,-3,0,-15,0,0
64	2	306	1,-10,-1,0,-16
65	15	310	-2,-8,-1,-1,-2,-6
66	51	324	1,-1,-3,0,0,0,-2,4
67	253	325	-1,0,2,-1,-16
68	120	344	-2,-4,-2,-1,-1,-2,-2,-1
69	19	346	1,-3,-1,1,-16
70	13	349	1,1,-3,0,-2
71	137	350	1,-1,2,-1,-2,-1
72	1	355	1,-12,0,0,-16
73	7	361	-2,-9,-1,-1,-2,-8
74	1	374	1,2,3
75	19	375	1,-2,-3,0,0,-16
76	631	378	-1,0,1,1,2,-1
77	47	397	-2,-5,-2,-1,-1,-4,-1,-2
78	6	399	1,-4,-1,1,-16
79	11	402	1,2,-3,0
80	316	405	-1,-1,1,1,-15
81	1	412	1,-12,-1,0
82	9	416	-2,-10,-1,-1,-5
83	4	429	1,3,3
84	2	430	1,-3,-3,0,-5,0
85	739	433	1,1,1,1
86	2	440	1,-13,1
87	25	454	-2,-6,-2,-1,-4,-2
88	3	456	1,-5,-1,1,-5,-1
