delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-28.466934	-47.019216	0.813660	continued:5	569017662591425920660454914501952	1233861048631	-1,0,0,0,-10,0	10,-1,0,4,-1	ok
-1.497996	-28.466934	-47.591307	0.811742	continued:5	1041919442438896460270081714	960696067530990631	-1,0,0,-1,0,-2,0	10,-1,0,1,3	ok
-1.495992	-28.466934	-48.126394	0.810493	continued:5	17225409670789647560	28301506	-1,0,0,-1,0,0,-1	10,-1,0,-1,0,0	ok
-1.493988	-28.466934	-48.616744	0.810119	continued:5	27258035	20590133089754327432512362813610	-1,0,0,-1,0,0	10,-1,0,0,9	ok
-1.491984	-28.466934	-49.055045	0.808870	full	212427834586754031316888548025783874187872287623318423069013160	9725510832939172417144994206	-1,0,0,1,0,9	10,-1,0,0,7	ok
-1.489980	-28.466934	-45.841783	0.817578	continued:5	60262035596466112439124882485	274790114767736485	-1,0,0,1,-2,2	10,-1,0,0,3	ok
-1.487976	-28.466934	-46.462105	0.814784	continued:5	750924184997063422496165	12503617761706	-1,0,0,1,5	10,-1,0,0,2	ok
-1.485972	-28.466934	-47.058546	0.811991	continued:5	277774332430865772783572762066732167814489	12503617761706	-1,0,0,-2,0,4	10,-1,0,0,2	ok
-1.483968	-28.466934	-47.628431	0.810073	continued:5	212879793512509873851563638159786952397036803442497890047307514	12503617761706	-1,0,0,2,0,9	10,-1,0,0,2	ok
-1.481964	-28.466934	-48.160501	0.808824	continued:5	832127608051276730053505447089935114913397264	2538421863822331	-1,0,0,-3,1,-5	10,-1,0,0,-3	ok
-1.479960	-28.466934	-48.647236	0.808450	continued:5	884780148598270859956484763765500	721733164357732773460	-1,0,0,3,-10,0	10,-1,0,0,4	ok
-1.477956	-28.466934	-49.081549	0.806994	full	423096028936889	560072930729865593030579079835	-1,0,0,7,0	10,-1,0,0,8	ok
-1.475952	-28.466934	-45.889640	0.815903	continued:5	92278350543495005447171353093306139	20590133089754327432512362813610	-1,0,0,8,0,3	10,-1,0,0,9	ok
-1.473948	-28.466934	-46.509156	0.813110	continued:5	83842918277891046341053473617135	1400281	-1,0,0,8,9	10,-1,0,-1,-1	ok
-1.471944	-28.466934	-47.103776	0.810444	continued:5	15359086341963014	43936	-1,0,0,9,0	10,-1,0,-1,0	ok
-1.469940	-28.466934	-47.669717	0.808526	continued:5	32462081307646533540518864	2649228425	-1,0,0,9,5	10,1,0,1,1	ok
-1.467936	-28.466934	-48.197217	0.807277	continued:5	450791350518784021654798737718214	138868209454624865570459523109105	-1,0,0,9,-10	10,1,0,-2,-10	ok
-1.465932	-28.466934	-48.678973	0.806903	continued:5	154757429919704610077	150618577379630225583880152085510	-1,0,0,-10,0,1	10,1,0,2,-10	ok
-1.463928	-28.466934	-49.108125	0.805113	full	24746841433306100962295310994160	941213266100	-1,0,-1,0,8,-1	10,1,0,5	ok
-1.461924	-28.466934	-45.933926	0.814271	continued:5	55131037230672813124283701320735607027586692988555089681474461065	6722621633297105	-1,0,-1,0,7,-10	10,1,0,-9,0	ok
-1.459920	-28.466934	-46.552371	0.811478	continued:5	45649093717535	6420598390435490	-1,0,-1,0,-2,0	10,1,0,9	ok
-1.457916	-28.466934	-47.144967	0.808684	continued:5	311604871511205528335	33746626057494275	-1,0,-1,0,-1,0,-1	10,1,0,-10,0	ok
-1.455912	-28.466934	-47.709167	0.806766	continued:5	202730693660	2672850249459233	-1,0,-1,0,1,0	10,1,-1,0,-3	ok
-1.453908	-28.466934	-48.234046	0.805724	continued:5	7040938372554852739094345017553607562577	73319975	-1,0,1,0,2,-4	10,1,-1,0,1	ok
-1.451904	-28.466934	-48.710792	0.805350	continued:5	81821193244595530197631336040039192252	741991483	-1,0,1,0,9,2	10,1,1,-1,1	ok
-1.449900	-28.466934	-49.134772	0.803225	full	5075897103056327	331905114865	-1,0,1,3,2	10,1,1,4,0	ok
-1.447896	-28.466934	-45.346092	0.815234	continued:5	99192363671357444399039824722152	36347216196260755	-1,0,1,9,9	10,1,1,-10,0	ok
-1.445892	-28.466934	-45.989253	0.812441	continued:5	59746233975963184010704097460902	26315	-1,0,1,6,9	10,1,2,0	ok
-1.443888	-28.466934	-46.605595	0.809648	continued:5	16668914534658752	99484538750	-1,0,1,9,0	10,1,-3,4	ok
-1.441884	-28.466934	-47.195078	0.806854	continued:5	40228200218773766681090702	387620	-1,0,1,-10,5	10,1,-4,0	ok
-1.439880	-28.466934	-47.755233	0.804936	continued:5	212202237563392296653841089516767972656352483752075567626532050	4604136858011105	-1,0,-2,-1,0,9	10,1,-6,-9	ok
-1.437876	-28.466934	-48.275334	0.803894	continued:5	30760978543624522130	25780102823028430	-1,0,-2,0,3,0	10,1,7,-10	ok
-1.435872	-28.466934	-48.746820	0.803520	continued:5	7414392650	27837438939482615	-1,0,2,1,1	10,1,8,-10	ok
-1.433868	-28.466934	-49.165314	0.801061	full	2138761507653610353827	275080220	-1,0,3,9,3	10,1,9,-1	ok
-1.431864	-28.466934	-45.712236	0.811971	continued:5	7955575879466697941797632417002	24105544119890	-1,0,3,4,-9	10,1,9,-6	ok
-1.429860	-28.466934	-46.342625	0.809178	continued:5	40530379447510791796655	14084914692764330	-1,0,3,2,-1,-2	10,1,9,9	ok
-1.427856	-28.466934	-46.945421	0.806384	continued:5	26134150563522834090723092505588259223143575212027	30037223016845585	-1,0,-4,-1,0,-6	10,1,9,-10	ok
-1.425852	-28.466934	-47.519164	0.804132	continued:5	99452518896985837495367017821410	6665448050	-1,0,4,9,9	10,1,-10,2	ok
-1.423848	-28.466934	-48.056244	0.802676	continued:5	3934587823499059268923216008110	270037160	-1,0,5,9,8	10,1,-10,0	ok
-1.421844	-28.466934	-48.548006	0.801840	continued:5	452749757737851534420685148839652	270037160	-1,0,6,9,-10	10,1,-10,0	ok
-1.419840	-28.466934	-48.989498	0.802214	full	428146568890680179845739	14087989833425711	-1,0,7,-10,4	10,-2,9,9	ok
-1.417836	-28.466934	-45.759498	0.810345	continued:5	99800321154795242547356988136877	39134983960831936	-1,0,8,9,9	10,-2,-2,9,-1	ok
-1.415832	-28.466934	-46.388637	0.807552	continued:5	99800321154795242547356988136877	16012417290235360	-1,0,8,9,9	10,-2,-1,9,0	ok
